Donor,Donor SMILES,SMILES,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
PFBDB-T,CCc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(F)c(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11sc(-c%12cc(F)c(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16sc(-c%17sc(-c%18cc(F)cs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)cc%16F)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)cc%10F)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)cc4F)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(F)c(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11sc(-c%12cc(F)c(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16sc(-c%17sc(-c%18cc(F)cs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)cc%16F)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)cc%10F)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)cc4F)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.47,-3.46,,,
m-PBDTPS-FTAZ,CCSc1cccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cccc(SCC)c9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cccc(SCC)c%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cccc(SCC)c%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cccc(SCC)c9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cccc(SCC)c3)c3ccsc23)c1,CCSc1cccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cccc(SCC)c9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cccc(SCC)c%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cccc(SCC)c%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cccc(SCC)c9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cccc(SCC)c3)c3ccsc23)c1,-5.4,-3.4,2.0,579.0,567.0
PBDB-TSCl,CCSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(Cl)c(SCC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(SCC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(Cl)c(SCC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(Cl)c(SCC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(Cl)c(SCC)s3)c3ccsc23)cc1Cl,CCSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(Cl)c(SCC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(Cl)c(SCC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(Cl)c(SCC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(Cl)c(SCC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(Cl)c(SCC)s3)c3ccsc23)cc1Cl,-5.61,-3.8,1.81,615.0,608.0
PBN-S,CCSc1cc2c(cc1SCC)C(=O)c1c(-c3ccc(-c4cc5c(-c6cc(F)c(CC)s6)c6sc(-c7ccc(-c8sc(-c9ccc(-c%10cc%11c(-c%12cc(F)c(CC)s%12)c%12sc(-c%13ccc(-c%14sc(-c%15ccc(-c%16cc%17c(-c%18cc(F)c(CC)s%18)c%18sccc%18c(-c%18cc(F)c(CC)s%18)c%17s%16)s%15)c%15c%14C(=O)c%14cc(SCC)c(SCC)cc%14C%15=O)s%13)cc%12c(-c%12cc(F)c(CC)s%12)c%11s%10)s9)c9c8C(=O)c8cc(SCC)c(SCC)cc8C9=O)s7)cc6c(-c6cc(F)c(CC)s6)c5s4)s3)sc(-c3cccs3)c1C2=O,CCSc1cc2c(cc1SCC)C(=O)c1c(-c3ccc(-c4cc5c(-c6cc(F)c(CC)s6)c6sc(-c7ccc(-c8sc(-c9ccc(-c%10cc%11c(-c%12cc(F)c(CC)s%12)c%12sc(-c%13ccc(-c%14sc(-c%15ccc(-c%16cc%17c(-c%18cc(F)c(CC)s%18)c%18sccc%18c(-c%18cc(F)c(CC)s%18)c%17s%16)s%15)c%15c%14C(=O)c%14cc(SCC)c(SCC)cc%14C%15=O)s%13)cc%12c(-c%12cc(F)c(CC)s%12)c%11s%10)s9)c9c8C(=O)c8cc(SCC)c(SCC)cc8C9=O)s7)cc6c(-c6cc(F)c(CC)s6)c5s4)s3)sc(-c3cccs3)c1C2=O,-5.48,-3.52,,,
TTFQx-T1,CCc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nc(-c%19cc(F)c(CC)s%19)c(-c%19cc(F)c(CC)s%19)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nc(-c%13cc(F)c(CC)s%13)c(-c%13cc(F)c(CC)s%13)nc%11%12)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6nc(-c7cc(F)c(CC)s7)c(-c7cc(F)c(CC)s7)nc56)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nc(-c%19cc(F)c(CC)s%19)c(-c%19cc(F)c(CC)s%19)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nc(-c%13cc(F)c(CC)s%13)c(-c%13cc(F)c(CC)s%13)nc%11%12)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6nc(-c7cc(F)c(CC)s7)c(-c7cc(F)c(CC)s7)nc56)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.31,-3.62,1.69,652.0,606.0
P2F-EHp,CCc1c(F)cc(-c2c3cc(-c4ccc(-c5c6c(c(-c7ccc(-c8cc9c(-c%10cc(F)c(CC)c(F)c%10)c%10sc(-c%11ccc(-c%12c%13c(c(-c%14ccc(-c%15cc%16c(-c%17cc(F)c(CC)c(F)c%17)c%17sc(-c%18ccc(-c%19c%20c(c(-c%21cccs%21)c%21nn(CC)nc%19%21)C(=O)N(CC)C%20=O)s%18)cc%17c(-c%17cc(F)c(CC)c(F)c%17)c%16s%15)s%14)c%14nn(CC)nc%12%14)C(=O)N(CC)C%13=O)s%11)cc%10c(-c%10cc(F)c(CC)c(F)c%10)c9s8)s7)c7nn(CC)nc57)C(=O)N(CC)C6=O)s4)sc3c(-c3cc(F)c(CC)c(F)c3)c3ccsc23)cc1F,CCc1c(F)cc(-c2c3cc(-c4ccc(-c5c6c(c(-c7ccc(-c8cc9c(-c%10cc(F)c(CC)c(F)c%10)c%10sc(-c%11ccc(-c%12c%13c(c(-c%14ccc(-c%15cc%16c(-c%17cc(F)c(CC)c(F)c%17)c%17sc(-c%18ccc(-c%19c%20c(c(-c%21cccs%21)c%21nn(CC)nc%19%21)C(=O)N(CC)C%20=O)s%18)cc%17c(-c%17cc(F)c(CC)c(F)c%17)c%16s%15)s%14)c%14nn(CC)nc%12%14)C(=O)N(CC)C%13=O)s%11)cc%10c(-c%10cc(F)c(CC)c(F)c%10)c9s8)s7)c7nn(CC)nc57)C(=O)N(CC)C6=O)s4)sc3c(-c3cc(F)c(CC)c(F)c3)c3ccsc23)cc1F,-5.38,-3.06,,,
SM1-S,CCOC(=O)/C(C#N)=C\c1cc(CC)c(-c2ccc(-c3sc(-c4cc5c(-c6ccc(SCC)s6)c6sc(-c7cc(CC)c(-c8ccc(-c9sc(/C=C(\C#N)C(=O)OCC)cc9CC)s8)s7)cc6c(-c6ccc(SCC)s6)c5s4)cc3CC)s2)s1,CCOC(=O)/C(C#N)=C\c1cc(CC)c(-c2ccc(-c3sc(-c4cc5c(-c6ccc(SCC)s6)c6sc(-c7cc(CC)c(-c8ccc(-c9sc(/C=C(\C#N)C(=O)OCC)cc9CC)s8)s7)cc6c(-c6ccc(SCC)s6)c5s4)cc3CC)s2)s1,-5.32,-2.81,,,
PBZ-ClSi,CCn1nc2c(-c3cccs3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12cc(Cl)c([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18cc(Cl)c([Si](CC)(CC)CC)s%18)c%18sccc%18c(-c%18cc(Cl)c([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12cc(Cl)c([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6cc(Cl)c([Si](CC)(CC)CC)s6)c5s4)s3)c2n1,CCn1nc2c(-c3cccs3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c([Si](CC)(CC)CC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(-c%10cc%11c(-c%12cc(Cl)c([Si](CC)(CC)CC)s%12)c%12sc(-c%13ccc(-c%14c(F)c(F)c(-c%15ccc(-c%16cc%17c(-c%18cc(Cl)c([Si](CC)(CC)CC)s%18)c%18sccc%18c(-c%18cc(Cl)c([Si](CC)(CC)CC)s%18)c%17s%16)s%15)c%15nn(CC)nc%14%15)s%13)cc%12c(-c%12cc(Cl)c([Si](CC)(CC)CC)s%12)c%11s%10)s9)c9nn(CC)nc89)s7)cc6c(-c6cc(Cl)c([Si](CC)(CC)CC)s6)c5s4)s3)c2n1,-5.56,-3.5,,,
PBDTS-TDZ,CCSc1ccc(-c2c3cc(-c4sc(-c5nnc(-c6cc(CC)c(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10sc(-c%11nnc(-c%12cc(CC)c(-c%13cc%14c(-c%15ccc(SCC)s%15)c%15sc(-c%16sc(-c%17nnc(-c%18cc(CC)cs%18)s%17)cc%16CC)cc%15c(-c%15ccc(SCC)s%15)c%14s%13)s%12)s%11)cc%10CC)cc9c(-c9ccc(SCC)s9)c8s7)s6)s5)cc4CC)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1,CCSc1ccc(-c2c3cc(-c4sc(-c5nnc(-c6cc(CC)c(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10sc(-c%11nnc(-c%12cc(CC)c(-c%13cc%14c(-c%15ccc(SCC)s%15)c%15sc(-c%16sc(-c%17nnc(-c%18cc(CC)cs%18)s%17)cc%16CC)cc%15c(-c%15ccc(SCC)s%15)c%14s%13)s%12)s%11)cc%10CC)cc9c(-c9ccc(SCC)s9)c8s7)s6)s5)cc4CC)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1,-5.39,-2.8,,,
Qx-10F,CCOc1c(F)c(F)c(-c2nc3c(-c4cccs4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8ccc(-c9c(F)c(F)c(-c%10ccc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(-c%14ccc(-c%15c(F)c(F)c(-c%16ccc(-c%17cc%18c(-c%19ccc(CC)s%19)c%19sccc%19c(-c%19ccc(CC)s%19)c%18s%17)s%16)c%16nc(-c%17c(F)c(F)c(OCC)c(F)c%17F)c(-c%17c(F)c(F)c(OCC)c(F)c%17F)nc%15%16)s%14)cc%13c(-c%13ccc(CC)s%13)c%12s%11)s%10)c%10nc(-c%11c(F)c(F)c(OCC)c(F)c%11F)c(-c%11c(F)c(F)c(OCC)c(F)c%11F)nc9%10)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)c3nc2-c2c(F)c(F)c(OCC)c(F)c2F)c(F)c1F,CCOc1c(F)c(F)c(-c2nc3c(-c4cccs4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC)s7)c7sc(-c8ccc(-c9c(F)c(F)c(-c%10ccc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(-c%14ccc(-c%15c(F)c(F)c(-c%16ccc(-c%17cc%18c(-c%19ccc(CC)s%19)c%19sccc%19c(-c%19ccc(CC)s%19)c%18s%17)s%16)c%16nc(-c%17c(F)c(F)c(OCC)c(F)c%17F)c(-c%17c(F)c(F)c(OCC)c(F)c%17F)nc%15%16)s%14)cc%13c(-c%13ccc(CC)s%13)c%12s%11)s%10)c%10nc(-c%11c(F)c(F)c(OCC)c(F)c%11F)c(-c%11c(F)c(F)c(OCC)c(F)c%11F)nc9%10)s8)cc7c(-c7ccc(CC)s7)c6s5)s4)c3nc2-c2c(F)c(F)c(OCC)c(F)c2F)c(F)c1F,-5.18,-3.49,1.69,634.0,612.0
SM1,CCOC(=O)/C(C#N)=C\c1cc(CC)c(-c2ccc(-c3sc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7cc(CC)c(-c8ccc(-c9sc(/C=C(\C#N)C(=O)OCC)cc9CC)s8)s7)cc6c(-c6ccc(CC)s6)c5s4)cc3CC)s2)s1,CCOC(=O)/C(C#N)=C\c1cc(CC)c(-c2ccc(-c3sc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7cc(CC)c(-c8ccc(-c9sc(/C=C(\C#N)C(=O)OCC)cc9CC)s8)s7)cc6c(-c6ccc(CC)s6)c5s4)cc3CC)s2)s1,-5.25,-2.8,1.88,566.0,500.0
P-4FP,CCc1c(F)cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(F)c(CC)c(F)c9)c9oc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)c(F)c%15)c%15oc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(F)c(CC)c(F)c%15)c%14o%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(F)c(CC)c(F)c9)c8o7)s6)c6nn(CC)nc56)s4)oc3c(-c3cc(F)c(CC)c(F)c3)c3ccoc23)cc1F,CCc1c(F)cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(F)c(CC)c(F)c9)c9oc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)c(F)c%15)c%15oc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(F)c(CC)c(F)c%15)c%14o%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(F)c(CC)c(F)c9)c8o7)s6)c6nn(CC)nc56)s4)oc3c(-c3cc(F)c(CC)c(F)c3)c3ccoc23)cc1F,-5.54,-3.61,,,
PBT1-C-2Cl,CCc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(Cl)c(-c7cc8c(-c9ccc(CC)cc9)c9sc(-c%10sc(-c%11sc(-c%12cc(Cl)c(-c%13cc%14c(-c%15ccc(CC)cc%15)c%15sc(-c%16sc(-c%17sc(-c%18cc(Cl)cs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)cc%16Cl)cc%15c(-c%15ccc(CC)cc%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)cc%10Cl)cc9c(-c9ccc(CC)cc9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)cc4Cl)sc3c(-c3ccc(CC)cc3)c3ccsc23)cc1,CCc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(Cl)c(-c7cc8c(-c9ccc(CC)cc9)c9sc(-c%10sc(-c%11sc(-c%12cc(Cl)c(-c%13cc%14c(-c%15ccc(CC)cc%15)c%15sc(-c%16sc(-c%17sc(-c%18cc(Cl)cs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)cc%16Cl)cc%15c(-c%15ccc(CC)cc%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)cc%10Cl)cc9c(-c9ccc(CC)cc9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)cc4Cl)sc3c(-c3ccc(CC)cc3)c3ccsc23)cc1,-5.59,-3.53,1.85,629.0,629.0
QX2,CCc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nc(-c%19sc(CC)c(F)c%19F)c(-c%19sc(CC)c(F)c%19F)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nc(-c%13sc(CC)c(F)c%13F)c(-c%13sc(CC)c(F)c%13F)nc%11%12)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6nc(-c7sc(CC)c(F)c7F)c(-c7sc(CC)c(F)c7F)nc56)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nc(-c%19sc(CC)c(F)c%19F)c(-c%19sc(CC)c(F)c%19F)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nc(-c%13sc(CC)c(F)c%13F)c(-c%13sc(CC)c(F)c%13F)nc%11%12)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6nc(-c7sc(CC)c(F)c7F)c(-c7sc(CC)c(F)c7F)nc56)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,-5.4,-3.1,,,
PDBT-Cl,CCc1sc(-c2c3sc4cc(-c5ccc(-c6sc(-c7ccc(-c8cc9sc%10c(-c%11cc(Cl)c(CC)s%11)c%11c(sc%12cc(-c%13ccc(-c%14sc(-c%15ccc(-c%16cc%17sc%18c(-c%19cc(Cl)c(CC)s%19)c%19c(sc%20cc(-c%21ccc(-c%22sc(-c%23cccs%23)c%23c%22C(=O)c%22c(CC)sc(CC)c%22C%23=O)s%21)sc%20%19)c(-c%19cc(Cl)c(CC)s%19)c%18c%17s%16)s%15)c%15c%14C(=O)c%14c(CC)sc(CC)c%14C%15=O)s%13)sc%12%11)c(-c%11cc(Cl)c(CC)s%11)c%10c9s8)s7)c7c6C(=O)c6c(CC)sc(CC)c6C7=O)s5)sc4c3c(-c3cc(Cl)c(CC)s3)c3sc4ccsc4c23)cc1Cl,CCc1sc(-c2c3sc4cc(-c5ccc(-c6sc(-c7ccc(-c8cc9sc%10c(-c%11cc(Cl)c(CC)s%11)c%11c(sc%12cc(-c%13ccc(-c%14sc(-c%15ccc(-c%16cc%17sc%18c(-c%19cc(Cl)c(CC)s%19)c%19c(sc%20cc(-c%21ccc(-c%22sc(-c%23cccs%23)c%23c%22C(=O)c%22c(CC)sc(CC)c%22C%23=O)s%21)sc%20%19)c(-c%19cc(Cl)c(CC)s%19)c%18c%17s%16)s%15)c%15c%14C(=O)c%14c(CC)sc(CC)c%14C%15=O)s%13)sc%12%11)c(-c%11cc(Cl)c(CC)s%11)c%10c9s8)s7)c7c6C(=O)c6c(CC)sc(CC)c6C7=O)s5)sc4c3c(-c3cc(Cl)c(CC)s3)c3sc4ccsc4c23)cc1Cl,-5.41,-3.56,1.83,583.0,583.0
FTAZ,CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12,CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12,-5.38,-3.17,,,
BSCl-C2,CCSc1sc(-c2c3cc(-c4sc5cc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CC)sc5c4CC)sc3c(-c3cc(Cl)c(SCC)s3)c3cc(-c4sc5cc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CC)sc5c4CC)sc23)cc1Cl,CCSc1sc(-c2c3cc(-c4sc5cc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CC)sc5c4CC)sc3c(-c3cc(Cl)c(SCC)s3)c3cc(-c4sc5cc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CC)sc5c4CC)sc23)cc1Cl,-5.58,-3.39,1.82,566.8,506.5
PDCBT-Cl,COC(=O)c1csc(-c2cc(C(=O)OC)c(-c3cc(Cl)c(-c4ccc(-c5sc(-c6cc(C(=O)OC)c(-c7cc(Cl)c(-c8ccc(-c9sc(-c%10cc(C(=O)OC)c(-c%11cc(Cl)c(-c%12cccs%12)s%11)s%10)cc9C(=O)OC)s8)s7)s6)cc5C(=O)OC)s4)s3)s2)c1,COC(=O)c1csc(-c2cc(C(=O)OC)c(-c3cc(Cl)c(-c4ccc(-c5sc(-c6cc(C(=O)OC)c(-c7cc(Cl)c(-c8ccc(-c9sc(-c%10cc(C(=O)OC)c(-c%11cc(Cl)c(-c%12cccs%12)s%11)s%10)cc9C(=O)OC)s8)s7)s6)cc5C(=O)OC)s4)s3)s2)c1,-5.34,-3.01,1.91,599.0,491.0
PCl(4)BDB-T,CCc1ccc(-c2c3cc(-c4cc(Cl)c(-c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10cc(Cl)c(-c%11sc(-c%12sc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16cc(Cl)c(-c%17sc(-c%18sccc%18Cl)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)cc%12Cl)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)cc6Cl)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCc1ccc(-c2c3cc(-c4cc(Cl)c(-c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10cc(Cl)c(-c%11sc(-c%12sc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16cc(Cl)c(-c%17sc(-c%18sccc%18Cl)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)cc%12Cl)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)cc6Cl)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,,,,,
J11,CCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(CC)c(Cl)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(CC)c(Cl)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(CC)c(Cl)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(CC)c(Cl)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(CC)c(Cl)s3)c3ccsc23)sc1Cl,CCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(CC)c(Cl)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15cc(CC)c(Cl)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15cc(CC)c(Cl)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9cc(CC)c(Cl)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3cc(CC)c(Cl)s3)c3ccsc23)sc1Cl,-5.48,-3.23,1.96,543.0,543.0
