Donor,SMILES
Donor EW,CCCCCCCCCCCCOc1cc(C)sc1-c1cc(F)c(-c2sc(C3=CC=C(C)C4C(=O)N(CC(CCCCCC)CCCCCCCC)C(=O)C34)cc2OCCCCCCCCCCCC)cc1F
Donor HA,CCCCCCCCCCCCOc1cc(C)sc1-c1cc(F)c(-c2sc(-c3sc(C)c4c3C(=O)N(CC(CCCCCC)CCCCCCCC)C4=O)cc2OCCCCCCCCCCCC)cc1F
Donor EX,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CCOCCOCCOCCOC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
Donor ,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(OCCOCCOCCOC)c(OCCOCCOCCOC)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
Donor EA,CCCCCCC(CCCC)Cn1nc2c(-c3ccc(C)s3)c(OCCOCCOCCOC)c(OCCOCCOCCOC)c(-c3ccc(-c4cc5c(OCCOCCOCCOC)c6sc(C)cc6c(OCCOCCOCCOC)c5s4)s3)c2n1
Donor CE,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7sc(CC(CC)CCCC)c(F)c7F)c(-c7sc(CC(CC)CCCC)c(F)c7F)nc56)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor EJ,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7cc(F)c(CC(CC)CCCC)c(F)c7)c(-c7cc(F)c(CC(CC)CCCC)c(F)c7)nc56)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor GV,CCCCC(CC)COc1c(F)cc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cc(F)c(OCC(CC)CCCC)c(F)c2)cc1F
Donor GM,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc21
Donor FE,CCCCCCC(CCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)N(CC(CCCC)CCCCCC)C(=O)C2=C1c1ccc(C)s1
Donor BI,CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1
Donor ES,CCCCC(CC)CSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(SCC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl
Donor EZ,CCCCCCCCCCC(CCCCCCCC)COC(=O)c1cc2c(-c3ncc(C)s3)sc(-c3ncc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2s1
Donor BT,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1
Donor HB,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(OC)c(OC)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1
Donor EI,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cc4sc(C)c(CCCCCC)c4s3)c(F)c(F)c(-c3cc4sc(-c5cc6c(-c7cc(Cl)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(Cl)c(CC(CC)CCCC)s7)c6s5)c(CCCCCC)c4s3)c2n1
Donor AK,CCCCCCCCCCc1cc(-c2cnc(-c3cc(CCCCCCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)cn2)sc1C
Donor BR,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5cnc(-c6cc(CC(CC)CCCC)c(C)s6)cn5)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor HR,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4ccc(/C(C#N)=C/c5cc(OCC(CCCCCC)CCCCCCCC)c(/C=C(\C#N)c6ccc(C)s6)cc5OCC(CCCCCC)CCCCCCCC)s4)s3)c2n1
Donor Q,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4ccc(/C(C#N)=C/c5cc(OCC(CCCCCCCC)CCCCCCCCCC)c(/C=C(\C#N)c6ccc(C)s6)cc5OCC(CCCCCCCC)CCCCCCCCCC)s4)s3)c2n1
Donor Z,CCCCC(CC)Cc1sc(-c2c3cc(-c4sc(C)c(C)c4Cl)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F
Donor II,CCCCC(CC)Cc1sc(-c2c3cc(-c4sc(C)c(C)c4Cl)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl
Donor BV,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2ccc(-c3ccc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(-c6ccc(C)s6)s5)s4)s3)s2)sc1C
Donor HF,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2ccc(-c3ccc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5cc(F)c(-c6sc(C)cc6F)s5)s4)s3)s2)sc1C
Donor D,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(SCC(CC)CCCC)cc6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)cc6)c5s4)s3)c2n1
Donor FZ,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cccc(SCC(CC)CCCC)c6)c6sc(C)cc6c(-c6cccc(SCC(CC)CCCC)c6)c5s4)s3)c2n1
Donor S,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(SCC(CCCC)CCCCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CCCC)CCCCCC)s6)c5s4)s3)c2n1
Donor GA,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7cc(C)sc7c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1
Donor DJ,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7c(sc8cc(C)sc87)c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1
Donor EO,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc(C)s2)C1=O
Donor EF,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc(C)s2)C1=O
Donor BP,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2ccc(C)s2)C1=O
Donor HD,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(c5s4)C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4cc5c(cc4-6)C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4c-5sc5cc(C)sc45)s3)c2n1
Donor FM,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c(C(=O)OC)c4F)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor BA,CCCCCCCCCCCCC(CCCCCCCCCC)COC(=O)c1cc(-c2cc(C(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c3ccc(-c4c(F)c(F)c(C)c5nsnc45)s3)s2)sc1-c1ccc(C)s1
Donor AP,CCCCCCCCCCCCC(CCCCCCCCCC)COC(=O)c1cc(-c2c(F)c(F)c(-c3cc(C(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C
Donor GU,CCCCCCC(CCCC)COC(=O)c1cc(-c2cc(C(=O)OCC(CCCC)CCCCCC)c(-c3ccc(C)s3)s2)sc1-c1ccc(C)s1
Donor BW,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(C7CCCCC7)c(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)cc4C4CCCCC4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor IV,CCCCC(CC)CSc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(C7CCCCC7)c(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)cc4C4CCCCC4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor CW,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4C5=O)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor HH,CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7sc(C)c8c7C(=O)c7c(CC(CC)CCCC)sc(CC(CC)CCCC)c7C8=O)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor DI,CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(-c%10sc(C)c%11c%10C(=O)c%10c(CC(CC)CCCC)sc(CC(CC)CCCC)c%10C%11=O)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
Donor GG,CCCCCCCCC(CCCCCC)Cc1cc(-c2ccc3c(c2)c(=O)n(CC(CCCCCC)CCCCCCCC)c2cc(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5cc(F)c(-c6sc(C)cc6F)s5)s4)ccc32)sc1C
Donor EM,CCOCCOCCOc1cc(-c2ccc(-c3cc(OCCOCCOCC)c(-c4ccc(C)s4)s3)s2)sc1C
Donor GC,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)cc(F)c4c3nc2-c2cccc(c2)OCCC(CC)(CCCCC)CCCCCc2cc(sc2CCCCCCCC)-c2c3cc(C)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3cc(sc23)-c2ccc-4s2)c1
Donor HI,CCCCCCCCc1sc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3cc(Cl)c(CCCCCCCC)s3)c3cc(C)sc23)cc1Cl
Donor A,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2cc3c(cc2C2SC(C)=CC21)c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c1cc(-c2sc(-c4c(F)c(F)c(-c5cc(CCCCCC)c(C)s5)c5nsnc45)cc2CCCCCC)sc31
Donor HO,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2cc3c(cc2C2SC(C)=CC21)c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c1cc(-c2ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4C5=O)s2)sc31
Donor DP,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O
Donor CA,CCCCCCCCCCCCc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(CCCCCCCC)C5=O)sc3c(-c3ccc(CCCCCCCCCCCC)s3)c3cc(C)sc23)s1
Donor HQ,CCCCCCCCC(CCCCCC)COc1cnc2c(C)ccc(-c3ccc(C)s3)c2n1
Donor E,CCCCCCCCC(CCCCCC)COc1cnc2c(C)ccc(-c3sc(C)c(F)c3F)c2n1
Donor DK,CCCCCCCCC(CCCCCC)COc1cnc2c(C)cc(F)c(-c3ccc(C)s3)c2n1
Donor W,CCCCCCCCC(CCCCCC)CN1B(c2ccccc2)c2cc(C)sc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4C5=O)s2)cc1B(c1ccccc1)N3CC(CCCCCC)CCCCCCCC
Donor GE,CCCCCCCCCCC(CCCCCCCC)COC(=O)Nc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)cc3NC(=O)OCC(CCCCCCCC)CCCCCCCCCC)nc2s1
Donor V,CCCCCCCCC(CCCCCC)COc1nc2c(-c3ccc(C)s3)c(F)c(F)c(C)c2nc1C
Donor IK,CCCCCCC(CCCC)Cc1cc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(F)c(CC(CC)CCCC)s8)c8sc(C)cc8c(-c8cc(F)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)sc1C
Donor CO,CCCCCCc1cc(-c2nc3sc(-c4cc(CCCCCC)c(-c5cc6c(-c7cc(Cl)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(Cl)c(CC(CC)CCCC)s7)c6s5)s4)nc3s2)sc1C
Donor AF,CCCCC(CC)Cc1cc(-c2nc3sc(-c4cc(CC(CC)CCCC)c(-c5cc6c(-c7cc(Cl)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(Cl)c(CC(CC)CCCC)s7)c6s5)s4)nc3s2)sc1C
Donor FH,CCCCCCC(CCCC)Cc1cc(-c2nc3sc(-c4cc(CC(CCCC)CCCCCC)c(-c5cc6c(-c7cc(Cl)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(Cl)c(CC(CC)CCCC)s7)c6s5)s4)nc3s2)sc1C
Donor EV,CCCCCCCCC(CCCCCC)Cc1cc(-c2nc3sc(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5cc6c(-c7cc(Cl)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(Cl)c(CC(CC)CCCC)s7)c6s5)s4)nc3s2)sc1C
