Donor,SMILES
Donor IG,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c3ccsc3c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CCC)nc45)s3)c3ccsc23)sc1C
Donor GB,CCCCCCCCCC(CCCCCCCC)COC(=O)c1cc(-c2c(F)c(F)c(-c3cc(C(=O)OCC(CCCCCCCC)CCCCCCCCC)c(-c4cc(CC(CCCCCC)CCCCCCC)c(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nsnc67)s5)s4)s3)c3nsnc23)sc1-c1cc(CC(CCCCCC)CCCCCCC)c(C)s1
Donor HK,CCCCCCCCOC(=O)c1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)s4)c4sc(-c5cc(C(=O)OCCCCCCCC)c(-c6ccc(C)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)s4)c3s2)sc1C
Donor IB,CCCCCCCCCCOC(=O)c1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)s4)c4sc(-c5cc(C(=O)OCCCCCCCCCC)c(-c6ccc(C)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)s4)c3s2)sc1C
Donor IY,CCCCC(CC)CSc1ccc(-c2c3cc(-c4cc(C(=O)OCCC(C)CCCC(C)C)c(-c5ccc(C)s5)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(-c4cc(C(=O)OCCC(C)CCCC(C)C)c(C)s4)sc23)s1
Donor IF,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3c(F)cc(C)c4nn(CCCCCC)nc34)cc21
Donor GQ,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(C#N)nc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
Donor GN,CCCCCCC(CCCC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCC)CCCCCC)nc56)s4)sc3c(-c3ccc(SCC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1
Donor FJ,CCCCCCCCc1sc(CCCCCCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c1C2=O
Donor T,CCCCCCCCCCCCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
Donor C,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
Donor BO,CCCCCCOC(=O)c1ccc(-c2sc3c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc(C)c3c2Cl)s1
