Acceptor,SMILES
Acceptor WL,CCCC(CCC)N1C(=O)c2ccc3c4ccc5c6c(c(-c7ccc(-c8c9cc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)sc9c(-c9ccc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)s9)c9cc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)sc89)s7)cc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCC)CCC)C5=O
Acceptor GY,CCCC(CCC)N1C(=O)c2ccc3c4ccc5c6c(c(-c7cc8c(-c9ccc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)[se]9)c9sc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)cc9c(-c9ccc(-c%10cc%11c%12ccc%13c%14c(ccc(c%15ccc%16c(c%10C(=O)N(C(CCC)CCC)C%16=O)c%15%11)c%14%12)C(=O)N(C(CCC)CCC)C%13=O)[se]9)c8s7)cc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCC)CCC)C5=O
Acceptor SB,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6/SC(=S)N(CC)C6=O)c6nc(-c7ccccc7)c(-c7ccccc7)nc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5/SC(=S)N(CC)C5=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)sc2-4)cc1
Acceptor TS,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5/SC(=S)N(CC)C5=O)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4/SC(=S)N(CC)C4=O)c4nc(-c5ccccc5)c(-c5ccccc5)nc24)sc1-3
Acceptor PS,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4c2cc3c(CC(CC)CCCC)c4sc(-c6cc7c8c(ccc9c%10c%11c(c6c98)=CC=C6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C%10)C6%11)C(=O)N(C(CCCCCC)CCCCCC)C7=O)cc4c(CC(CC)CCCC)c3s2)C15
Acceptor WU,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c6c(c7sc8c(CC(CC)CCCC)c9c(sc%10c%11cc%12c%13c(ccc%14c%15c%16c(c(c%109)=CC9C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=CC=%15)C%169)c%11c%13%14)C(=O)N(C(CCCCCC)CCCCCC)C%12=O)c(CC(CC)CCCC)c8c7c7cc(c2c3c67)C1=O)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15
Acceptor FO,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4c2cc3sc4c(CC(CC)CCCC)c6c(sc7cc(-c8cc9c%10c(ccc%11c%12c%13c(c8c%11%10)=CC=C8C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C%12)C8%13)C(=O)N(C(CCCCCC)CCCCCC)C9=O)sc76)c(CC(CC)CCCC)c4c3s2)C15
Acceptor KR,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c6c(c7c(sc8c7sc7c(CC(CC)CCCC)c9c(sc%10c9sc9c%11c%12c%13c(c%14ccc%15c%16c(cc(c9%10)c%12c%16%14)C(=O)N(C(CCCCCC)CCCCCC)C%15=O)=CC=C9C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=%11)C9%13)c(CC(CC)CCCC)c78)c7cc(c2c3c67)C1=O)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15
Acceptor K,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4c2cc3c(CC(CC)CCCC)c4sc6c(sc7c(CC(CC)CCCC)c8c(sc9c8sc8c(CC(CC)CCCC)c%10cc(-c%11cc%12c%13c(ccc%14c%15c%16c(c%11c%14%13)=CC=C%11C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C%15)C%11%16)C(=O)N(C(CCCCCC)CCCCCC)C%12=O)sc%10c(CC(CC)CCCC)c89)c(CC(CC)CCCC)c76)c4c(CC(CC)CCCC)c3s2)C15
Acceptor CR,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c6c(c7sc8c(CC(CC)CCCC)c9c(sc%10c9sc9c(CC(CC)CCCC)c%11c(sc%12c%11sc%11c(CC(CC)CCCC)c%13c(sc%14c%15cc%16c%17c(ccc%18c%19c%20c(c(c%14%13)=CC%13C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=CC=%19)C%20%13)c%15c%17%18)C(=O)N(C(CCCCCC)CCCCCC)C%16=O)c(CC(CC)CCCC)c%11%12)c(CC(CC)CCCC)c9%10)c(CC(CC)CCCC)c8c7c7cc(c2c3c67)C1=O)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15
