ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),HOMO_n(eV),LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),HOMO_p(eV),LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,n(labels),p(labels)
11,5,0.4,0.4,0.9,0.46,0.96,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.6,-3.77,1.83,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,48,20,2.4,127,33
12,5,1.5,1.5,4.2,0.57,0.639,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.2,-3.3,1.91,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,127,163
13,5,1.2,1.2,3.4,0.39,0.924,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.2,-3.44,1.76,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,127,153
14,5,0.5,0.5,1.5,0.33,0.96,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-5.6,-3.75,1.85,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,73,37,1.97,127,97
15,5,1,1,3.7,0.35,0.801,-5.9,-3.8,2.1,Clc(cc12)c(Cl)cc1c(=NC3=[N+]4C(c5cc(Cl)c(Cl)cc53)=N6)n7c2=Nc8n([B-]47Oc9ccccc9)c6c%10cc(Cl)c(Cl)cc%108,694.97,-4.9,-3.42,1.48,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,21.6,18,1.2,127,260
16,6,9.29,9.17,13.48,0.65,1.06,-5.58,-3.83,1.75,CCCCCCCCCCN1C(=O)C2C(=C1c1cccs1)C(=O)N(CCCCCCCCCC)C2c1ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c2ccc(-n3c4ccccc4c4ccccc43)cc2)s1,976.32,-5.45,-3.69,1.76,CC(C1C2c3c(C)cc(C)cc3C)=C(C#Cc4sc(C)c(CC(CCCC)CC)c4)C(C)=[N+]1[B-](F)(F)n5c2c(C)c(C#CC)c5C,12.8,6,2.1,45,14
17,7,5.3,5.3,12.48,0.431,0.98,-5.3,-3.7,1.6,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C2=c3c4c5c(n(CCCCCC)c6cc7c8c(ccc3c8c56)C(=O)N(C(CC)CC)C7=O)=CC3C(=O)N(C(CC)CC)C(=O)C(=C2)C43)s1,1780.35,-5.22,-3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,554,48
18,7,1.1,1.1,3.78,0.313,0.95,-5.3,-3.7,1.6,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c6c(cc7c8c9c%10c(c4c68)=CC=C4C(=O)N(C(CC)CC)C(=O)C(C=c9n7CCCCCC)C4%10)C(=O)N(C(CC)CC)C5=O)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1,1524.02,-5.22,-3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,169,48
19,7,0.2,0.2,0.7,0.239,1.08,-5.2,-3.3,1.9,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(=O)n(C(CC)CC)c(=O)c6ccc7c8ccccc8sc4c7c65)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3c(=O)n(C(CC)CC)c(=O)c4ccc5c6ccccc6sc2c5c43)s1,1267.69,-5.22,-3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,570,48
20,8,4.1,3.88,8.46,0.552,0.84,-5.64,-3.84,1.8,CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24,1489.92,-5.02,-3.39,1.63,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.1,485,73
21,8,5.87,5.65,11.14,0.583,0.876,-5.64,-3.84,1.8,CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24,1489.92,-5.17,-3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,485,48
22,8,7.24,6.94,13.23,0.594,0.887,-5.64,-3.84,1.8,CCCCCC(CC)CN1C(=O)C2=CC(c3ccc(C4=c5c6c(c7c(OCCOC)cc8c9c(ccc5c97)C(=O)N(CC(CC)CCCC)C8=O)C=CC5C(=O)N(CC(CC)CCCCC)C(=O)C(=C4)C65)s3)=c3c4c(c5c(OCCOC)cc6c7c(ccc3c75)C(=O)N(CC(CC)CCCC)C6=O)C=CC(C1=O)C24,1489.92,-5.26,-3.71,1.55,CCCCCCCCSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1,50,25,2,485,45
23,9,3.55,3.55,7.57,0.559,0.84,-5.9,-3.8,2.1,CCC(CC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CC)CC)C(=O)C(C=C4)C15,532.64,-5.02,-3.39,1.63,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,97.5,46.4,2.1,32,73
24,10,3.63,3.2,8.51,0.47,0.91,-5.81,-3.65,2.16,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C=C(C#N)C#N)sc2-4)cc1,1059.53,-5.17,-3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,589,48
25,10,2.84,2.61,11.02,0.53,0.49,-6.04,-4.18,1.86,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C(C#N)=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(C(C#N)=C(C#N)C#N)sc2-4)cc1,1109.55,-5.17,-3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,185,48
26,10,3.57,3.42,11.98,0.5,0.6,-5.58,-4.06,1.52,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C(C#N)=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C(C#N)=C(C#N)C#N)s3)sc2-4)cc1,1273.79,-5.17,-3.59,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124,72.9,1.7,495,48
27,11,3.6,3.6,9.1,0.45,0.88,-6.07,-3.94,2.13,CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,1099.5,-5.2,-3.2,2,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,422,163
28,11,2.5,2.5,7.2,0.41,0.86,-6.06,-3.98,2.08,CCCCCCCCC(CCCCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCCCC)CCCCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,1211.72,-5.2,-3.2,2,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,625,163
29,11,0.6,0.6,3,0.36,0.56,-6.14,-4.21,1.93,CCCCCCC(CCCC)CCN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=C(C#N)C#N)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,1147.55,-5.2,-3.2,2,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82,437,163
30,12,8,7.82,13.94,0.598,0.94,-5.89,-4.18,1.71,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)s3)ccc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,1051.41,-5.41,-3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,139,153
31,12,2.75,2.54,7.89,0.374,0.86,-5.75,-4.26,1.49,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)sc2-c2sc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,975.32,-5.41,-3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,184,153
32,13,9.33,9.33,16.56,0.655,0.86,-5.41,-3.87,1.54,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,1427.96,-5.41,-3.57,1.84,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,0,153
33,14,7.51,7.43,14.09,0.553,0.96,-5.64,-3.94,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.54,-2.97,2.57,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s6)c6sc(C)cc6c(-c6ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s6)c5o4)s3)c2n1,58.6,48.8,1.2,21,2
34,14,4.38,4.28,9.47,0.509,0.91,-5.64,-3.94,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.42,-2.95,2.47,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s7)c7sc(C)cc7c(-c7ccc(C#C[Si](C(C)C)(C(C)C)C(C)C)s7)c6o5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,66.4,49.2,1.35,21,86
35,15,10.2,9.8,15.4,0.68,0.97,-5.58,-4.02,1.56,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.36,-3.48,1.88,CCCCCCCCN1C(=O)c2c(-c3cc(CCCCCC)c(C)s3)sc(-c3cc(CCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2C1=O,350,129.6,2.7,21,251
36,16,7.17,7.17,13.87,0.58,0.9,-5.68,-3.91,1.77,CCCCCCSc1ccc(C2(c3ccc(SCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCC)cc2)(c2ccc(SCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1556.2,-5.37,-3.59,1.78,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,50,25,2,14,215
37,16,7.49,7.49,14.43,0.6,0.9,-5.7,-3.9,1.8,CCCCCCCCSc1ccc(C2(c3ccc(SCCCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCCCCCCCC)cc2)(c2ccc(SCCCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1668.41,-5.37,-3.59,1.78,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,50,25,2,533,215
38,16,8.94,8.94,15.32,0.64,0.92,-5.74,-3.86,1.88,CCCCC(CC)CSc1ccc(C2(c3ccc(SCC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(SCC(CC)CCCC)cc2)(c2ccc(SCC(CC)CCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1668.41,-5.37,-3.59,1.78,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,50,25,2,100,215
39,17,7.06,6.85,10.7,0.664,1,-5.51,-3.84,1.67,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,-5.44,-3.48,1.96,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c4nonc4c4cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(-c7ccc(C)s7)s6)s5)sc4c3s2)sc1C,122.8,64.3,1.91,21,79
40,17,8.19,7.95,13.3,0.668,0.92,-5.69,-3.98,1.71,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1011.4,-5.44,-3.48,1.96,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c4nonc4c4cc(-c5cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c6ccc(-c7ccc(C)s7)s6)s5)sc4c3s2)sc1C,122.8,64.3,1.91,164,79
41,18,9.48,9.25,14.27,0.678,0.97,-5.46,-3.65,1.81,CCCCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c5cc6c(cc5n(C(CCCCCCCC)CCCCCCCC)c4cc3-c3sc(/C=C4/C(=O)c5ccccc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCCCC)cc2)cc1,1699.46,-5.33,-2.92,2.41,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117,58.5,2,201,153
