,SMILE,R_grp_SMILES,Name,Comments,R_grp_BigSMILES
42,Cc1sc2c(c3sc(CCCCCCCCCC)c(CCCCCCCCCC)c3)c3cc(c4c(CCCCCC)cc(c5ccc(c6cc(CCCCCC)c(C)s6)c6c5nsn6)s4)sc3c(c3sc(CCCCCCCCCC)c(CCCCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R15])c([R15])c3)c3cc(c4c([R14])cc(c5ccc(c6cc([R14])c(C)s6)c6c5nsn6)s4)sc3c(c3sc([R15])c([R15])c3)c2c1,PBDT-DTBT,,{([$])c1sc2c(c3sc([R15])c([R15])c3)c3cc(c4c([R14])cc(c5ccc(c6cc([R14])c([$])s6)c6c5nsn6)s4)sc3c(c3sc([R15])c([R15])c3)c2c1}
43,Cc1sc2c(OCCCCCCCC)c3cc(c4c5nonc5c(C)c(OCCCCCCCCCC)c4OCCCCCCCCCC)sc3c(OCCCCCCCC)c2c1,Cc1sc2c(O[R2])c3cc(c4c5nonc5c(C)c(O[R15])c4O[R15])sc3c(O[R2])c2c1,PBDT-BX,,{([$])c1sc2c(O[R2])c3cc(c4c5nonc5c([$])c(O[R15])c4O[R15])sc3c(O[R2])c2c1}
44,Cc1sc2c(OCCCCCCCC)c3cc(c4sc(c5c6nonc6c(c6ccc(C)s6)c(OCCCCCCCCCC)c5OCCCCCCCCCC)cc4)sc3c(OCCCCCCCC)c2c1,Cc1sc2c(O[R2])c3cc(c4sc(c5c6nonc6c(c6ccc(C)s6)c(O[R15])c5O[R15])cc4)sc3c(O[R2])c2c1,PBDT-DTBX,,{([$])c1sc2c(O[R2])c3cc(c4sc(c5c6nonc6c(c6ccc([$])s6)c(O[R15])c5O[R15])cc4)sc3c(O[R2])c2c1}
45,Cc1sc2c(SCC(CCCCCC)CCCC)c3cc(c4ccc(c5c6nn(SCC(CCCCCC)CCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(SCC(CCCCCC)CCCC)c2c1,Cc1sc2c([R7])c3cc(c4ccc(c5c6nn([R7])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c([R7])c2c1,FTAZ,,{([$])c1sc2c([R7])c3cc(c4ccc(c5c6nn([R7])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c([R7])c2c1}
46,Cc1sc2c(c3cc(OCC(CC)CCCC)ccc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3cc(OCC(CC)CCCC)ccc3)c2c1,Cc1sc2c(c3cc(O[R4])ccc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3cc(O[R4])ccc3)c2c1,PBFZ-OP,,{([$])c1sc2c(c3cc(O[R4])ccc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3cc(O[R4])ccc3)c2c1}
47,Cc1sc2c(OCC(CC)CCCC)c3cc(c4ccc(C)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4ccc(C)s4)sc3c(O[R4])c2c1,PBDT[2H]T,,{([$])c1sc2c(O[R4])c3cc(c4ccc([$])s4)sc3c(O[R4])c2c1}
48,Cc1sc2c(OCC(CC)CCCC)c3cc(c4c(F)c(F)c(C)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4c(F)c(F)c(C)s4)sc3c(O[R4])c2c1,PBDT[2F]T,,{([$])c1sc2c(O[R4])c3cc(c4c(F)c(F)c([$])s4)sc3c(O[R4])c2c1}
49,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4c(F)c(F)c(C)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c(F)c(F)c(C)s4)sc3c(c3sc([R4])cc3)c2c1,PBDT(T)[2H]T,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4c(F)c(F)c([$])s4)sc3c(c3sc([R4])cc3)c2c1}
50,Cc1sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c3cc(c4c(CC(CC)CCCC)cc(c5c(F)c(F)c(c6cc(CC(CC)CCCC)c(C)s6)c6c5nsn6)s4)sc3c(c3c4ccccc4ccc3)c2c1,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3c4ccccc4ccc3)c2c1,PBDTaNPFBT,,{([$])c1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c([$])s6)c6c5nsn6)s4)sc3c(c3c4ccccc4ccc3)c2c1}
51,Cc1sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c3cc(c4c(CC(CC)CCCC)cc(c5c(F)c(F)c(c6cc(CC(CC)CCCC)c(C)s6)c6c5nsn6)s4)sc3c(c3cc4ccccc4cc3)c2c1,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3cc4ccccc4cc3)c2c1,PBDTbNPFBT,,{([$])c1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c([$])s6)c6c5nsn6)s4)sc3c(c3cc4ccccc4cc3)c2c1}
52,Cc1sc2cc3cc(c4sc(c5c6nsnc6c(c6cc(CC(CCCCCCCC)CCCCCCCCCC)c(C)s6)c(F)c5F)cc4CC(CCCCCCCC)CCCCCCCCCC)sc3cc2c1,Cc1sc2cc3cc(c4sc(c5c6nsnc6c(c6cc([R6])c(C)s6)c(F)c5F)cc4[R6])sc3cc2c1,PBDT-DTFFBT,,{([$])c1sc2cc3cc(c4sc(c5c6nsnc6c(c6cc([R6])c([$])s6)c(F)c5F)cc4[R6])sc3cc2c1}
53,Cc1sc2c(OCC(CC)CCCC)c3cc(C)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(C)sc3c(O[R4])c2c1,O-PBDT,,{([$])c1sc2c(O[R4])c3cc([$])sc3c(O[R4])c2c1}
54,Cc1sc2c(OCC(CC)CCCC)c3cc(c4sc5c(SCC(CC)CCCC)c6cc(C)sc6c(SCC(CC)CCCC)c5c4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4sc5c(S[R4])c6cc(C)sc6c(S[R4])c5c4)sc3c(O[R4])c2c1,SO-PBDT,,{([$])c1sc2c(O[R4])c3cc(c4sc5c(S[R4])c6cc([$])sc6c(S[R4])c5c4)sc3c(O[R4])c2c1}
55,Cc1sc2c(OCC(CC)CCCC)c3cc(c4sc5c(C6=CC=C(C(CC(CC)CCCC)=O)C6)c6cc(C)sc6c(c6sc(C(CC(CC)CCCC)=O)cc6)c5c4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4sc5c(C6=CC=C(C([R4])=O)C6)c6cc(C)sc6c(c6sc(C([R4])=O)cc6)c5c4)sc3c(O[R4])c2c1,PBDT-KTBDT,,{([$])c1sc2c(O[R4])c3cc(c4sc5c(C6=CC=C(C([R4])=O)C6)c6cc([$])sc6c(c6sc(C([R4])=O)cc6)c5c4)sc3c(O[R4])c2c1}
56,Cc1sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c3cc(c4c5nsnc5c(C)c(OSCCCCCCCCCCCC)c4OSCCCCCCCCCCCC)sc3c(OCC(CCCCCCCC)CCCCCCCCCC)c2c1,Cc1sc2c(O[R6])c3cc(c4c5nsnc5c(C)c(O[R5])c4O[R5])sc3c(O[R6])c2c1,PBDT-ROBT,,{([$])c1sc2c(O[R6])c3cc(c4c5nsnc5c([$])c(O[R5])c4O[R5])sc3c(O[R6])c2c1}
57,Cc1sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c3cc(c4ccc(c5sc(c6c7nsnc7c(c7sc(c8ccc(C)s8)cc7)c(OSCCCCCCCCCCCC)c6OSCCCCCCCCCCCC)cc5)s4)sc3c(OCC(CCCCCCCC)CCCCCCCCCC)c2c1,Cc1sc2c(O[R6])c3cc(c4ccc(c5sc(c6c7nsnc7c(c7sc(c8ccc(C)s8)cc7)c(O[R5])c6O[R5])cc5)s4)sc3c(O[R6])c2c1,PBDT-2T-ROBT,,{([$])c1sc2c(O[R6])c3cc(c4ccc(c5sc(c6c7nsnc7c(c7sc(c8ccc([$])s8)cc7)c(O[R5])c6O[R5])cc5)s4)sc3c(O[R6])c2c1}
58,CC(CCCCCCCC)CCCCCCCCCCOc1c2cc(C)sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c2cc(c3c(c4ccc(CCCCCC)s4)cc(c4c5nsnc5c(c5cc(c6sc(CCCCCC)cc6)c(C)s5)cc4)s3)sc21,[R6]Oc1c2cc(C)sc2c(O[R6])c2cc(c3c(c4ccc([R14])s4)cc(c4c5nsnc5c(c5cc(c6sc([R14])cc6)c(C)s5)cc4)s3)sc21,PBDT-DTTBT,,{[R6]Oc1c2cc([$])sc2c(O[R6])c2cc(c3c(c4ccc([R14])s4)cc(c4c5nsnc5c(c5cc(c6sc([R14])cc6)c([$])s5)cc4)s3)sc21}
59,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6sc(CC(CC)CCCC)cc6)c6cc(C)sc6c(c6sc(CC(CC)CCCC)cc6)c5c4)s3)c(OCC(CC)CCCC)c2OCC(CC)CCCC)s1,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(O[R4])c2O[R4])s1,PBDT-TBT,,{([$])c1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6sc([R4])cc6)c6cc([$])sc6c(c6sc([R4])cc6)c5c4)s3)c(O[R4])c2O[R4])s1}
60,Cc1cc2sc(c3c4nsnc4c(c4sc5cc(c6sc7c(c8sc(CC(CC)CCCC)cc8)c8cc(C)sc8c(c8sc(CC(CC)CCCC)cc8)c7c6)sc5c4)c(OSCC(CCCCCC)CCCC)c3OSCC(CCCCCC)CCCC)cc2s1,Cc1cc2sc(c3c4nsnc4c(c4sc5cc(c6sc7c(c8sc([R4])cc8)c8cc(C)sc8c(c8sc([R4])cc8)c7c6)sc5c4)c(O[R7])c3O[R7])cc2s1,PBDT-TTBT,,{([$])c1cc2sc(c3c4nsnc4c(c4sc5cc(c6sc7c(c8sc([R4])cc8)c8cc([$])sc8c(c8sc([R4])cc8)c7c6)sc5c4)c(O[R7])c3O[R7])cc2s1}
61,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4cc5sc(C)c([R18])c5s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4cc5sc(C)c([R18])c5s4)sc3c(O[R5])c2c1,PBDT-TT,,{([$])c1sc2c(O[R5])c3cc(c4cc5sc([$])c([R18])c5s4)sc3c(O[R5])c2c1}
62,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c5nsnc5c(C)c(OCCCCCCCC)c4OCCCCCCCC)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c5nsnc5c(C)c(O[R2])c4O[R2])sc3c(O[R5])c2c1,PBDT-BT,,{([$])c1sc2c(O[R5])c3cc(c4c5nsnc5c([$])c(O[R2])c4O[R2])sc3c(O[R5])c2c1}
63,Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c([R18])c5sc(c6c7nsnc7c(c7sc8c([R18])c(C)sc8c7)c(OCCCCCCCC)c6OCCCCCCCC)cc5s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R18])c5sc(c6c7nsnc7c(c7sc8c([R18])c(C)sc8c7)c(O[R2])c6O[R2])cc5s4)sc3c(O[R5])c2c1,PBDT-TTBTT,,{([$])c1sc2c(O[R5])c3cc(c4c([R18])c5sc(c6c7nsnc7c(c7sc8c([R18])c([$])sc8c7)c(O[R2])c6O[R2])cc5s4)sc3c(O[R5])c2c1}
64,Cc1c(CCCCCC)cc(c2c3nsnc3c(c3cc(CCCCCC)c(c4sc5c(c6sc(CC(CC)CCCC)cc6)c6cc(C)sc6c(c6sc(CC(CC)CCCC)cc6)c5c4)s3)c(F)c2F)s1,Cc1c([R14])cc(c2c3nsnc3c(c3cc([R14])c(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(F)c2F)s1,PBDTTEH-DTHBTff,,{([$])c1c([R14])cc(c2c3nsnc3c(c3cc([R14])c(c4sc5c(c6sc([R4])cc6)c6cc([$])sc6c(c6sc([R4])cc6)c5c4)s3)c(F)c2F)s1}
65,Cc1c(CC(CC)CCCC)cc(c2c3nsnc3c(c3cc(CC(CC)CCCC)c(c4sc5c(c6sc(CC(CC)CCCC)cc6)c6cc(C)sc6c(c6sc(CC(CC)CCCC)cc6)c5c4)s3)c(F)c2F)s1,Cc1c([R4])cc(c2c3nsnc3c(c3cc([R4])c(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(F)c2F)s1,PBDTTEH-DTEHBTff,,{([$])c1c([R4])cc(c2c3nsnc3c(c3cc([R4])c(c4sc5c(c6sc([R4])cc6)c6cc([$])sc6c(c6sc([R4])cc6)c5c4)s3)c(F)c2F)s1}
66,Cc1c(CCCCCC)cc(c2c3nsnc3c(c3cc(CCCCCC)c(c4sc5c(OCC(CCCCCC)CCCCCCCC)c6cc(C)sc6c(OCC(CCCCCC)CCCCCCCC)c5c4)s3)c(F)c2F)s1,Cc1c([R14])cc(c2c3nsnc3c(c3cc([R14])c(c4sc5c(O[R1])c6cc(C)sc6c(O[R1])c5c4)s3)c(F)c2F)s1,PBDTTDD-DTHBTff,,{([$])c1c([R14])cc(c2c3nsnc3c(c3cc([R14])c(c4sc5c(O[R1])c6cc([$])sc6c(O[R1])c5c4)s3)c(F)c2F)s1}
67,Cc1sc2c(OCCCCCCCCCCCCCCCC)c3cc(c4c(CCCCCCCCCCC)c5sc(c6ccc(c7cc8sc(C)c(CCCCCCCCCCC)c8s7)c7c6nsn7)cc5s4)sc3c(OCCCCCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R19])c3cc(c4c([R20])c5sc(c6ccc(c7cc8sc(C)c([R20])c8s7)c7c6nsn7)cc5s4)sc3c(O[R19])c2c1,PBDT-tt-BT,,{([$])c1sc2c(O[R19])c3cc(c4c([R20])c5sc(c6ccc(c7cc8sc([$])c([R20])c8s7)c7c6nsn7)cc5s4)sc3c(O[R19])c2c1}
68,Cc1ccc2c3ccc(c4c(CCCCCCCCCCC)c5sc(c6ccc(c7cc8sc(C)c(CCCCCCCCCCC)c8s7)c7c6nsn7)cc5s4)cc3n(C(CCCCCCCCC)CCCCCCC)c2c1,Cc1ccc2c3ccc(c4c([R20])c5sc(c6ccc(c7cc8sc(C)c([R20])c8s7)c7c6nsn7)cc5s4)cc3n([R21])c2c1,PC-tt-BT,,{([$])c1ccc2c3ccc(c4c([R20])c5sc(c6ccc(c7cc8sc([$])c([R20])c8s7)c7c6nsn7)cc5s4)cc3n([R21])c2c1}
69,Cc1ccc(c2ccc(c3c(CCCCCCCCCCC)c4sc(c5ccc(c6cc7sc(C)c(CCCCCCCCCCC)c7s6)c6c5nsn6)cc4s3)cc2C2(CCCCCCCC)CCCCCCCC)c2c1,Cc1ccc(c2ccc(c3c([R20])c4sc(c5ccc(c6cc7sc(C)c([R20])c7s6)c6c5nsn6)cc4s3)cc2C2([R2])[R2])c2c1,PF-tt-BT,,{([$])c1ccc(c2ccc(c3c([R20])c4sc(c5ccc(c6cc7sc([$])c([R20])c7s6)c6c5nsn6)cc4s3)cc2C2([R2])[R2])c2c1}
70,Cc1ccc(c2c3nn(CC(CC)CCCC)nc3c(c3ccc(c4sc5c(OCC(CC)CCCC)c6cc(C)sc6c(OCC(CC)CCCC)c5c4)s3)cc2)s1,Cc1ccc(c2c3nn([R4])nc3c(c3ccc(c4sc5c(O[R4])c6cc(C)sc6c(O[R4])c5c4)s3)cc2)s1,PBDT-DTBTz,,{([$])c1ccc(c2c3nn([R4])nc3c(c3ccc(c4sc5c(O[R4])c6cc([$])sc6c(O[R4])c5c4)s3)cc2)s1}
71,Cc1ccc2c3ccc(c4ccc(c5c6nn(CC(CC)CCCC)nc6c(c6ccc(C)s6)cc5)s4)cc3n(CCCCCCCC)c2c1,Cc1ccc2c3ccc(c4ccc(c5c6nn([R4])nc6c(c6ccc(C)s6)cc5)s4)cc3n([R2])c2c1,PC-DTBTz,,{([$])c1ccc2c3ccc(c4ccc(c5c6nn([R4])nc6c(c6ccc([$])s6)cc5)s4)cc3n([R2])c2c1}
72,Cc1sc2c(OCC(CC)CCCC)c3cc(c4c(SCCCCCCCCCCCC)cc(c5sc(C)c(SCCCCCCCCCCCC)c5)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4c([R5])cc(c5sc(C)c([R5])c5)s4)sc3c(O[R4])c2c1,PBDT-BT,,{([$])c1sc2c(O[R4])c3cc(c4c([R5])cc(c5sc([$])c([R5])c5)s4)sc3c(O[R4])c2c1}
73,Cc1c(CCCCCCCC)cc(c2c3nsnc3c(c3cc(CCCCCCCC)c(c4sc5c(OCC(CC)CCCC)c6cc(C)sc6c(OCC(CC)CCCC)c5c4)s3)c(F)c2F)s1,Cc1c([R2])cc(c2c3nsnc3c(c3cc([R2])c(c4sc5c(O[R4])c6cc(C)sc6c(O[R4])c5c4)s3)c(F)c2F)s1,PBDT-DTffBT,,{([$])c1c([R2])cc(c2c3nsnc3c(c3cc([R2])c(c4sc5c(O[R4])c6cc([$])sc6c(O[R4])c5c4)s3)c(F)c2F)s1}
74,Cc1c(CCCCCCCC)cc(c2c3nsnc3c(c3cc(CCCCCCCC)c(c4ccc(c5ccc(C)cc5C5(CCCCCCCC)CCCCCCCC)c5c4)s3)c(F)c2F)s1,Cc1c([R2])cc(c2c3nsnc3c(c3cc([R2])c(c4ccc(c5ccc(C)cc5C5([R2])[R2])c5c4)s3)c(F)c2F)s1,PF-DTffBT,,{([$])c1c([R2])cc(c2c3nsnc3c(c3cc([R2])c(c4ccc(c5ccc([$])cc5C5([R2])[R2])c5c4)s3)c(F)c2F)s1}
75,CCCCCCCCc1cc(c2c3nsnc3c(c3cc(CCCCCCCC)c(c4sc5c(OCC(CC)CCCC)c6cc(C)sc6c(OCC(CC)CCCC)c5c4)s3)c(F)c2F)sc1c1cc2c(c3ccc(c4c(CCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCC)c(C)s6)c(F)c5F)s4)cc3C2(CCCCCCCC)CCCCCCCC)cc1,[R2]c1cc(c2c3nsnc3c(c3cc([R2])c(c4sc5c(O[R4])c6cc(C)sc6c(O[R4])c5c4)s3)c(F)c2F)sc1c1cc2c(c3ccc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)cc3C2([R2])[R2])cc1,PBDT-DTffBT-F-DTffBT,,{[R2]c1cc(c2c3nsnc3c(c3cc([R2])c(c4sc5c(O[R4])c6cc([$])sc6c(O[R4])c5c4)s3)c(F)c2F)sc1c1cc2c(c3ccc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c([$])s6)c(F)c5F)s4)cc3C2([R2])[R2])cc1}
76,CC(CCCCCCCC)CCCCCCCCCCc1cc(c2c3nsnc3c(c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(C)s3)c(F)c2F)sc1c1sc(c2ccc(C)s2)cc1,[R6]c1cc(c2c3nsnc3c(c3cc([R6])c(C)s3)c(F)c2F)sc1c1sc(c2ccc(C)s2)cc1,PffBT4T-2OD,,{[R6]c1cc(c2c3nsnc3c(c3cc([R6])c([$])s3)c(F)c2F)sc1c1sc(c2ccc([$])s2)cc1}
77,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6cc(F)c(CC(CC)CCCC)c(F)c6)c6cc(C)sc6c(c6cc(F)c(CC(CC)CCCC)c(F)c6)c5c4)s3)c(OSCCCCCCCCCCCC)c2OSCCCCCCCCCCCC)s1,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6cc(F)c([R4])c(F)c6)c6cc(C)sc6c(c6cc(F)c([R4])c(F)c6)c5c4)s3)c(O[R5])c2O[R5])s1,PRFBDT-BZS,,{([$])c1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6cc(F)c([R4])c(F)c6)c6cc([$])sc6c(c6cc(F)c([R4])c(F)c6)c5c4)s3)c(O[R5])c2O[R5])s1}
78,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4ccc(c5c6nc(c7cc(OCCCCCCCC)ccc7)c(c7cccc(OCCCCCCCC)c7)nc6c(c6ccc(C)s6)cc5)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nc(c7cc(O[R2])ccc7)c(c7cccc(O[R2])c7)nc6c(c6ccc(C)s6)cc5)s4)sc3c(c3sc([R4])cc3)c2c1,PBQ-0F,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nc(c7cc(O[R2])ccc7)c(c7cccc(O[R2])c7)nc6c(c6ccc([$])s6)cc5)s4)sc3c(c3sc([R4])cc3)c2c1}
79,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4ccc(c5c6nc(c7cc(OCCCCCCCC)ccc7)c(c7cccc(OCCCCCCCC)c7)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nc(c7cc(O[R2])ccc7)c(c7cccc(O[R2])c7)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc([R4])cc3)c2c1,PBQ-QF,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nc(c7cc(O[R2])ccc7)c(c7cccc(O[R2])c7)nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3sc([R4])cc3)c2c1}
80,Cc1sc2c(c3sc(CC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6nc(c7cc(OCCCCCCCC)ccc7)c(c7cccc(OCCCCCCCC)c7)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(CC(CC)CCCC)c(F)c3)c2c1,Cc1sc2c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nc(c7cc(O[R2])ccc7)c(c7cccc(O[R2])c7)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc([R4])c(F)c3)c2c1,PBQ-4F,has same name to structure beside it,{([$])c1sc2c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nc(c7cc(O[R2])ccc7)c(c7cccc(O[R2])c7)nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3sc([R4])c(F)c3)c2c1}
81,Cc1sc2c(c3sc(CC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc(CC(CC)CCCC)c(F)c3)c2c1,Cc1sc2c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3sc([R4])c(F)c3)c2c1,PBQ-4F,,{([$])c1sc2c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc([$])s6)c(F)c5F)s4)sc3c(c3sc([R4])c(F)c3)c2c1}
82,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4ccc(c5sc(c6cccs6)c6c5C(c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)=O)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5sc(c6cccs6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc([R4])cc3)c2c1,PBDB-T,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5sc(c6cccs6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc([R4])cc3)c2c1}
83,Cc1sc2c(c3sc(CC(CC)CCCC)c(F)c3)c3cc(c4ccc(c5sc(c6cccs6)c6c5C(c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)=O)s4)sc3c(c3sc(CC(CC)CCCC)c(F)c3)c2c1,Cc1sc2c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5sc(c6cccs6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc([R4])c(F)c3)c2c1,PBDB-T-SF,,{([$])c1sc2c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5sc(c6cccs6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc([R4])c(F)c3)c2c1}
84,Cc1ccc2c(c1)n(CCCCCCCC)c1c2ccc(c2ccc(c3c4nsnc4c(c4ccc(C)s4)c(OSCCCCCCCCCCCC)c3OSCCCCCCCCCCCC)s2)c1,Cc1ccc2c(c1)n([R2])c1c2ccc(c2ccc(c3c4nsnc4c(c4ccc(C)s4)c(O[R5])c3O[R5])s2)c1,PCDTBT-C12,,{([$])c1ccc2c(c1)n([R2])c1c2ccc(c2ccc(c3c4nsnc4c(c4ccc([$])s4)c(O[R5])c3O[R5])s2)c1}
85,Cc1sc2c(OCC(CC)CCCC)c3cc(c4c5sc(C(OCC(CC)CCCC)=O)c(F)c5c(C)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4c5sc(C(O[R4])=O)c(F)c5c(C)s4)sc3c(O[R4])c2c1,PTB7,,{([$])c1sc2c(O[R4])c3cc(c4c5sc(C(O[R4])=O)c(F)c5c([$])s4)sc3c(O[R4])c2c1}
86,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4c5sc(C(OCC(CC)CCCC)=O)c(F)c5c(C)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c5sc(C(O[R4])=O)c(F)c5c(C)s4)sc3c(c3sc([R4])cc3)c2c1,PTB7-Th,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4c5sc(C(O[R4])=O)c(F)c5c([$])s4)sc3c(c3sc([R4])cc3)c2c1}
87,Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4c5sc(C(OCC(CC)CCCC)=O)cc5c(C)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c5sc(C(O[R4])=O)cc5c(C)s4)sc3c(c3sc([R4])cc3)c2c1,PBDTTT-E-T,,{([$])c1sc2c(c3sc([R4])cc3)c3cc(c4c5sc(C(O[R4])=O)cc5c([$])s4)sc3c(c3sc([R4])cc3)c2c1}
