,Match,Named,Matched,nomatch1,nomatch2
216,BTA27,IEIC3,BTA27,,
217,F-H,IT-DM,F-H,,
218,F-F,ITIC-SC6,F-F,,
219,F-Cl,ITIC-SC8,F-Cl,,
220,F-Br,ITIC-SC2C6,F-Br,,
221,DF-PCIC,IT-F,DF-PCIC,,
222,DF-PCNC,IT-2F,DF-PCNC,,
223,IDTIC,DICTiF,IDTIC,,
224,IDTTIC,BAF-4CN,IDTTIC,,
225,DTFBR,DCF-2HT,DTFBR,,
226,TPT-2F,ITIC2,TPT-2F,,
227,4TIC-4F,BT-CIC,,4TIC-4F,
228,6TIC-4F,IHIC1,6TIC-4F,,
229,ITBTR-C2,NTIC-F,ITBTR-C2,,
230,ITBTR-C4,NTIC-OMe,ITBTR-C4,,
231,ITBTR-C6,NTIC-Me,ITBTR-C6,,
232,ITBTR-C8,Y6,ITBTR-C8,,
233,IDIC-4H,ITC6-IC,,IDIC-4H,
234,IDIC-4F,ZITI,IDIC-4F,,
235,IDIC-4Cl,ITCF,IDIC-4Cl,,
236,IDT-BT-R2,ATT-7,,IDT-BT-R2,
237,IDT-BT-RF3,ATT-6,IDT-BT-RF3,,
238,IDT-BT-RO,Y1,IDT-BT-RO,,
239,IDT-BT-RN,Y2,IDT-BT-RN,,
240,IDT-O-IC,BDTS-4Cl,IDT-O-IC,,
241,spiro-IDT-O-IC,BDTC-4Cl,spiro-IDT-O-IC,,
242,ICBF-O,BTA701,ICBF-O,,
243,ICBF,BT3,ICBF,,
244,FICBF-O,BTA703,FICBF-O,,
245,FICBF,Py-2,FICBF,,
246,BT-SFIC,ICz-Rd2,,BT-SFIC,
247,BT-FIC,ICz-RdCN2,,BT-FIC,
248,IDT-3MT,DF-TCIC,IDT-3MT,,
249,SiIDT-IC,HF-TCIC,SiIDT-IC,,
250,IDTBOR,m-ITIC-OR-4Cl,IDTBOR,,
251,IDTBSR,BIBT-NI,IDTBSR,,
252,TTIC,ITIC-Th,TTIC,,
253,TTIC-M,ITIC-Th1,TTIC-M,,
254,IDTT2F,ITIC-Th2,IDTT2F,,
255,IDTOT2F,ITIC-Th3,IDTOT2F,,
256,IDT-RCN,MeIC,IDT-RCN,,
257,IDT-CA,ITIC5,IDT-CA,,
258,IDTO-T-4F,DF-PCIC,,IDTO-T-4F,
259,IDTO-Se-4F,DF-PCNC,,IDTO-Se-4F,
260,IDTO-TT-4F,IDTIC,,IDTO-TT-4F,
261,IDT2Se,IDTTIC,IDT2Se,,
262,IDT2Se-4F,DTFBR,IDT2Se-4F,,
263,HFO-PCIC,TPT-2F,HFO-PCIC,,
264,OF-PCIC,6TIC-4F,OF-PCIC,,
265,HF-PCIC,F6IC,HF-PCIC,,
266,IF-TN,ITBTR-C2,IF-TN,,
267,IDT-TN,ITBTR-C4,IDT-TN,,
268,ITIC-Cl4,ITBTR-C6,,ITIC-Cl4,
269,NFBDT-Me,,NFBDT-Me,,
270,NFBDT-F,,NFBDT-F,,
271,SN6IC,,SN6IC,,
272,SN6IC-4F,,SN6IC-4F,,
273,IDTT-T,,,IDTT-T,
274,IDT-TBA,,IDT-TBA,,
275,IDTT-TBA,,,IDTT-TBA,
276,O-NTIC,,O-NTIC,,
277,O-NTNC,,,O-NTNC,
278,BTTFIC,,BTTFIC,,
279,NFTI,,NFTI,,
280,F5IC,,F5IC,,
281,F7IC,,F7IC,,
282,F9IC,,,F9IC,
283,BDCPDT-IC,,BDCPDT-IC,,
284,BDCPDT-FIC,,BDCPDT-FIC,,
285,BDTIT-M,,BDTIT-M,,
286,BDTThIT-M,,,BDTThIT-M,
287,TTIC-F,,TTIC-F,,
288,IFT-ECA,,IFT-ECA,,
289,IFT-M,,IFT-M,,
290,IFT-IC,,IFT-IC,,
291,IFT-TH,,IFT-TH,,
292,4TIC,,4TIC,,
293,CzC6C8,,CzC6C8,,
294,CZC8,,CZC8,,
295,IDTC,,IDTC,,
296,IDTO,,IDTO,,
297,BTA7,,BTA7,,
298,BT2,,BT2,,
299,BT2b,,BT2b,,
300,CDTCN,,CDTCN,,
301,DICTF-C10,,,DICTF-C10,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
