SMILE,R_grp_SMILES,Name,Comments (Stanley),Duplicates (Dylan),
Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(CCCCCCCCCC)cc(c5c6nsnc6c(c6cc(CCCCCCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R15])cc(c5c6nsnc6c(c6cc([R15])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C10,,,
Cc1sc2c(OSCCCCCCCCCCCC)c3cc(c4c(SCCCCCCCCCCCC)cc(c5c6nsnc6c(c6cc(SCCCCCCCCCCCC)c(C)s6)c(OCCCCCCCC)c5OCCCCCCCC)s4)sc3c(OSCCCCCCCCCCCC)c2c1,Cc1sc2c(O[R5])c3cc(c4c([R5])cc(c5c6nsnc6c(c6cc([R5])c(C)s6)c(O[R2])c5O[R2])s4)sc3c(O[R5])c2c1,PBDT-TBT-C12,,,
Cc1sc2c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c3cc(c4c5nsnc5c(C)c(F)c4F)sc3c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4c5nsnc5c(C)c(F)c4F)sc3c(c3sc([R2])c([R2])c3)c2c1,P0T,,,
Cc1sc2c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c3cc(c4ccc(c5c(F)c(F)c(C)c6c5nsn6)s4)sc3c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c(C)c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1,P1T,,,
Cc1sc2c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c3cc(c4ccc(c5c(F)c(F)c(c6ccc(C)s6)c6c5nsn6)s4)sc3c(c3sc(CCCCCCCC)c(CCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R2])c([R2])c3)c3cc(c4ccc(c5c(F)c(F)c(c6ccc(C)s6)c6c5nsn6)s4)sc3c(c3sc([R2])c([R2])c3)c2c1,P2T,,,
Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4cc(C(OSCC(CCCCCC)CCCC)=O)c(c5sc(C)cc5)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc(C)cc5)s4)sc3c(c3sc([R4])cc3)c2c1,PBDT-2TC,,,
Cc1sc2c(c3sc(SCC(CC)CCCC)cc3)c3cc(c4cc(C(OSCC(CCCCCC)CCCC)=O)c(c5sc(C)cc5)s4)sc3c(c3sc(SCC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R4])cc3)c3cc(c4cc(C(O[R7])=O)c(c5sc(C)cc5)s4)sc3c(c3sc(S[R4])cc3)c2c1,PBDT-S-2TC,,,
SCC(CCCCCC)CCCCc1sc(c2c3cc(C)sc3c(c3sc(SCC(CCCCCC)CCCC)cc3)c3cc(c4c(CCCCCCCC)cc(c5sc(c6cc(CCCCCCCC)c(C)s6)nn5)s4)sc32)cc1,[R7]c1sc(c2c3cc(C)sc3c(c3sc([R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c(C)s6)nn5)s4)sc32)cc1,PBDT-TDZ,,,
Cc1sc2c(c3sc(SSCC(CCCCCC)CCCC)cc3)c3cc(c4c(CCCCCCCC)cc(c5sc(c6cc(CCCCCCCC)c(C)s6)nn5)s4)sc3c(c3sc(SSCC(CCCCCC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R7])cc3)c3cc(c4c([R2])cc(c5sc(c6cc([R2])c(C)s6)nn5)s4)sc3c(c3sc(S[R7])cc3)c2c1,PBDTS-TDZ,,,
Cc1sc2c(c3sc(SCC(CC)CCCC)cc3)c3cc(C)sc3c(c3sc(SCC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc(S[R4])cc3)c3cc(C)sc3c(c3sc(S[R4])cc3)c2c1,S-PBDT,,,
Cc1sc2c(OCC(CC)CCCC)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(OCCCCCCCC)c5OCCCCCCCC)o4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(O[R4])c2c1,PBDT-DFBO,,,
Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(OCCCCCCCC)c5OCCCCCCCC)o4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(c3sc([R4])cc3)c2c1,PBDTT-DFBO,,,
Cc1sc2c(c3oc(CC(CC)CCCC)cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(OCCCCCCCC)c5OCCCCCCCC)o4)sc3c(c3oc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3oc([R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)o6)c(O[R2])c5O[R2])o4)sc3c(c3oc([R4])cc3)c2c1,PBDTF-DFBO,,,
Cc1sc2c(c3sc(CCCCCCCCCC)c(CCCCCCCCCC)c3)c3cc(c4c(CCCCCC)cc(c5ccc(c6cc(CCCCCC)c(C)s6)c6c5nsn6)s4)sc3c(c3sc(CCCCCCCCCC)c(CCCCCCCCCC)c3)c2c1,Cc1sc2c(c3sc([R15])c([R15])c3)c3cc(c4c([R14])cc(c5ccc(c6cc([R14])c(C)s6)c6c5nsn6)s4)sc3c(c3sc([R15])c([R15])c3)c2c1,PBDT-DTBT,,,
Cc1sc2c(OCCCCCCCC)c3cc(c4c5nonc5c(C)c(OCCCCCCCCCC)c4OCCCCCCCCCC)sc3c(OCCCCCCCC)c2c1,Cc1sc2c(O[R2])c3cc(c4c5nonc5c(C)c(O[R15])c4O[R15])sc3c(O[R2])c2c1,PBDT-BX,,,
Cc1sc2c(OCCCCCCCC)c3cc(c4sc(c5c6nonc6c(c6ccc(C)s6)c(OCCCCCCCCCC)c5OCCCCCCCCCC)cc4)sc3c(OCCCCCCCC)c2c1,Cc1sc2c(O[R2])c3cc(c4sc(c5c6nonc6c(c6ccc(C)s6)c(O[R15])c5O[R15])cc4)sc3c(O[R2])c2c1,PBDT-DTBX,,,
Cc1sc2c(SCC(CCCCCC)CCCC)c3cc(c4ccc(c5c6nn(SCC(CCCCCC)CCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(SCC(CCCCCC)CCCC)c2c1,Cc1sc2c([R7])c3cc(c4ccc(c5c6nn([R7])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c([R7])c2c1,FTAZ,,,
Cc1sc2c(c3cc(OCC(CC)CCCC)ccc3)c3cc(c4ccc(c5c6nn(CC(CCCCCC)CCCCCCCC)nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3cc(OCC(CC)CCCC)ccc3)c2c1,Cc1sc2c(c3cc(O[R4])ccc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3cc(O[R4])ccc3)c2c1,PBFZ-OP,,,
Cc1sc2c(OCC(CC)CCCC)c3cc(c4ccc(C)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4ccc(C)s4)sc3c(O[R4])c2c1,PBDT[2H]T,,,
Cc1sc2c(OCC(CC)CCCC)c3cc(c4c(F)c(F)c(C)s4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4c(F)c(F)c(C)s4)sc3c(O[R4])c2c1,PBDT[2F]T,,,
Cc1sc2c(c3sc(CC(CC)CCCC)cc3)c3cc(c4c(F)c(F)c(C)s4)sc3c(c3sc(CC(CC)CCCC)cc3)c2c1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c(F)c(F)c(C)s4)sc3c(c3sc([R4])cc3)c2c1,PBDT(T)[2F]T,,,
Cc1sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c3cc(c4c(CC(CC)CCCC)cc(c5c(F)c(F)c(c6cc(CC(CC)CCCC)c(C)s6)c6c5nsn6)s4)sc3c(c3c4ccccc4ccc3)c2c1,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3c4ccccc4ccc3)c2c1,PBDTaNPFBT,,,
Cc1sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c3cc(c4c(CC(CC)CCCC)cc(c5c(F)c(F)c(c6cc(CC(CC)CCCC)c(C)s6)c6c5nsn6)s4)sc3c(c3cc4ccccc4cc3)c2c1,Cc1sc2c(O[R6])c3cc(c4c([R4])cc(c5c(F)c(F)c(c6cc([R4])c(C)s6)c6c5nsn6)s4)sc3c(c3cc4ccccc4cc3)c2c1,PBDTbNPFBT,,,
Cc1sc2cc3cc(c4sc(c5c6nsnc6c(c6cc(CC(CCCCCCCC)CCCCCCCCCC)c(C)s6)c(F)c5F)cc4CC(CCCCCCCC)CCCCCCCCCC)sc3cc2c1,Cc1sc2cc3cc(c4sc(c5c6nsnc6c(c6cc([R6])c(C)s6)c(F)c5F)cc4[R6])sc3cc2c1,PBDT-DTffBT,"not in drive, same as literature",uppercase FF,
Cc1sc2c(OCC(CC)CCCC)c3cc(C)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(C)sc3c(O[R4])c2c1,O-PBDT,,,
Cc1sc2c(OCC(CC)CCCC)c3cc(c4sc5c(SCC(CC)CCCC)c6cc(C)sc6c(SCC(CC)CCCC)c5c4)sc3c(OCC(CC)CCCC)c2c1,Cc1sc2c(O[R4])c3cc(c4sc5c(S[R4])c6cc(C)sc6c(S[R4])c5c4)sc3c(O[R4])c2c1,SO-PBDT,,,
