Acceptor,SMILES
IDT-BOC6,CCCCCCOc1cc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(-c3cc(OCCCCCC)c(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)cc3OCCCCCC)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)c(OCCCCCC)cc1C=C1C(=O)c2ccccc2C1=C(C#N)C#N
ITIC3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1
FOIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(C=C5C(=O)c6cc(F)ccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(C=C4C(=O)c6cc(F)ccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
ATT-3,CCCCCCCCOC(=O)c1cc2c(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4sc(C=C6SC(=S)N(CC)C6=O)c6sc(C(=O)OCCCCCCCC)cc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)sc(C=C3SC(=S)N(CC)C3=O)c2s1
IT-O1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)cc1
IT-O2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCC)cc5C4=C(C#N)C#N)sc23)cc1
IT-O3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCC)cc5C4=C(C#N)C#N)sc23)cc1
IT-O4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OCCCC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OCCCC)cc5C4=C(C#N)C#N)sc23)cc1
F-ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1
Cl-ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Cl)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)sc23)cc1
Br-ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(Br)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(Br)ccc5C4=C(C#N)C#N)sc23)cc1
I-ITIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(I)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(I)ccc5C4=C(C#N)C#N)sc23)cc1
NFBDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4cc5c6c(sc5cc4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1
NCBDT,CCCCCCCCc1c2sc3c(c2c(CCCCCCCC)c2sc4c(c12)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(C=C2C(=O)c5cc(F)ccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(C=C2C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
ZITI-4F,CCCCCCC(CCCC)CSC1(SCC(CCCC)CCCCCC)C2=C(c3cc4c(cc31)-c1sc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)cc1C4)C(SCC(CCCC)CCCCCC)(SCC(CCCC)CCCCCC)c1cc3c(cc12)Cc1cc(/C=C2\C(=O)c4cc(F)c(F)cc4C2=C(C#N)C#N)sc1-3
ZITI,CCCCCCCCC(CCCCCC)CC1(CC(CCCCCC)CCCCCCCC)c2cc3c(cc2C2C1c1cc4c(cc1C2(CC(CCCCCC)CCCCCCCC)CC(CCCCCC)CCCCCCCC)-c1sc(/C=C2\C(=O)c5cc(F)ccc5C2=C(C#N)C#N)cc1C4)Cc1cc(/C=C2\C(=O)c4cc(F)ccc4C2=C(C#N)C#N)sc1-3
DTCCIC-C17,CCCCCCCCCC(CCCCCCC)n1c2cc3c(cc2c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(c1ccc(CCCCCCCC)cc1)c1ccc(CCCCCCCC)cc1)C(c1ccc(CCCCCCCC)cc1)(c1ccc(CCCCCCCC)cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
O-IDTBR,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
EH-IDTBR,CCCCC(CC)CC1(CC(CC)CCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3
FBR,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)cc21
