ref,ref number from paper,reference link,DOI,Donor,Donor PDI,Donor Mn (kDa),Donor Mw (kDa),HOMO_D (eV),LUMO_D (eV),Ehl_D (eV),Eg_D (eV),Acceptor,HOMO_A (eV),LUMO_A (eV),Ehl_A (eV),Eg_A (eV),D:A ratio (m/m),solvent,Active layer spin coating speed (rpm),total solids conc. (mg/mL),solvent additive,solvent additive conc. (% v/v),active layer thickness (nm),temperature of thermal annealing,annealing time (min),HTL,HTL energy level (eV),HTL thickness (nm),ETL,ETL energy level (eV),ETL thickness (nm),hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),Voc (V),Jsc (mA cm^-2),FF (%),PCE (%)
391,201,link,10.1002/adfm.201802895,PBDB-T,1.7109375,128,219,-5.33,-3.29,,,IDTTIC,-5.68,-3.84,,1.51,1:1,CB,,20,_,0,146,25,0,MoOx,,10,ZnO/PFN-Br,,50,3.38E-04,1.15E-04,0.919,17.3,70.4,11.20
392,202,link,10.1002/aelm.201700358,PTB7-Th,,,,,,,,ITIC,,,,,1:1.2,CB,1500,20,_,0,90,25,0,MoOx,,5,ZnO,,35,,,0.822,14,66.2,7.62
393,203,link,10.1039/C8QM00223A,P3HT,,,,-4.87,-2.97,,,DTFBR,-5.54,-3.68,,1.74,1:1,o-DCB,,15,_,0,110,100,10,PEDOT:PSS,,40,ZrAcAc,,,,,0.71,8.15,62,3.68
394,204,link,10.1039/C8TA07334A,PBT1-C,1.8,34.2,,-5.43,-3.36,,1.84,TPT-2F,-5.84,-4.06,,1.64,1:1,CF,,,DIO,0.25,,100,10,MoOx,,3,ZnO,,,3.51E-04,7.10E-05,0.874,13.89,68.6,8.33
395,205,link,10.1002/adfm.201802324,PBDB-T,,,,-5.33,-3.53,,,4TIC-4F,-5.6,-4.21,,1.32,1:1,CB,3200,20,_,0,100,130,10,PEDOT:PSS,,,C60-bissalt,,,6.38E-05,2.23E-04,0.652,21.5,57,7.99
396,205,link,10.1002/adfm.201802324,PBDB-T,,,,-5.33,-3.53,,,6TIC-4F,-5.45,-4.14,,1.24,1:1,CB,3200,20,_,0,100,25,0,PEDOT:PSS,,,C60-bissalt,,,7.94E-05,4.52E-04,0.723,23,67,11.14
397,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,,,ITBTR-C2,-5.3,-3.7,,1.52,1:1,CB,800,15,DIO,0.3,,25,0,MoOx,,10,ZnO,,,3.21E-06,8.62E-05,0.89,13.38,58.42,6.96
398,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,,,ITBTR-C4,-5.3,-3.71,,1.52,1:1,CB,800,,DIO,0.3,,25,0,MoOx,,10,ZnO,,,1.92E-05,2.36E-05,0.9,14.75,54.15,7.33
399,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,,,ITBTR-C6,-5.3,-3.71,,1.52,1:1,CB,800,,DIO,0.3,,25,0,MoOx,,10,ZnO,,,5.97E-05,6.55E-05,0.89,15.72,57.83,8.18
400,206,link,10.1021/acsaem.8b00851,PBDB-T,,,,-5.21,-3.41,,,ITBTR-C8,-5.28,-3.7,,1.49,1:1,CB,800,,DIO,0.3,,25,0,MoOx,,10,ZnO,,,2.75E-05,3.43E-05,0.9,14.74,58.47,7.85
401,207,link,10.1021/acsami.8b15923,PBDB-T2Cl,2.32,42.7,99.064,-5.51,-3.57,,1.69,IDIC-4H,-5.7,-3.87,,1.69,1:1,CB,800,10,DIO,0.3,,25,0,MoOx,,10,ZnO,,,7.70E-05,3.80E-05,0.98,10.32,45.3,4.57
402,207,link,10.1021/acsami.8b15923,PBDB-T2Cl,2.32,42.7,99.064,-5.51,-3.57,,1.69,IDIC-4F,-5.73,-3.93,,1.66,1:1,CB,800,10,DIO,0.3,,25,0,MoOx,,10,ZnO,,,1.10E-04,6.00E-05,0.88,13,61.91,7.10
403,207,link,10.1021/acsami.8b15923,PBDB-T2Cl,2.32,42.7,99.064,-5.51,-3.57,,1.69,IDIC-4Cl,-5.78,-4.02,,1.58,1:1,CB,800,10,DIO,0.3,,25,0,MoOx,,10,ZnO,,,3.90E-04,2.70E-04,0.83,16.21,68.69,9.24
404,208,link,10.1039/C8TA00368H,PBDB-T,2.68,18.8,50.384,-5.3,-3.41,,,IT-M,-5.3,-3.35,,,1:1,CB,3000,10,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,10,2.69E-04,3.79E-04,0.95,17.13,72,11.74
405,208,link,10.1039/C8TA00368H,PBDB-T-BO,2.26,12.7,28.702,-5.38,-3.63,,1.75,IT-M,-5.3,-3.35,,,1:1,THF,3000,8,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,10,1.70E-04,1.70E-04,0.97,15.77,71,10.78
406,208,link,10.1039/C8TA00368H,PBDB-BzT,2.03,13.5,27.405,-5.36,-3.61,,1.75,IT-M,-5.3,-3.35,,,1:1,THF,3000,8,_,0,100,100,10,PEDOT:PSS,,30,PFN-Br,,10,1.68E-04,1.22E-04,0.96,17.97,70,12.10
407,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,,1.59,IDT-BT-R2,-5.31,-3.7,,1.68,1:1.5,,1400,25,_,0,98,150,30,PEDOT:PSS,,40,Ca,,8,1.22E-03,9.06E-05,1.04,13.75,62.76,8.96
408,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,,1.59,IDT-BT-RF3,-5.35,-3.78,,1.64,1:2,,1300,24,_,0,96,150,30,PEDOT:PSS,,40,Ca,,8,1.80E-03,1.27E-04,0.89,14.74,59.16,7.75
409,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,,1.59,IDT-BT-RO,-5.33,-3.74,,1.66,1:1.5,,1200,20,_,0,101,150,30,PEDOT:PSS,,40,Ca,,8,1.29E-03,9.13E-05,1.02,13.75,60.81,8.57
410,209,link,10.1016/j.orgel.2018.10.005,PTB7-Th,,,,-5.15,-3.43,,1.59,IDT-BT-RN,-5.26,-3.62,,1.71,1:1.5,,1300,20,_,0,105,150,30,PEDOT:PSS,,40,Ca,,8,1.36E-03,8.76E-05,1.1,12.04,53.67,7.09
411,210,link,10.1016/j.dyepig.2018.11.040,PBDB-T,,,,-5.33,-2.92,,,IDT-O-IC,-5.7,-3.79,,1.69,1:1.2,o-DCB,1200,8.8,_,0,100,25,0,MoOx,,8.5,ZnO,,40,2.28E-05,3.63E-05,0.83,10.32,55,4.74
412,210,link,10.1016/j.dyepig.2018.11.040,PBDB-T,,,,-5.33,-2.92,,,spiro-IDT-O-IC,-5.68,-3.79,,1.66,1:1.8,o-DCB,1200,11.2,_,0,100,25,0,MoOx,,8.5,ZnO,,40,3.66E-05,5.24E-05,0.84,11.76,63,6.23
413,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,,,ICBF-O,-5.7,-3.75,,1.9,1:1,CB,,20,_,0,100,25,0,PEDOT:PSS,,40,PDINO,,,,,1.06,6.82,42.6,3.11
414,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,,,ICBF,-5.64,-3.8,,1.8,1:1,CB,,20,_,0,100,25,0,PEDOT:PSS,,40,PDINO,,,,,0.99,10.3,60.1,6.07
415,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,,,FICBF-O,-5.72,-3.85,,1.81,1:1,CB,,20,_,0,100,25,0,PEDOT:PSS,,40,PDINO,,,,,0.96,10.59,54.5,5.54
416,211,link,10.1016/j.dyepig.2018.08.039,PBDB-T,,,,-5.33,-2.92,,,FICBF,-5.66,-3.88,,1.72,1:1,CB,,20,_,0,100,80,,PEDOT:PSS,,40,PDINO,,,,,0.87,12.71,67,7.41
417,212,link,10.1016/j.orgel.2018.10.042,PTB7-Th,,,,-5.22,-3.64,,1.58,BT-SFIC,-5.46,-4.04,,1.44,1:2.5,,,,PN,1.5,,25,0,MoOx,-5.4,,ZnO,-4.4,,1.46E-03,3.08E-04,0.77,18.46,67,9.52
418,212,link,10.1016/j.orgel.2018.10.042,PTB7-Th,,,,-5.22,-3.64,,1.58,BT-FIC,-5.48,-4.1,,1.39,1:1.5,,,,PN,1.5,,25,0,MoOx,-5.4,,ZnO,-4.4,,8.55E-04,2.04E-04,0.73,21.28,65,10.10
423,213,link,10.1016/j.orgel.2018.09.047,PBZ-TS,1.9,18.1,34.39,-5.48,-2.83,,1.85,ITIC,,,,,1:1,,,,_,0,,25,0,PEDOT:PSS,,,PDINO,,,7.01E-04,1.46E-04,0.93,16.73,52.1,8.08
424,214,link,10.1016/j.dyepig.2017.09.009,PBT1-EH,,,,-5.43,-3.43,,1.84,IDTCN,-5.91,-3.94,,1.67,1:1,CF,2000,7,_,0,110,100,5,PEDOT:PSS,,,ZrAcAc,,10,1.20E-03,2.30E-03,0.93,13.08,70.2,8.69
425,215,link,10.1039/C8TC01508B,PBDB-T,,,,-5.49,-3.69,,,IDT-T,-5.57,-4.01,,1.56,1:1,CB,3000,15,_,0,90,25,0,MoOx,,10,ZnO,,,1.66E-04,8.19E-06,0.952,11.21,59.62,6.36
426,215,link,10.1039/C8TC01508B,PBDB-T,,,,-5.49,-3.69,,,IDT-3MT,-5.68,-4.16,,1.52,1:1,CB,4000,15,_,0,90,25,0,MoOx,,10,ZnO,,,2.07E-05,1.02E-05,0.95,14.43,61.32,8.40
427,216,link,10.1002/cjoc.201700809,PBDB-T,,,,-5.33,-3.53,,,SiIDT-IC,-5.47,-3.78,,1.69,1:1,CB,,,_,0,,110,10,MoOx,,10,ZnO/PFN-Br,,35,3.42E-04,1.02E-04,0.92,13.53,65.56,8.16
428,216,link,10.1002/cjoc.201700809,PBDB-T,,,,-5.33,-3.53,,,IDIC,-5.53,-3.91,,1.62,1:1,CB,,,_,0,,110,10,MoOx,,10,ZnO/PFN-Br,,35,,,0.81,16.69,65.36,8.83
429,217,link,10.1002/ajoc.201800389,PBDB-T,,,,-5.33,-3.53,,,IDTBOR,-5.49,-3.93,,1.56,1:2,CB,,,_,0,100,130,10,MoOx,,10,ZnO/PFN-Br,,35,2.31E-04,3.08E-05,0.89,15.98,54.67,7.74
430,217,link,10.1002/ajoc.201800389,PBDB-T,,,,-5.33,-3.53,,,IDTBSR,-5.41,-3.88,,1.53,1:2,CB,,,_,0,100,130,10,MoOx,,10,ZnO/PFN-Br,,35,2.20E-04,1.53E-06,0.95,13.95,52.38,6.95
431,218,link,10.1016/j.dyepig.2017.12.017,PBDB-T,,,,-5.36,-3.55,,1.81,TTIC,-5.75,-4.35,,1.4,1:1.5,o-DCB,1200,10,DIO,0.15,85,125,5,MoOx,-5.49,8.5,ZnO,-4.14,30,9.24E-05,1.07E-04,0.77,22.26,62,10.61
432,218,link,10.1016/j.dyepig.2017.12.017,PBDB-T,,,,-5.36,-3.55,,1.81,TTIC-M,-5.68,-4.24,,1.44,1:1.5,o-DCB,1200,10,DIO,0.15,86,175,5,MoOx,-5.49,8.5,ZnO,-4.14,30,1.25E-04,1.33E-04,0.8,20.51,70,11.48
433,219,link,10.1021/acs.jpclett.8b03247,J52,1.42,18.82,26.7244,-5.39,,,1.93,ITIC,-5.54,-4,,,1:1.5,CF,1500,18,_,0,,25,0,PEDOT:PSS,,,PDINO,,,6.60E-05,,0.803,10.87,43.2,3.78
434,219,link,10.1021/acs.jpclett.8b03247,J52-Cl,2.39,25.84,61.7576,-5.53,-3.59,,1.94,ITIC,-5.54,-4,,,1:1.5,CF,1500,18,_,0,,25,0,PEDOT:PSS,,,PDINO,,,9.50E-04,,0.956,17.17,70.2,11.53
435,220,link,10.1021/acsenergylett.8b00928,PBDB-T,,,,,,,,IDTT2F,-5.57,-4.03,,1.46,1:1,o-DCB,1500,8,_,0,100,25,0,MoOx,,8,ZnO,,30,1.03E-05,3.10E-06,0.81,18.51,59,8.85
436,220,link,10.1021/acsenergylett.8b00928,PBDB-T,,,,,,,,IDTOT2F,-5.54,-3.94,,1.44,1:1,o-DCB,1500,8,_,0,97,25,0,MoOx,,8,ZnO,,30,4.80E-05,4.00E-05,0.85,20.87,72,12.79
437,221,link,10.1002/adma.201804790,PBDB-T,,,,,,,,IDTIC,-5.92,-3.93,,1.7,1:1,CB,1800,10,DIO,0.7,117,25,0,MoOx,,6,ZnO,,30,,1.07E-03,0.89,10.94,61.9,6.05
438,222,link,10.1016/j.cclet.2017.11.018,PBDB-T,,,,-5.33,-3.53,,,ITIC,-5.66,-3.97,,1.59,1:1,CB,,20,_,0,98,25,0,PEDOT:PSS,,40,N719:PrC60MAI,,,5.10E-05,3.80E-04,0.897,16.92,65.5,9.94
439,222,link,10.1016/j.cclet.2017.11.018,PBDB-T,,,,-5.33,-3.53,,,ITCT,-5.65,-4.02,,1.55,1:1,CB,,20,_,0,98,25,0,PEDOT:PSS,,40,N719:PrC60MAI,,,6.10E-05,5.10E-04,0.85,17.88,72.3,10.99
440,223,link,10.1016/j.synthmet.2017.12.005,P3HT,,,,-4.94,-3.06,,,IDT-RCN,-5.62,-3.75,,1.54,1:0.8,CB,,14.4,CN,2,100,25,0,PEDOT:PSS,-5.1,30,Ca,-3,10,,,0.69,7.92,63,3.42
441,223,link,10.1016/j.synthmet.2017.12.005,P3HT,,,,-4.94,-3.06,,,IDT-CA,-5.59,-3.64,,1.66,1:0.8,CB,,14.4,CN,2,100,25,0,PEDOT:PSS,-5.1,30,Ca,-3,10,,,0.84,7.77,64,4.19
442,224,link,10.1002/aenm.201801618,PBDB-T,2.02,180.4,364.9,-5.33,-2.92,,,IDTO-T-4F,-5.49,-3.88,,1.45,1:1.2,CB,1700,22,DIO,0.3,110,25,0,PEDOT:PSS,,40,PDINO,,,2.62E-04,6.41E-05,0.864,20.12,72.7,12.62
443,224,link,10.1002/aenm.201801618,PBDB-T,2.02,180.4,364.9,-5.33,-2.92,,,IDTO-Se-4F,-5.48,-3.9,,1.4,1:1.1,CB,1300,20,DIO,0.3,110,25,0,PEDOT:PSS,,40,PDINO,,,1.82E-04,4.45E-05,0.831,18.55,69.2,10.67
444,224,link,10.1002/aenm.201801618,PBDB-T,2.02,180.4,364.9,-5.33,-2.92,,,IDTO-TT-4F,-5.39,-3.89,,1.38,1:1.1,CF,1300,12,DIO,0.3,110,25,0,PEDOT:PSS,,40,PDINO,,,1.07E-04,2.18E-05,0.856,17.21,69.4,10.21
445,225,link,10.1039/C8TA00783G,PBDB-T,,,,-5.33,-2.92,,,IDT2Se,-5.41,-3.87,,1.45,1:1,CB,,20,_,0,110,80,,PEDOT:PSS,,40,PDINO,,,1.52E-04,4.80E-05,0.88,17.31,59.8,9.11
446,225,link,10.1039/C8TA00783G,PBDB-T,,,,-5.33,-2.92,,,IDT2Se-4F,-5.51,-4,,1.39,1:1,CB,,20,_,0,110,80,,PEDOT:PSS,,40,PDINO,,,2.08E-04,1.64E-04,0.79,21.35,65.4,11.03
447,226,correct link,10.1002/solr.201800186,PBDT-Se-TAZ,1.64415,42.429,25.806,-5.23,-3.45,,1.92,ITIC,-5.48,-3.83,,,1:1,CF,2000,16,DIO,0.3,100,25,0,MoOx,,10,ZnO,,30,1.33E-03,8.70E-04,0.81,18.63,66.7,10.07
448,226,correct link,10.1002/solr.201800186,PBDTS-Se-TAZ,1.93806,56.473,29.139,-5.29,-3.49,,1.9,ITIC,-5.48,-3.83,,,1:1,CF,2000,16,DIO,0.3,100,25,0,MoOx,,10,ZnO,,30,2.47E-03,2.03E-03,0.84,19.51,75.1,12.31
449,227,link,10.1002/adma.201707170,PBDB-TF,,,,-5.54,-3.65,,,IT-M,-5.58,-3.93,,1.59,1:1,CB,,22,DIO,0.75,90,100,10,PEDOT:PSS,,35,PFN-Br,,,,,1.02,15.79,65,10.50
450,227,link,10.1002/adma.201707170,PBDB-TF,,,,-5.54,-3.65,,,IT-4F,-5.67,-4.15,,1.5,1:1,CB,,20,DIO,1,90,100,10,PEDOT:PSS,,35,PFN-Br,,,,,0.87,20.38,77,13.70
451,228,link,10.1039/C7TA11059F,PBZ1,1.88,27.3,51.324,-5.27,-3.06,,1.96,ITIC,-5.6,-3.85,,,1:1,Toluene,,,_,0,,160,10,MoOx,,10,ZnO,,,4.36E-04,2.98E-04,0.74,15.7,49.8,5.80
452,228,link,10.1039/C7TA11059F,PBZ-m-CF3,1.74,33.6,58.464,-5.49,-3.22,,1.99,ITIC,-5.6,-3.85,,,1:1,Toluene,,,_,0,,160,10,MoOx,,10,ZnO,,,5.08E-04,3.96E-04,0.94,18.4,60.2,10.40
453,229,link,10.1039/C8TA03753A,PBDB-TF,,,,-5.48,-3.64,,1.81,HF-PCIC,-5.53,-3.83,,1.5,1:1.2,CB,2000,20,CN,1,100,110,10,MoOx,-5.3,10,ZnO,-4.4,,1.68E-04,1.35E-04,0.92,16.01,72.42,10.97
454,229,link,10.1039/C8TA03753A,PBDB-TF,,,,-5.48,-3.64,,1.81,HFO-PCIC,-5.5,-3.81,,1.48,1:1.2,CB,2000,20,CN,1,100,110,10,MoOx,-5.3,10,ZnO,-4.4,,8.60E-05,2.50E-05,0.93,12.62,70.99,8.36
455,229,link,10.1039/C8TA03753A,PBDB-TF,,,,-5.48,-3.64,,1.81,OF-PCIC,-5.66,-3.86,,1.59,1:1.2,CB,2000,20,CN,1,100,110,10,MoOx,-5.3,10,ZnO,-4.4,,1.29E-04,3.20E-05,0.91,13.76,73.37,9.09
456,229,link,10.1002/adma.201705208,PBDB-T,,,,-5.33,-3.53,,,DF-PCIC,-5.49,-3.77,,1.59,1:1.4,,2000,20,CN,0.5,100,130,10,MoOx,-5.3,10,ZnO/PFN,-4.4,,1.28E-04,2.60E-05,0.91,15.66,72,10.14
457,230,link,10.1016/j.orgel.2018.05.050,PBDB-T,,,,-5.33,-3.53,,,IF-TN,-5.8,-3.93,,1.81,1:1,CB,2000,10,CN,2,100,80,5,PEDOT:PSS,-5.33,,PNDIT-F3N-Br,-4.18,5,4.54E-04,1.02E-05,1.006,7.02,40.95,2.89
458,230,link,10.1016/j.orgel.2018.05.050,PBDB-T,,,,-5.33,-3.53,,,IDT-TN,-5.42,-4.03,,1.43,1:1,CB,2000,10,CN,2,100,80,5,PEDOT:PSS,-5.33,,PNDIT-F3N-Br,-4.18,5,8.55E-04,6.79E-05,0.967,13.22,45.17,5.77
459,231,link,10.1021/acs.macromol.8b00683,PBDB-T,,,,-5.21,-3.41,,,IT-M,-5.58,-3.98,,,1:1,CB,,20,DIO,0.8,,120,15,PEDOT:PSS,,,PDINO,,5,1.08E-05,4.82E-04,0.93,16.69,66.77,10.31
460,232,link,10.1039/C8TC02701C,PBDB-T,,,,-5.2,-3,,,ITIC-Cl4,-5.5,-3.9,,1.48,1:1,o-DCB,1500,15,CN,0.5,,25,0,MoOx,,10,ZnO,,,,,0.74,21.5,60,9.60
461,233,link,10.1016/j.dyepig.2018.05.050,PBDTS-TzBI,,,,-5.39,-3.52,,1.57,ITIC,-5.48,-3.83,,,1:1,CB,,20,_,0,100,130,,PEDOT:PSS,,,PFN-Br,,,6.45E-05,3.09E-04,0.94,16.8,56.2,9.04
462,233,link,10.1016/j.dyepig.2018.05.050,PBDTS-TzBI,,,,-5.39,-3.52,,1.57,ITIC-Th,-5.66,-3.93,,,1:1,CB,,20,_,0,100,130,,PEDOT:PSS,,,PFN-Br,,,1.27E-04,5.18E-04,0.91,17.34,60.44,9.67
463,234,link,10.1016/j.dyepig.2018.03.061,PBDB-T,,,,-5.33,-2.92,,,NFBDT-Me,-5.4,-3.78,,1.58,1:0.6,CF,,9.6,_,0,,25,0,PEDOT:PSS,,,PDIN,,,2.07E-04,1.68E-04,0.909,17.3,70,11.00
464,234,link,10.1016/j.dyepig.2018.03.061,PBDB-T,,,,-5.33,-2.92,,,NFBDT-F,-5.43,-3.88,,1.5,1:1,CF,,,_,0,,25,0,PEDOT:PSS,,,PDIN,,,2.49E-04,1.33E-04,0.793,19.28,69.5,10.62
465,234,link,10.1016/j.dyepig.2018.03.061,PBDB-T,,,,-5.33,-2.92,,,NFBDT,-5.4,-3.83,,1.56,1:0.8,CF,,9,_,0,100,25,0,PEDOT:PSS,,,PDIN,,,3.68E-04,1.38E-04,0.872,17.85,67.2,10.42
466,235,link,10.1039/C8TA01739E,PBDB-T,,,,-5.33,-3.53,,,IT-DM,-5.47,-3.78,,,1.5:2,CB,,20,_,0,100,160,,PEDOT:PSS,,,PFN-Br,,,2.31E-04,4.01E-05,0.95,15.95,68.7,10.41
467,236,link,10.1021/acs.chemmater.8b02276,PBDB-T,,,,-5.33,-3.53,,,SN6IC,-5.38,-3.93,,1.39,1:1,CB,3000,20,DIO,0.3,100,25,0,PEDOT:PSS,,,C60-bissalt,,,,2.95E-04,0.88,16.5,66,9.60
468,236,link,10.1021/acs.chemmater.8b02276,PBDB-T,,,,-5.33,-3.53,,,SN6IC-4F,-5.52,-4.11,,1.32,1:1,CB,3000,20,DIO,0.3,100,25,0,PEDOT:PSS,,,C60-bissalt,,,,5.00E-04,0.78,23.2,73,13.20
469,237,link,10.1021/acsenergylett.8b00366,PTB7-Th,,,,-5.02,-3.44,,,ITIC,-5.47,-3.76,,,1:2,CB,3000,25,_,0,,25,0,MoOx,,,ZnO,,,2.07E-02,2.43E-04,0.825,14.4,66,7.80
470,237,link,10.1021/acsenergylett.8b00366,PTB7-Th,,,,-5.02,-3.44,,,IDTT-T,-5.51,-3.51,,2,1:2,CB,3000,25,_,0,57,25,0,MoOx,,,ZnO,,,5.19E-03,3.98E-03,1.015,15.7,57,9.10
471,238,link,10.1002/solr.201800120,PBDB-T,,,,-5.3,-3.4,,,IDT-TBA,-5.71,-3.93,,1.91,1:1,,2000,20,_,0,100,120,10,MoOx,,,ZnO,,,2.20E-04,5.00E-05,1,11.2,57,6.40
472,238,link,10.1002/solr.201800120,PBDB-T,,,,-5.3,-3.4,,,IDDT-TBA,-5.91,-4,,1.78,1:1,,2000,20,_,0,100,120,,MoOx,,,ZnO,,,1.40E-04,4.30E-05,1.03,11.6,61,7.30
473,239,link,10.1007/s11426-018-9252-9,PBDB-T,,,,-5.33,-3.53,,,IDT-IC,-5.78,-3.84,,1.72,1:1,o-DCB,1200,8,_,0,80,25,0,MoOx,,,ZnO,,,4.02E-05,7.33E-05,0.83,10.54,49,4.69
474,240,link,10.1002/solr.201800053,PBDB-T,,,,-5.33,-2.92,,,O-NTIC,-5.51,-3.67,,1.7,1:0.8,CB,,19.9,DIO,0.5,,25,0,PEDOT:PSS,,,PDINO,,,1.54E-04,8.27E-05,0.978,13.31,69.9,9.10
475,240,link,10.1002/solr.201800053,PBDB-T,,,,-5.33,-2.92,,,O-NTNC,-5.54,-3.78,,1.64,1:0.8,CB,,19.9,DIO,0.8,,25,0,PEDOT:PSS,,,PDINO,,,2.55E-04,1.69E-04,0.942,15.98,73.4,11.04
476,241,link,10.1002/asia.201801669,PBDB-T,,,,-5.33,-2.92,,,BTTFIC,-5.56,-3.95,,1.58,1.5:1,o-DCB,,15,_,0,106,130,10,MoOx,,,ZnO,,,1.16E-04,1.22E-04,0.935,17.74,54.3,9.00
477,241,link,10.1002/asia.201801669,PTB7-Th,,,,-5.2,-3.56,,,BTTFIC,-5.56,-3.95,,1.58,1:2,o-DCB,,30,_,0,101,130,10,MoOx,,,ZnO,,,6.70E-05,1.01E-04,0.871,17.67,55,8.47
478,242,link,10.1007/s11426-017-9199-1,PBDB-TF,,,,-5.5,-3.61,,1.83,IT-4F,-5.69,-4.07,,,1:1,CB,,10,DIO,0.75,100,100,,MoOx,,,ZnO,,,9.76E-04,7.15E-04,0.84,22.2,72.5,13.50
479,243,link,10.1039/C7QM00585G,PBDB-T,,,,,,,,NFTI,-5.46,-3.77,,1.57,1:0.9,o-DCB,,,DPE,3,,25,0,PEDOT:PSS,,,FPI,,,3.79E-04,1.11E-05,0.898,16.22,57,8.34
480,244,link,10.1021/acs.chemmater.8b02222,FTAZ,1.89,60.1,113.589,-5.38,-3.17,,,F5IC,-5.82,-4.05,,1.64,1:1.5,CF,2800,12.5,DIO,0.25,,25,0,MoOx,,,ZnO/PFN-Br,,,3.00E-04,3.40E-05,0.704,14.88,53.7,5.60
481,244,link,10.1021/acs.chemmater.8b02222,FTAZ,1.89,60.1,113.589,-5.38,-3.17,,,F7IC,-5.74,-4.01,,1.56,1:1.5,CF,2800,12.5,DIO,0.25,,25,0,MoOx,,,ZnO/PFN-Br,,,2.70E-04,8.30E-05,0.742,18.43,59.7,8.20
482,244,link,10.1021/acs.chemmater.8b02222,FTAZ,1.89,60.1,113.589,-5.38,-3.17,,,F9IC,-5.52,-3.97,,1.49,1:1.5,CF,2800,12.5,DIO,0.25,,25,0,MoOx,,,ZnO/PFN-Br,,,2.10E-04,1.50E-04,0.873,20.2,66.4,11.70
483,245,link,10.1021/acsami.8b16554,PBDTTz-SBP,2.3,21,48.3,-5.46,-3.5,,1.96,ITIC,-5.6,-3.93,,,1:1,CB,,,_,0,125,25,0,PEDOT:PSS,,,PFN-Br,,,1.42E-04,3.90E-05,0.914,18.52,71.43,12.09
484,245,link,10.1021/acsami.8b16554,PBDTTz-BP,2.3,21,48.3,-4.8,-2.45,,1.96,ITIC,-5.6,-3.93,,,1:1,CB,,,_,0,125,25,0,PEDOT:PSS,,,PFN-Br,,,,,0.832,17.96,61.56,9.20
485,246,link,10.1039/c8ee01546e,PJ1,1.58,87.8,138.724,-5.38,-3.38,,2,m-ITIC,-5.54,-3.95,,1.57,1:1.5,CF,,,DIO,0.5,110.9,130,5,PEDOT:PSS,,,PDINO,,,5.50E-05,2.00E-05,1.031,11.1,56,6.41
486,246,link,10.1039/c8ee01546e,PJ1,1.58,87.8,138.724,-5.38,-3.38,,2,IDIC,-5.67,-4.1,,1.69,1:1.5,CF,,,DIO,0.5,109.1,130,5,PEDOT:PSS,,,PDINO,,,6.90E-05,2.50E-05,0.958,12,53.6,6.18
487,246,link,10.1039/c8ee01546e,PJ2,1.44,80.1,115.344,-5.14,-3.33,,1.81,m-ITIC,-5.54,-3.95,,1.57,1:1.5,CF,,,DIO,0.5,112.6,130,5,PEDOT:PSS,,,PDINO,,,1.50E-04,8.70E-05,0.988,16.8,62.3,10.34
488,246,link,10.1039/c8ee01546e,PJ2,1.44,80.1,115.344,-5.14,-3.33,,1.81,IDIC,-5.67,-4.1,,1.69,1:1.5,CF,,,DIO,0.5,110.3,130,5,PEDOT:PSS,,,PDINO,,,2.00E-04,1.59E-04,0.939,17,75.3,12.01
489,246,link,10.1039/c8ee01546e,PJ3,1.56,79.2,123.552,-5.01,-3.26,,1.75,m-ITIC,-5.54,-3.95,,1.57,1:1.5,CF,,,DIO,0.5,117.8,130,5,PEDOT:PSS,,,PDINO,,,8.10E-05,4.90E-05,0.96,12.7,63.5,7.76
490,246,link,10.1039/c8ee01546e,PJ3,1.56,79.2,123.552,-5.01,-3.26,,1.75,IDIC,-5.67,-4.1,,1.69,1:1.5,CF,,,DIO,0.5,114.5,130,5,PEDOT:PSS,,,PDINO,,,1.00E-04,6.40E-05,0.908,12.8,69.8,8.11
491,247,link,10.1039/C7TA09837E,2D-PBTCl,1.59,41.37,66.16,-5.45,-3.6,,1.58,ITIC,-5.48,-3.83,,,1:1,CB,1000,8,DIO,0.25,100,25,0,MoOx,,,ZnO,,,4.90E-04,,0.91,15.79,61.32,8.81
492,247,link,10.1039/C7TA09837E,2D-PBTCl2,1.91,41.86,80.3,-5.43,-3.63,,1.48,ITIC,-5.48,-3.83,,,1:1,CB,1000,8,DIO,0.25,90,25,0,MoOx,,,ZnO,,,1.10E-04,,0.87,14.52,58.43,7.38
