Donor,SMILES,SMILES w/o R_group replacement,SMILES w/o R_group,Big_SMILES,SELFIES
2TC-TT-BDTFT,CCCCCCC(CCCC)COC(=O)c1cc(C)sc1-c1cc2sc(-c3sc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)cc3C(=O)OCC(CCCC)CCCCCC)cc2s1,,,{CCCCCCC(CCCC)COC(=O)c1cc([$])sc1-c1cc2sc(-c3sc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc([$])cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)cc3C(=O)OCC(CCCC)CCCCCC)cc2s1},[C][C][C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][=C][Branch1][C][C][S][C][=Ring1][=Branch1][C][=C][C][S][C][Branch2][Branch2][Branch2][C][S][C][Branch2][=Branch1][#Branch2][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][=C][Ring2][Ring2][=Branch1][S][Ring2][Ring2][=Branch2][=C][C][=Ring2][Ring2][=C][C][=Branch1][C][=O][O][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][=C][C][=Ring2][=Branch1][C][S][Ring2][=Branch1][Branch1]
PBDT(2F)T,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,,,{CCCCC(CC)COc1c2cc(-c3sc([$])c(F)c3F)sc2c(OCC(CC)CCCC)c2cc([$])sc12},[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=C][C][=C][Branch1][#C][C][S][C][Branch1][C][C][=C][Branch1][C][F][C][=Ring1][#Branch1][F][S][C][Ring1][=N][=C][Branch1][N][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][C][=C][Branch1][C][C][S][C][Ring2][Ring1][=C][=Ring1][=Branch1]
PBFTT,CCCCCCCCOC(=O)c1sc2c(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,,,{CCCCCCCCOC(=O)c1sc2c(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc([$])cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)sc([$])c2c1F},[C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][S][C][=C][Branch2][=Branch1][#Branch2][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][=C][Ring2][Ring2][=Branch1][S][Ring2][Ring2][=Branch2][S][C][Branch1][C][C][=C][Ring2][Ring2][#C][C][=Ring2][Branch1][C][F]
PBDB-T-2F,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,,,{CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc([$])s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc([$])sc23)cc1F},[C][C][C][C][C][Branch1][Ring1][C][C][C][C][S][C][Branch2][=Branch2][O][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][Ring2][Ring2][=C][=C][Branch2][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Ring2][=Ring1][=Branch1][=C][C][=Ring2][=Branch1][=Branch2][F]
PBT1-C-2Cl,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(Cl)c(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)cc4Cl)sc3c(-c3ccc(CC(CCCC)CCCCCC)cc3)c3cc(C)sc23)cc1,,,{CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(Cl)c([$])s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)cc4Cl)sc3c(-c3ccc(CC(CCCC)CCCCCC)cc3)c3cc([$])sc23)cc1},[C][C][C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][=C][C][=C][Branch2][#Branch2][C][C][=C][C][=C][Branch2][=Branch1][N][C][S][C][Branch2][Branch1][S][C][S][C][Branch1][=C][C][=C][C][Branch1][C][Cl][=C][Branch1][C][C][S][Ring1][#Branch1][=C][C][=Ring1][N][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][=C][C][=Ring2][Ring2][#Branch2][Cl][S][C][Ring2][Ring2][S][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][#C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][C][=C][Ring2][Ring1][C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][#Branch2][=Ring1][=Branch1][C][=C][Ring2][=Branch1][S]
PBDT(2H)T,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,,,{CCCCC(CC)COc1c2cc(-c3ccc([$])s3)sc2c(OCC(CC)CCCC)c2cc([$])sc12},[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=C][C][=C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][S][C][Ring1][O][=C][Branch1][N][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][C][=C][Branch1][C][C][S][C][Ring2][Ring1][N][=Ring1][=Branch1]
PFBDB-T,CCCCCCC(CC)c1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(F)c(C)s6)c6c5C(=O)c5c(C(CC)CCCCCC)sc(C(CC)CCCCCC)c5C6=O)cc4F)sc3c(-c3ccc(C(CC)CCCCCC)s3)c3cc(C)sc23)s1,,,{CCCCCCC(CC)c1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(F)c([$])s6)c6c5C(=O)c5c(C(CC)CCCCCC)sc(C(CC)CCCCCC)c5C6=O)cc4F)sc3c(-c3ccc(C(CC)CCCCCC)s3)c3cc([$])sc23)s1},[C][C][C][C][C][C][C][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][=Branch2][#C][C][=C][C][=C][Branch2][=Branch1][=C][C][S][C][Branch2][=Branch1][C][C][S][C][Branch1][=C][C][=C][C][Branch1][C][F][=C][Branch1][C][C][S][Ring1][#Branch1][=C][C][=Ring1][N][C][=Branch1][C][=O][C][=C][Branch1][N][C][Branch1][Ring1][C][C][C][C][C][C][C][C][S][C][Branch1][N][C][Branch1][Ring1][C][C][C][C][C][C][C][C][=C][Ring2][Ring1][#Branch1][C][Ring2][Ring1][N][=O][=C][C][=Ring2][Ring2][N][F][S][C][Ring2][Branch1][C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][N][C][Branch1][Ring1][C][C][C][C][C][C][C][C][S][Ring1][=C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Branch2][=Ring1][=Branch1][S][Ring2][=Branch1][=N]
PBDB-ST,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,,,{CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc([$])s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc([$])sc23)s1},[C][C][C][C][C][Branch1][Ring1][C][C][C][S][C][=C][C][=C][Branch2][=Branch2][=Branch2][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][Ring2][Ring2][=C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][N][S][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][Ring2][=Ring1][=Branch1][S][Ring2][=Branch1][=Branch2]
PBT1-C-MW,CCCCCCC(CCCC)Cc1ccc(Cc2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(Cc3ccc(CC(CCCC)CCCCCC)cc3)c3cc(C)sc23)cc1,,,{CCCCCCC(CCCC)Cc1ccc(Cc2c3cc(-c4ccc(-c5sc(-c6ccc([$])s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(Cc3ccc(CC(CCCC)CCCCCC)cc3)c3cc([$])sc23)cc1},[C][C][C][C][C][C][C][Branch1][Branch1][C][C][C][C][C][C][=C][C][=C][Branch2][=Branch2][S][C][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][=N][C][S][C][Branch1][O][C][=C][C][=C][Branch1][C][C][S][Ring1][=Branch1][=C][C][=Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][Branch1][C][Ring2][Ring1][#Branch2][=O][S][Ring2][Ring2][=Branch2][S][C][Ring2][Ring2][=C][=C][Branch2][Ring1][O][C][C][=C][C][=C][Branch1][#C][C][C][Branch1][Branch1][C][C][C][C][C][C][C][C][C][C][C][=C][Ring2][Ring1][C][C][C][=C][Branch1][C][C][S][C][Ring2][=Branch1][=Branch2][=Ring1][=Branch1][C][=C][Ring2][=Branch1][S]
PBDTT-6ttTPD,CCCCCCCCCCC(CCCCCC)N1C(=O)c2c(-c3cc4sc(C)c(CCCCCC)c4s3)sc(-c3cc4sc(-c5cc6c(-c7ccc(C(CC)CCCCCC)s7)c7sc(C)cc7c(-c7ccc(C(CC)CCCCCC)s7)c6s5)c(CCCCCC)c4s3)c2C1=O,,,{CCCCCCCCCCC(CCCCCC)N1C(=O)c2c(-c3cc4sc([$])c(CCCCCC)c4s3)sc(-c3cc4sc(-c5cc6c(-c7ccc(C(CC)CCCCCC)s7)c7sc([$])cc7c(-c7ccc(C(CC)CCCCCC)s7)c6s5)c(CCCCCC)c4s3)c2C1=O},[C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][Branch2][Ring1][Branch2][C][=C][C][S][C][Branch1][C][C][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=Ring1][N][S][Ring1][#C][S][C][Branch2][#Branch1][#C][C][=C][C][S][C][Branch2][=Branch1][=Branch1][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][N][C][Branch1][Ring1][C][C][C][C][C][C][C][C][S][Ring1][=C][C][S][C][Branch1][C][C][=C][C][=Ring1][=Branch1][C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][N][C][Branch1][Ring1][C][C][C][C][C][C][C][C][S][Ring1][=C][=C][Ring2][Ring2][=Branch1][S][Ring2][Ring2][=Branch2][=C][Branch1][#Branch1][C][C][C][C][C][C][C][=Ring2][Branch1][Ring2][S][Ring2][Branch1][#Branch1][=C][Ring2][=Branch1][O][C][Ring2][=Branch1][#C][=O]
PBDT(T)(2F)T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c(F)c4F)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,,,{CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc([$])c(F)c4F)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc([$])sc23)s1},[C][C][C][C][C][Branch1][Ring1][C][C][C][C][=C][C][=C][Branch2][Branch1][=N][C][=C][C][=C][Branch1][#C][C][S][C][Branch1][C][C][=C][Branch1][C][F][C][=Ring1][#Branch1][F][S][C][Ring1][=N][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][O][C][C][Branch1][Ring1][C][C][C][C][C][C][S][Ring1][=N][C][C][=C][Branch1][C][C][S][C][Ring2][Ring2][C][=Ring1][=Branch1][S][Ring2][Ring2][#Branch1]
