Name,Parameter_Type,Solvent,Solvent additive,IUPAC,canonical SMILES,No.,Solvent,CAS,SMILES,Formula,dipole,dD,dP,dH,dHDon,dHAcc,MW,Density,Mvol,Area,Ovality,BPt,MPt,Tc,Pc,Vc,Zc,AntA,AntB,AntC,Ant1T,logKow,LogS,Henry,OHR,RI,ΔHfus,Hv @ BP,Trouton,RER,AbraAcid,AbraBase,EdmiW,ParachorGA,RD,DCp,log n,Cond,SurfTen,totHeavyAtom,C,H,Br,Cl,F,I,N,O,P,S,Si,B,MaxPc,MinMc,Sym,MCI,Δhcomb,ΔHform,ΔGform,FG,InChiKey,InChiKey
CB,['Solvent'],TRUE,,chlorobenzene,Clc1ccccc1,148,Chlorobenzene,108-90-7,ClC1=CC=CC=C1,C6H5Cl,1.72,19,4.3,2,1.3,2.5,112.56,1.106,102.1,-124.52,-1.183,132,-45,632.35,4.5191,308,-0.269,6.999,1444.6,219,-259.4,2.84,-1.41,(-2.36),(-11.94),1.525,1.234908904,-9.56,-35.72,-86.8,56.272,0,0.1,0.218,248.5,31.13,158.9,-0.108,133.1,34.2,7,6,5,0,1,0,0,0,0,0,0,0,0,0.036,-0.203,0,3.394,-2.963,16.33,98.64,"Ph;1,Cl@Ar;1,",MVPPADPHJFYWMZ-UHFFFAOYSA-N
o-xylene,['Solvent'],TRUE,,o-xylene,Cc1ccccc1C,698,o-Xylene,95-47-6,CC1=C(C)C=CC=C1,C8H10,0.64,17.8,1,3.1,0.3,2.7,106.17,0.88,121.1,-152.1,-1.287,144,-25,-643.5,-3.81,-368.8,-0.263,7.01,1481.9,214.5,-271.8,3.12,-1.66,(-2.08),(-10.95),1.503,1.225969005,-11.35,-36.61,-88.1,80,0,0.19,0.344,287.9,35.92,195.7,-0.093,140.4,30.7,8,8,10,0,0,0,0,0,0,0,0,0,0,0.014,-0.033,25,3.805,-4.328,-16.4,110.19,"CH3;2,o_Ph;1,",CTQNGGLPUBDAKN-UHFFFAOYSA-N
THF,['Solvent'],TRUE,,tetrahydrofuran,C1CCCO1,617,Tetrahydrofuran (THF),109-99-9,C1CCOC1,C4H8O,1.69,16.8,5.7,8,0.5,5.7,72.11,0.886,81.9,-106.26,-1.191,66,-109,540.15,5.19,224,-0.261,6.79,1165.5,232.2,-212.5,0.46,2,(-3.89),(-10.94),1.405,1.185326959,-5.44,-29.07,-88.6,472,0,0.28,0.244,184.3,19.22,130.5,-0.379,143.2,25.2,5,4,8,0,0,0,0,0,1,0,0,0,0,0.099,-0.212,0,2.5,-2.246,-248.36,-101.23,"O_R;1,CH2CH2CH2CH2_R;1,",WYURNTSHIVDZCO-UHFFFAOYSA-N
o-DCB,['Solvent'],TRUE,,"1,2-Dichlorobenzene",Clc1ccccc1Cl,234,o-Dichlorobenzene,95-50-1,ClC1=C(Cl)C=CC=C1,C6H4Cl2,2.53,19.2,6.3,3.3,1.9,1.6,147,1.306,113,-141.24,-1.245,180,-17,-700,-4.13,-350.9,-0.249,7.032,1621.9,210.3,-288.2,3.43,-2.03,(-2.19),(-12.38),1.549,1.244588285,-14.85,-40.15,-90,7.16,0.01,0,0.258,290.6,36.22,180.5,0.107,126.5,37.2,8,6,4,0,2,0,0,0,0,0,0,0,0,0.065,-0.176,0,3.805,-2.826,-25.04,56.18,"o_Ph;1,Cl@Ar;2,",RFFLAFLAYFXFSW-UHFFFAOYSA-N
"1,2,4-trimethylbenzene",['Solvent'],TRUE,,"1,2,4-trimethylbenzene",Cc1ccc(C)cc1C,667,Trimethylbenzene,95-63-6,CC1=CC(=C(C=C1)C)C,C9H12,0.66,18,1,1,0.6,2.8,120.19,0.876,137.3,-172.06,-1.34,169,-44,-649.6,-3.33,-430.5,-0.266,7.018,1555,206.5,-288.9,3.63,-2.28,(-2.17),(-10.63),1.502,1.225561096,-11.99,-38.93,-88.6,12.629,0,0.24,0.415,326.6,40.71,223.5,-0.002,139,31.1,9,9,12,0,0,0,0,0,0,0,0,0,0,0.016,-0.057,22.22,4.198,-4.923,-58.17,111.1,"CH3;3,3s_Ph;1,",GWHJZXXIDMPWGX-UHFFFAOYSA-N
Anisole,['Solvent'],TRUE,,Anisole,COc1ccccc1,48,Anisole,100-66-3,COC1=CC=CC=C1,C7H8O,1.36,17.8,4.4,6.9,0.4,5.5,108.14,0.995,109.2,-140.53,-1.263,154,-38,645.6,4.25,-333.3,-0.245,7.026,1472.4,201.7,-280.8,2.11,-0.98,(-2.62),(-10.75),1.514,-10.01,-39.23,-91.5,17.063,0,0.29,0.402,269.5,33.2,184.1,0.037,144.2,33.7,8,7,8,0,0,0,0,0,1,0,0,0,0,0.03,-0.212,0,3.932,-3.591,-118.78,16.63,"CH3;1,Ph;1,O@AR;1,",RDOXTESZEPMUJZ-UHFFFAOYSA-N,
Toluene,['Solvent'],TRUE,,Toluene,Cc1ccccc1,637,Toluene,108-88-3,CC1=CC=CC=C1,C7H8,0.38,18,1.4,2,0.4,3.1,92.14,0.867,106.6,-129.95,-1.206,111,-95,591.75,-4.48,-317.1,-0.281,6.938,1334.8,218.4,-252.1,2.73,-1.27,(-2.3),(-11.18),1.494,1.222292927,-8.27,-34.03,-85.8,190,0,0.2,0.3,247.1,31.01,167.7,-0.217,140.9,29.8,7,7,8,0,0,0,0,0,0,0,0,0,0,0.014,-0.025,28.57,3.394,-3.714,20.65,125.64,"CH3;1,Ph;1,",YXFVVABEGXRONW-UHFFFAOYSA-N
MeTHF,['Solvent'],TRUE,,2-Methyltetrahydrofuran,CC1CCCO1,997,2-Methyl Tetrahydrofuran,96-47-9,CC1CCCO1,C5H10O,1.06,16.9,5,4.3,0.4,4.5,86.13,0.855,100.2,-136.22,-1.306,79,-137,537,3.80982,267,-0.259,6.831,1178.1,218,-231.9,0.82,1.11,(-2.9),(-10.88),1.406,1.185748709,-7.24,-32.02,-89,443.075,0,0.32,0.3,221,23.91,162.1,-0.289,140,27.3,6,5,10,0,0,0,0,0,1,0,0,0,0,0.064,-0.207,0,2.894,-2.885,-270.7,-89.98,"CH3;1,CH_R;1,O_R;1,CH2CH2CH2_R;1,",JWUJQDFVADABEY-UHFFFAOYSA-N
DBE,['Solvent'],TRUE,,Dibenzyl Ether,c1(COCc2ccccc2)ccccc1,213,Dibenzyl Ether,103-50-4,C1(COCC2=CC=CC=C2)=CC=CC=C1,C14H14O,19.6,3.4,5.2,198.26,1.043,190.6,-245.45,-1.529,288,4,-786.2,-2.62,-614.4,-0.246,7.43,1993,149.9,-379.1,3.31,-2.4,(-5.5),(-10.87),1.539,-22.36,-53.14,-94.8,0.001,0,0.51,0.504,475.2,61.93,347.7,0.897,147.4,39.4,15,14,14,0,0,0,0,0,1,0,0,0,0,0.021,-0.203,0,7.449,-7.106,-69.52,147.17,"CH2;2,O;1,Ph;2,",MHDVGSVTJDSBDK-UHFFFAOYSA-N,,,,
CF,"['Solvent', 'Solvent_Additive']",TRUE,TRUE,chloroform,C(Cl)(Cl)Cl,156,Chloroform,67-66-3,ClC(Cl)(Cl)[H],CHCl3,1.02,17.8,3.1,5.7,5.4,3.3,119.38,1.483,80.5,-94.82,-1.098,61,-64,536.4,5.472,239,-0.275,6.937,1171.3,227,-217.5,1.97,-0.09,(-2.39),(-13.15),1.443,1.20124935,-6.22,-32.09,-87.8,720.341,0.09,0,0.22,179.5,21.01,122.5,-0.047,112.2,30.7,4,1,1,0,3,0,0,0,0,0,0,0,0,0.135,-0.078,75,1.732,-0.404,-128.47,-70.08,"CCl3;1,H;1,",HEDRZPFGACZZDS-UHFFFAOYSA-N
CN:DIO (1:1),['Solvent_Additive'],,TRUE,_,_,_,_,_,_,_,1.82,19.3,4.1,2.75,1.74220133,2.65746159,264.32,1.517,138.9,-171.9,-1.341,311.845,7.25,-738.8,-3.74,-453.3,-0.276,6.854,1719.8,173.5,-348.4,4.5165,-2.93,#DIV/0!,#DIV/0!,1.597655033,1.277888884,-15.07,23.39601875,-45.57936708,0.099,0,0.12,251.9525,205.7195,178.51,115.8208,0.636,96.41983238,45.2,11,10,7,0,1,0,0,0,0,0,0,0,0,0.029,-0.21,0,5.377,-4.838,57.44,174.38,_,_
o-DCB:CF (4:1),['Solvent'],TRUE,,_,_,_,_,_,_,_,2.228,18.92,5.66,3.78,2.6,1.94,141.476,1.3414,106.5,-131.956,-1.2156,156.2,-26.4,-452.72,-2.2096,-232.92,-0.2542,7.013,1531.78,213.64,-274.06,3.138,-1.642,#VALUE!,#VALUE!,1.5278,1.235920498,-13.124,-38.538,-89.56,149.7962,0.026,0,0.2504,268.38,33.178,168.9,0.0762,123.64,35.9,7.2,5,3.4,0,2.2,0,0,0,0,0,0,0,0,0.079,-0.1564,15,3.3904,-2.3416,-45.726,30.928,_,_
o-DCB:CB (1:1),['Solvent'],TRUE,,_,_,_,_,_,_,_,2.125,19.1,5.3,2.65,1.6,2.05,129.78,1.206,107.55,-132.88,-1.214,156,-31,-33.825,0.19455,-21.45,-0.259,7.0155,1533.25,214.65,-273.8,3.135,-1.72,#DIV/0!,#DIV/0!,1.537,1.239758041,-12.205,-37.935,-88.4,31.716,0.005,0.05,0.238,269.55,33.675,169.7,-0.0005,129.8,35.7,7.5,6,4.5,0,1.5,0,0,0,0,0,0,0,0,0.0505,-0.1895,0,3.5995,-2.8945,-4.355,77.41,_,_
CB:CF (9:1),['Solvent'],TRUE,,_,_,_,_,_,_,_,1.65,18.88,4.18,2.37,1.71,2.58,113.242,1.1437,99.94,-121.55,-1.1745,124.9,-46.9,622.755,4.61439,301.1,-0.2696,6.9928,1417.27,219.8,-255.21,2.753,-1.278,#VALUE!,#VALUE!,1.5168,1.231584345,-9.226,-35.357,-86.9,122.6789,0.009,0.09,0.2182,241.6,30.118,155.26,-0.1019,131.01,33.85,6.7,5.5,4.6,0,1.2,0,0,0,0,0,0,0,0,0.0459,-0.1905,7.5,3.2278,-2.7071,1.85,81.768,_,_
CF:n-hexane (9:1),['Solvent'],TRUE,,_,_,_,_,_,_,_,0.918,17.51,2.79,5.13,4.91,3.14,116.06,1.4006,85.59,-101.095,-1.1169,61.8,-67.1,431.29,4.6168,177.73,-0.2744,6.9297,1170.63,226.66,-218.2,2.163,-0.369,#VALUE!,#VALUE!,1.4359,1.198256818,-6.611,-31.794,-87.57,731.3069,0.081,0.01,0.2347,188.6,21.843,131.38,-0.0877,113.2,29.43,4.2,1.5,2.3,0,2.7,0,0,0,0,0,0,0,0,0.1223,-0.0745,70.833,1.8502,-0.7482,-134.45,-62.639,_,_
CF:o-DCB (4:1),['Solvent'],TRUE,,_,_,_,_,_,_,_,1.322,18.08,3.74,5.22,4.7,2.96,124.904,1.4476,87,-104.104,-1.1274,84.8,-54.6,289.12,3.5516,121.02,-0.2698,6.956,1261.42,223.66,-231.64,2.262,-0.478,#VALUE!,#VALUE!,1.4642,1.209917137,-7.946,-33.702,-88.24,577.7048,0.074,0,0.2276,201.72,24.052,134.1,-0.0162,115.06,32,4.8,2,1.6,0,2.8,0,0,0,0,0,0,0,0,0.121,-0.0976,60,2.1466,-0.8884,-107.784,-44.828,_,_
o-DCB:CF (6.667:1),['Solvent'],TRUE,,_,_,_,_,_,_,_,2.333052041,19.01739924,5.882626842,3.613029868,2.356501891,1.82172949,143.3975479,1.329085953,108.7610539,-135.1854806,-1.225826921,164.4789357,-23.13016825,-538.7374462,-2.877619669,-273.959867,-0.252391157,7.019609234,1563.128642,212.4781662,-278.9786618,3.239573497,-1.776967523,#VALUE!,#VALUE!,1.535174514,1.238935626,-13.72439677,-39.09874136,-89.71305595,100.1795644,0.020434329,0,0.253043694,276.1093257,34.23617321,172.9351115,0.086913917,124.6348637,36.35221077,7.478283553,5.347854441,3.608712665,0,2.130429112,0,0,0,0,0,0,0,0,0.074130038,-0.163217947,9.782183383,3.534620451,-2.510100691,-38.53028303,39.71202035,_,_
