ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI
1,1,6.93,6.86,16.35,0.5,0.865,5.67,3.89,1.76,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(CCCCCCCCCC)CCCCCCCCCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,1019.38,5.15,3.31,1.84,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1
2,1,3.09,2.98,10.31,0.38,0.794,5.68,3.92,1.76,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(COCCOCCOCC)COCCOCCOCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,1031.21,5.15,3.31,1.84,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1
3,2,8.33,8.12,15.28,0.69,0.79,5.54,3.84,1.7,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.45,3.56,1.89,CC1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)=C4)=C2C9=CC=C(CC(CC)CCCC)S9,41.1,21.4,1.92
4,3,8.67,8.35,14,0.579,1.07,5.51,3.88,1.63,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,1326.02,5.46,3.69,1.77,CC1=CC2=C(S1)C(C3=CC=C(SCCCCCCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(SCCCCCCCC)S%11,42.8,16.4,2.61
5,4,8.46,8.33,13.95,0.601,1.01,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.47,3.61,1.86,O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC(Cl)=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC(Cl)=C(S7)CC(CCCC)CC)C)=C2S1)C)F)OCC(CCCC)CC,87.5,44,1.99
6,4,6.91,6.8,14.76,0.571,0.82,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
7,5,0.7,0.7,2.7,0.43,0.646,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.2,3.61,1.59,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1,22.9,18.3,1.2
8,5,2.6,2.6,7.1,0.4,0.911,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.2,3.6,1.6,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1
9,5,3.8,3.8,10,0.42,0.905,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.5,3.9,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
10,5,1.8,1.8,5.9,0.38,0.786,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.4,3.6,1.82,CC1=CC2=C(C(SC(C3=CC(CCCCCCCCCCCCCC)=C(C4=NC(SC(C5=C(CCCCCCCCCCCCCC)C=C(C)S5)=N6)=C6S4)S3)=C7)=C7[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1,50,25,2
11,5,0.4,0.4,0.9,0.46,0.96,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.6,3.77,1.83,CC1=CC2=C(C(C3=CC=C(CC(CC)CCCC)S3)=C4C=C(SC4=C2C5=CC=C(CC(CC)CCCC)S5)C6=C7C(C(N(C7=O)CCCCCCCC)=O)=C(S6)C)S1,48,20,2.4
12,5,1.5,1.5,4.2,0.57,0.639,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,5.2,3.3,1.91,CC1=CC(CCCCCC)=C(C)S1,21.1,11.6,1.82
