ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI
753,340,6.81,6.62,15.16,0.563,0.799,5.94,4.08,1.86,O=C1C2=C(C=C(F)C(F)=C2)C(/C1=C/C3=CC(C4(C5=CC=C(CC(CCCCCC)CCCC)C=C5)C6=CC=C(CC(CCCCCCC)CCCC)C=C6)=C(C7=C4C=C(C8=C(S9)C=C%10C(C(C%11=C%10SC(/C=C%12C(C%13=C(C=C(F)C(F)=C%13)C\\%12=C(C#N)\\C#N)=O)=C%11)(C%14=CC=C(CC(CCCCCC)CCCC)C=C%14)C%15=CC=C(CC(CCCCCC)CCCC)C=C%15)=C8)C9=C7)S3)=C(C#N)/C#N,1844.57,5.28,3.48,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
754,341,9.39,8.95,15.29,0.627,0.98,5.66,3.93,1.73,O=C(C(C=CC=C1)=C1C/2=C(C#N)\\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)/C#N)=O)=C7)=C5,1011.4,5.4,3.6,1.8,CC(SC1=C2C3=CC(F)=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(SCC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,58.2,18.3,3.17
755,341,10.35,9.74,17.42,0.725,0.82,5.72,4.05,1.67,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\\8=C(C#N)/C#N)=O)=C7)=C5,1083.36,5.4,3.6,1.8,CC(SC1=C2C3=CC(F)=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(SCC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,58.2,18.3,3.17
756,342,10.99,10.77,16.37,0.713,0.941,5.38,3.78,1.6,CCCCCCC1=CC=C(C2(C(C=C3)=CC=C3CCCCCC)C4=C(C5=C2C=C6C(SC7=C8SC(/C=C9/C(C(C(C=CC=C%10)=C%10S%11)=C%11C9=O)=C(C#N)/C#N)=C7)=C8C(C(C=C%12)=CC=C%12CCCCCC)(C6=C5)C(C=C%13)=CC=C%13CCCCCC)SC%14=C4SC(/C=C%15/C(C(C(C=CC=C%16)=C%16S%17)=C%17C%15=O)=C(C#N)/C#N)=C%14)C=C1,1540.12,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
757,342,9.53,9.11,16.13,0.658,0.897,5.48,3.9,1.58,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
758,343,11.35,11.18,18.2,0.7,0.89,5.61,4.02,1.59,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.29,3.29,2,CC(S1)=C(CC2CCCCC2)C=C1C(C3=NN(CC(CCCCCCCC)CCCCCC)N=C34)=C(F)C(F)=C4C5=CC(CC6CCCCC6)=C(C7=CC8=C(C(C9=CC=C(CC(CC)CCCC)S9)=C%10C=C(SC%10=C8C%11=CC=C(CC(CC)CCCC)S%11)C)S7)S5,175,68.6,2.55
759,343,12.15,11.86,17.61,0.732,0.94,5.61,4.02,1.59,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.33,3.36,1.97,CC(S1)=C(CC2CCCCC2)C=C1C(C3=NN(CC(CCCCCCCC)CCCCCC)N=C34)=C(F)C(F)=C4C5=CC(CC6CCCCC6)=C(C7=CC8=C(C(C9=CC=C(SCC(CC)CCCC)S9)=C%10C=C(SC%10=C8C%11=CC=C(SCC(CC)CCCC)S%11)C)S7)S5,145,56.1,2.59
760,344,10.04,9.82,15.9,0.615,1.027,5.55,3.76,1.79,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C(C9=CC%10=C(C=C(CC(CCCC)CC)S%10)S9)=C(C(C(C%11=CC=C(CCCCCC)C=C%11)%12C%13=CC=C(CCCCCC)C=C%13)=C(S%14)C%15=C%12C=C(/C=C%16/C(C%17=C(C%16=O)C=CC(C)=C%17)=C(C#N)\\C#N)S%15)C%14=C8C%18=CC(SC(CC(CCCC)CC)=C%19)=C%19S%18)S5)=C(C#N)/C#N)C=C(C)C=C2,1956.85,5.5,3.61,1.89,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2
761,344,12.65,12.46,18.54,0.716,0.953,5.64,3.87,1.77,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C(C9=CC%10=C(C=C(CC(CCCC)CC)S%10)S9)=C(C(C(C%11=CC=C(CCCCCC)C=C%11)%12C%13=CC=C(CCCCCC)C=C%13)=C(S%14)C%15=C%12C=C(/C=C%16/C(C%17=C(C%16=O)C=CC(F)=C%17)=C(C#N)\\C#N)S%15)C%14=C8C%18=CC(SC(CC(CCCC)CC)=C%19)=C%19S%18)S5)=C(C#N)/C#N)C=C(F)C=C2,1964.77,5.5,3.61,1.89,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2
762,345,12.86,12.61,19.45,0.738,0.895,5.51,3.9,1.61,O=C1C2=C(C)SC=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C(C9=CC=C(CC(CCCC)CC)S9)=C(C(C(C%10=CC=C(CCCCCC)C=C%10)%11C%12=CC=C(CCCCCC)C=C%12)=C(S%13)C%14=C%11C=C(/C=C%15/C(C%16=CSC(C)=C%16C%15=O)=C(C#N)\\C#N)S%14)C%13=C8C%17=CC=C(CC(CCCC)CC)S%17)S5)=C(C#N)/C#N,1856.73,5.31,3.5,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
763,345,13.6,13.26,20.31,0.74,0.904,5.45,3.83,1.62,O=C1C2=C(C)SC=C2C(/C1=C/C3=CC(S4)=C(S3)C5=C4C6=C(C(C7=CC=C(CCCCCC)C=C7)5C8=CC=C(CCCCCC)C=C8)C9=C(C(C%10=CC=C(CC(CCCC)CC)S%10)=C(C(C(C%11=CC=C(CCCCCC)C=C%11)%12C%13=CC=C(CCCCCC)C=C%13)=C(S%14)C%15=C%12C=C(/C=C%16/C(C%17=CSC(C)=C%17C%16=O)=C(C#N)\\C#N)S%15)C%14=C9C%18=CC=C(CC(CCCC)CC)S%18)S6)=C(C#N)/C#N,1912.81,5.31,3.5,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
764,346,9.67,9.52,16.46,0.66,0.89,5.51,3.78,1.73,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
765,347,11.91,11.51,17.85,0.688,0.97,5.58,3.82,1.76,O=C1C(C=C(Cl)S2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=C(Cl)S%15)C%14=O)=C(C#N)\\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,1602.68,5.52,3.57,1.95,CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,44.9,25.5,1.76
766,347,13.68,13.29,20.35,0.731,0.92,5.61,3.96,1.65,O=C1C(C=CC(Cl)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=CC(Cl)=C%15)C%14=O)=C(C#N)\\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,1590.64,5.52,3.57,1.95,CC(SC1=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,44.9,25.5,1.76
767,348,9.6,9.1,21.5,0.57,0.74,5.5,3.9,1.6,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=C(Cl)C(Cl)=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(Cl)C(Cl)=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1565.72,5.2,3,2.2,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
768,349,6.63,6.22,15.11,0.48,0.92,5.69,3.93,1.76,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C3C4=C(C5=C(C(C=C6)=CC=C6C7=C(C8=CC=C(C9=C(C%10=C%11C=CC%12=C%10C(C(N(C(CCCCCC)CCCCCC)C%12=O)=O)=C9)C%13=C(C%11=CC=C%14C(N(C(CCCCCC)CCCCCC)C%15=O)=O)C%14=C%15C=C%13)C=C8)C(C%16=CC=C(C%17=C(C%18=C%19C=CC%20=C%18C(C(N(C(CCCCCC)CCCCCC)C%20=O)=O)=C%17)C%21=C(C%19=CC=C%22C(N(C(CCCCCC)CCCCCC)C%23=O)=O)C%22=C%23C=C%21)C=C%16)=C(C%24=CC=C(C%25=C(C%26=C%27C=CC%28=C%26C(C(N(C(CCCCCC)CCCCCC)C%28=O)=O)=C%25)C%29=C(C%27=CC=C%30C(N(C(CCCCCC)CCCCCC)C%31=O)=O)C%30=C%31C=C%29)C=C%24)C(C%32=CC=C(C%33=C(C%34=C%35C=CC%36=C%34C(C(N(C(CCCCCC)CCCCCC)C%36=O)=O)=C%33)C%37=C(C%35=CC=C%38C(N(C(CCCCCC)CCCCCC)C%39=O)=O)C%38=C%39C=C%37)C=C%32)=C7C%40=CC=C(C%41=C(C%42=C%43C=CC%44=C%42C(C(N(C(CCCCCC)CCCCCC)C%44=O)=O)=C%41)C%45=C(C%43=CC=C%46C(N(C(CCCCCC)CCCCCC)C%47=O)=O)C%46=C%47C=C%45)C=C%40)C=C(C(N(C(CCCCCC)CCCCCC)C%48=O)=O)C%49=C%48C=CC3=C5%49)C=CC1=C42,5052.94,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
769,350,1.31,1.22,3.84,0.368,0.865,5.52,3.83,1.69,O=C(N1C(CCCCCCCC)CCCCCCCCCC)C2=C3C4=C(C(OC5(C)C)=C2)C6=C5C=C7C8=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C7=O)=O)C=C(C#CC9=CC=C(N(C%10=CC=CC=C%10)C%11=CC=C(C#CC%12=CC(C(N%13C(CCCCCCCCCC)CCCCCCCC)=O)=C%14C%15=C%12C%16=CC=C%17C%18=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C%17=O)=O)C=C%19C(C%15=C(C(C)(C)O%19)C=C%14C%13=O)=C%16%18)C=C%11)C=C9)C(C4=CC=C3C1=O)=C68,2248.43,5.28,3.48,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
770,350,5.84,5.6,10.28,0.624,0.91,5.55,3.78,1.77,O=C(N1C(CCCCCCCC)CCCCCCCCCC)C2=C3C4=C(C(OC5(C)C)=C2)C6=C5C=C7C8=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C7=O)=O)C=C(C#CC9=CC=C(N(C%10=CC=C(C#CC%11=CC(C(N%12C(CCCCCCCCCC)CCCCCCCC)=O)=C%13C%14=C%11C%15=CC=C%16C%17=C(C(N(C(CCCCCCCCCC)CCCCCCCC)C%16=O)=O)C=C%18C(C%14=C(OC%18(C)C)C=C%13C%12=O)=C%15%17)C=C%10)C%19=CC=C(C#CC%20=CC(C(N%21C(CCCCCCCCCC)CCCCCCCC)=O)=C%22C%23=C%20C%24=CC=C%25C%26=C(C(N(C(CCCCCCCC)CCCCCCCCCC)C%25=O)=O)C=C%27C(C%23=C(C(C)(C)O%27)C=C%22C%21=O)=C%24%26)C=C%19)C=C9)C(C4=CC=C3C1=O)=C68,3246.69,5.28,3.48,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
771,351,4,3.82,10.72,0.46,0.81,5.73,3.79,1.94,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=CC(C6=CC=C(C7=CC=C(C8=CC(C9=CC=C(C(N(C(CCCCC)CCCCC)C%10=O)=O)C%11=C%10C=CC%12=C9%11)=C(C%12=CC=C%13C(N%14C(CCCCC)CCCCC)=O)C%13=C8C%14=O)S7)S6)=C(C(N(C(CCCCC)CCCCC)C%15=O)=O)C%16=C%15C=CC3=C5%16)C=CC1=C42,1560.12,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
772,351,2.22,2.14,6.81,0.39,0.84,5.71,3.81,1.9,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=CC(C6=CC=C(C7=CC=C(C8=C9C=C(C%10=CC=C(C%11=CC(C%12=CC=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%14=C%13C=CC%15=C%12%14)=C(C%15=CC=C%16C(N%17C(CCCCC)CCCCC)=O)C%16=C%11C%17=O)S%10)C=C8)C(C9(CCCCCCCC)CCCCCCCC)=C7)S6)=C(C(N(C(CCCCC)CCCCC)C%18=O)=O)C%19=C%18C=CC3=C5%19)C=CC1=C42,1948.76,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124,72.9,1.7
773,352,10.2,9.86,18.84,0.694,0.78,5.58,4.21,1.37,CCCCCC[Si]1(CCCCCC)C2=C(SC(/C=C3C(C(C=CC(F)=C4)=C4C\\3=C(C#N)\\C#N)=O)=C2)C(S5)=C1C(S6)=C5C7=C6C(SC(/C=C8C(C(C=CC(F)=C9)=C9C\\8=C(C#N)/C#N)=O)=C%10)=C%10[Si]7(CCCCCC)CCCCCC,1141.63,5.47,3.6,1.87,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCCCCCC)=C(C7=CC8=C(C9=C(C(N(CC(CCCCCC)CCCCCCCC)C8=O)=O)C=C(C%10=C(CCCCCCCCCC)C=C(C)S%10)S9)S7)S6,90.6,44,2.06
774,353,6.3,6.2,9.9,0.6,1.06,5.53,3.88,1.65,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,1326.02,5.3,3.4,1.9,CC1=C(CC(CCCC)CCCCCC)C=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)S2)S1,71.4,42,1.7
775,353,6.5,6.4,10.7,0.6,1.02,5.53,3.88,1.65,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,1326.02,5.31,3.4,1.91,CC1=C(CC(CCCC)CCCCCC)C=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C5=C(CC(CCCCCC)CCCCCCCC)C=C(C6=CC(CC(CCCCCC)CCCCCCCC)=C(C7=CC(F)=C(C8=C(F)C=C(C)S8)S7)S6)S5)S4)S3)S2)S1,64.4,46,1.4
776,353,7,7,10,0.67,1.04,5.53,3.88,1.65,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,1326.02,5.35,3.43,1.92,CC1=C(CC(CCCCCC)CCCCCCCC)C=C(C2=CC(CC(CCCCCC)CCCCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)S2)S1,73.6,46,1.6
777,354,4.82,4.38,12.23,0.42,0.86,5.61,3.94,1.67,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.42,3.73,1.69,CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C)S3)S2)C4=NC(C5=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C5)=C(C6=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C6)N=C41,273.6,57,4.8
778,354,4.93,4.74,10.34,0.47,0.97,5.61,3.94,1.67,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.58,3.88,1.7,CC1=C(F)C(F)=C(C2=CC(F)=C(C3=C(F)C=C(C)S3)S2)C4=NC(C5=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C5)=C(C6=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C6)N=C41,177.6,48,3.7
779,354,3.95,3.78,9.03,0.45,0.93,5.61,3.94,1.67,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.56,3.65,1.91,CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)S3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C51,176.4,36,4.9
780,354,8.13,7.8,16.6,0.58,0.82,5.61,3.94,1.67,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\\8=C(C#N)\\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.4,3.67,1.73,CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C=C3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C51,304.5,87,3.5
781,355,9.79,9.45,16.53,0.598,0.99,5.5,3.84,1.66,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C=C(C5(CCCCCCCC)CCCCCCCC)C(C6=C5C(C7(CCCCCCCC)CCCCCCCC)=C(C8=CC(C(C(C=C9)=CC=C9CCCCCC)(C%10=C%11SC(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)=C%10)C(C=C%14)=CC=C%14CCCCCC)=C%11C=C78)S6)=C4)C%15=C2C=C(/C=C%16C(C(C=CC=C%17)=C%17C\\%16=C(C#N)\\C#N)=O)S%15,1946.9,5.23,3.42,1.81,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2
