ID,Ref,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI\,DonorAcceptor
389,177,1.03,1.03,2.75,0.46,0.82,6.28,3.24,3.04,CCCCCCN1C(=O)c2cccc3c(-c4cc5ccc6ccc7ccc8ccc4c4c8c7c6c54)ccc(c23)C1=O,529.64,5.0,3.1,1.9,CCCCCCc1cc(C)sc1C,21.1,11.6,1.82 \,CCCCCCc1cc(C)sc1C.CCCCCCN1C(=O)c2cccc3c(-c4cc5ccc6ccc7ccc8ccc4c4c8c7c6c54)ccc(c23)C1=O
390,178,3.93,3.93,8.33,0.523,0.9,5.43,3.85,1.58,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)sc2-4)cc1,1480.03,5.11,3.25,1.86,CCCCC(CC)CC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,56.0,20.0,2.80 \,CCCCC(CC)CC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)sc2-4)cc1
391,179,4.3,4.3,9.2,0.49,0.96,6.0,3.75,2.25,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1ccc(C(c2ccc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCCC)CCCCCC)C9=O)C=CC6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C3)C76)cc2)(c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)cc1)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15,3340.66,5.24,3.59,1.65,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,140.0,70.0,2.00 \,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C.CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1ccc(C(c2ccc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCCC)CCCCCC)C9=O)C=CC6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C3)C76)cc2)(c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)cc1)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15
392,179,4.3,4.3,8.5,0.53,0.94,6.01,3.75,2.26,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1ccc([Si](c2ccc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCCC)CCCCCC)C9=O)C=CC6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C3)C76)cc2)(c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)cc1)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15,3356.73,5.24,3.59,1.65,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,140.0,70.0,2.00 \,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C.CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1ccc([Si](c2ccc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCCC)CCCCCC)C9=O)C=CC6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C3)C76)cc2)(c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)cc1)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15
393,179,1.6,1.6,5.0,0.37,0.92,5.94,3.68,2.26,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1ccc([Ge](c2ccc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCCC)CCCCCC)C9=O)C=CC6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C3)C76)cc2)(c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)cc1)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15,3401.28,5.24,3.59,1.65,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,254.0,131.0,1.94 \,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C.CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(c1ccc([Ge](c2ccc(C3=c6c7c(c8ccc9c%10c(ccc6c8%10)C(=O)N(C(CCCCCC)CCCCCC)C9=O)C=CC6C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C3)C76)cc2)(c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)c2ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCCC)CCCCCC)C6=O)cc2)cc1)C=C1C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(C=C4)C15
394,180,4.26,4.19,10.1,0.551,0.766,5.6,3.8,1.8,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C=C(C#N)C#N)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C=C(C#N)C#N)c5nsnc35)sc2-4)cc1,1327.84,5.11,3.25,1.86,CCCCC(CC)CC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,56.0,20.0,2.80 \,CCCCC(CC)CC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C=C(C#N)C#N)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C=C(C#N)C#N)c5nsnc35)sc2-4)cc1
395,180,4.81,4.7,9.87,0.572,0.851,5.5,3.8,1.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(C=C(C#N)C#N)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(C=C(C#N)C#N)c5nsnc45)sc23)cc1,1440.01,5.11,3.25,1.86,CCCCC(CC)CC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,56.0,20.0,2.80 \,CCCCC(CC)CC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(C=C(C#N)C#N)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(C=C(C#N)C#N)c5nsnc45)sc23)cc1
396,181,2.48,2.35,4.88,0.602,0.8,6.08,3.8,2.28,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4,700.96,5.22,3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4
397,181,5.32,5.27,13.01,0.533,0.76,6.09,3.88,2.21,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4c1cc2c3c4c(c5c6c7c(ccc6c14)C(=O)N(C(CCCCC)CCCCC)C(=O)C7=CC5)CC=C3C(=O)N(C(CCCCC)CCCCC)C2=O,1399.91,5.22,3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4c1cc2c3c4c(c5c6c7c(ccc6c14)C(=O)N(C(CCCCC)CCCCC)C(=O)C7=CC5)CC=C3C(=O)N(C(CCCCC)CCCCC)C2=O
398,181,6.44,6.32,13.36,0.536,0.9,5.97,3.78,2.19,CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4c1ccc2c(c1)C1(c3cc(-c4cc5c6c7c(c8c9c%10c(ccc9c47)C(=O)N(C(CCCCC)CCCCC)C(=O)C%10=CC8)CC=C6C(=O)N(C(CCCCC)CCCCC)C5=O)ccc3-2)c2cc(-c3cc4c5c6c(c7c8c9c(ccc8c36)C(=O)N(C(CCCCC)CCCCC)C(=O)C9=CC7)CC=C5C(=O)N(C(CCCCC)CCCCC)C4=O)ccc2-c2ccc(C3C=C4C(=O)N(C(CCCCC)CCCCC)C(=O)c5ccc6c(c54)c3c3c4c5c(ccc46)C(=O)N(C(CCCCC)CCCCC)C(=O)C5=CC3)cc21,3112.2,5.22,3.64,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCC(CCCCC)N1C(=O)C2=CCc3c4c5c6c(ccc5c5ccc(c2c35)C1=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4c1ccc2c(c1)C1(c3cc(-c4cc5c6c7c(c8c9c%10c(ccc9c47)C(=O)N(C(CCCCC)CCCCC)C(=O)C%10=CC8)CC=C6C(=O)N(C(CCCCC)CCCCC)C5=O)ccc3-2)c2cc(-c3cc4c5c6c(c7c8c9c(ccc8c36)C(=O)N(C(CCCCC)CCCCC)C(=O)C9=CC7)CC=C5C(=O)N(C(CCCCC)CCCCC)C4=O)ccc2-c2ccc(C3C=C4C(=O)N(C(CCCCC)CCCCC)C(=O)c5ccc6c(c54)c3c3c4c5c(ccc46)C(=O)N(C(CCCCC)CCCCC)C(=O)C5=CC3)cc21
399,182,4.86,4.72,10.56,0.49,0.94,5.52,3.83,1.69,CCCCCCCCCCN1C(=O)C2=C(c3ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)N(CCCCCCCCCC)C(=O)C2=C1c1cccs1,974.3,5.4,3.4,2.0,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3c(F)cc(C)c4nn(CCCCCC)nc34)cc21,41.8,20.8,2.01 \,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3c(F)cc(C)c4nn(CCCCCC)nc34)cc21.CCCCCCCCCCN1C(=O)C2=C(c3ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)N(CCCCCCCCCC)C(=O)C2=C1c1cccs1
400,182,7.19,7.09,13.78,0.58,0.9,5.33,3.81,1.52,CCCCCCCCCCN1C(=O)C2=C(c3ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)N(CCCCCCCCCC)C(=O)C2=C1c1ccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)s1,1239.61,5.4,3.4,2.0,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3c(F)cc(C)c4nn(CCCCCC)nc34)cc21,41.8,20.8,2.01 \,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3c(F)cc(C)c4nn(CCCCCC)nc34)cc21.CCCCCCCCCCN1C(=O)C2=C(c3ccc(C(=C(C#N)C#N)C(=C(C#N)C#N)c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)N(CCCCCCCCCC)C(=O)C2=C1c1ccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)s1
401,183,2.3,2.3,6.7,0.367,0.935,5.9,3.83,2.07,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2ccccc2C2C=CC=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,1718.33,5.45,3.45,2.0,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,99.6,42.2,2.36 \,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12.CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2ccccc2C2C=CC=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
402,183,4.37,4.37,8.15,0.465,1.152,5.9,3.83,2.07,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2ccccc2C2C=CC=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15,1718.33,5.67,3.83,1.84,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(C#N)nc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,100.0,50.0,2.00 \,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(C#N)nc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12.CCCCCC(CCCCC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=C(C1=CC2C(C=C1)c1ccc(-c3cc6c7c(ccc8c9c%10c(c3c87)=CC=C3C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C9)C3%10)C(=O)N(C(CCCCC)CCCCC)C6=O)cc1C21c2ccccc2C2C=CC=CC21)C=C1C(=O)N(C(CCCCC)CCCCC)C(=O)C(C=C4)C15
403,184,6.0,5.74,11.23,0.56,0.95,5.5,3.87,1.63,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc4c5cc6c(cc5n(CCCCCCCC)c4cc3-c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(OCCCCCCCC)cc2)c2cccc(OCCCCCCCC)c2)cc1,1693.32,5.2,3.56,1.64,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,124.0,72.9,1.70 \,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F.CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc4c5cc6c(cc5n(CCCCCCCC)c4cc3-c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(OCCCCCCCC)cc2)c2cccc(OCCCCCCCC)c2)cc1
404,185,10.45,10.31,16.69,0.677,0.92,5.62,3.99,1.63,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1323.94,5.23,3.42,1.81,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
405,185,9.75,9.63,16.84,0.634,0.91,5.6,3.97,1.63,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,1267.83,5.23,3.42,1.81,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCC1(CCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3
406,185,11.12,11.04,18.55,0.647,0.93,5.64,4.02,1.62,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc2c(cc1-3)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2,1380.05,5.23,3.42,1.81,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,117.0,58.5,2.00 \,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1.CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc2c(cc1-3)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2
407,186,10.5,10.0,19.0,0.62,0.89,5.6,3.85,1.75,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1427.96,5.37,3.47,1.9,CCCCCCC(CCCC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCC)CCCCCC)nc56)s4)sc3c(-c3ccc(SCC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1,69.5,30.5,2.28 \,CCCCCCC(CCCC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCC)CCCCCC)nc56)s4)sc3c(-c3ccc(SCC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1
