HOMO_D_eV,LUMO_D_eV,HOMO_A_eV,LUMO_A_eV,PCE_percent,calc_PCE_percent,Voc_V,Jsc_mA_cm_pow_neg_2,FF_percent
-5.33,-2.92,-5.4,-3.83,10.42,10.412,0.868,17.85,67.2
-5.48,-3.6,-5.66,-3.81,13.18,13.173,0.85,21.3,72.76
-5.48,-3.6,-5.59,-3.74,13.85,13.876,0.88,21.57,73.1
-5.33,-2.92,-5.46,-3.65,9.02,9.024,0.96,14.03,67.0
-5.0,-3.1,-5.56,-3.93,6.3,6.005,0.72,13.9,60.0
-5.0,-3.1,-5.58,-3.9,6.0,5.702,0.76,12.1,62.0
-5.0,-3.1,-5.7,-3.57,4.11,4.107,0.82,7.95,63.0
-5.23,-3.18,-5.87,-3.92,6.4,6.405,0.85,12.06,62.48
-5.2,-3.2,-6.02,-3.92,2.2,2.162,0.91,4.95,48.0
-5.38,-3.17,-5.45,-3.88,7.7,7.486,0.957,13.51,57.9
-5.38,-3.17,-5.54,-3.97,10.1,9.934,0.929,16.63,64.3
-5.38,-3.17,-5.52,-3.98,10.8,10.592,0.903,17.56,66.8
-5.38,-3.17,-5.52,-4.02,11.5,11.229,0.857,19.44,67.4
-5.2,-3.59,-5.66,-4.02,7.1,7.066,0.611,18.07,64.0
-5.2,-3.59,-5.43,-4.0,10.9,10.868,0.64,25.12,67.6
-5.2,-3.59,-5.26,-3.96,10.2,10.158,0.73,20.83,66.8
-5.2,-3.34,-5.43,-3.85,3.93,3.921,0.9,8.33,52.3
-5.34,-3.7,-5.83,-3.75,7.8,7.857,1.12,11.5,61.0
-5.34,-3.7,-5.65,-3.62,5.0,4.867,1.05,10.3,45.0
-5.34,-3.7,-5.75,-3.7,1.75,1.806,1.08,4.4,38.0
-5.34,-3.7,-5.5,-3.9,9.95,9.951,1.07,15.0,62.0
-5.4,-3.24,-5.59,-3.66,8.77,8.774,0.9,15.43,63.18
-5.4,-3.24,-5.45,-3.5,6.3,6.303,0.92,12.75,53.73
-5.23,-3.42,-5.62,-3.83,9.91,9.992,0.92,16.1,67.46
-5.23,-3.42,-5.6,-3.81,9.18,9.215,0.91,16.03,63.17
-5.23,-3.42,-5.64,-3.81,11.12,11.045,0.92,18.55,64.72
-5.2,-3.5,-5.81,-3.95,3.07,3.096,0.64,7.01,69.0
-5.23,-3.42,-5.13,-3.78,11.3,11.208,0.82,20.9,65.4
-5.23,-3.42,-5.2,-3.95,11.2,11.25,0.69,22.9,71.2
-5.45,-3.5,-5.49,-3.85,10.4,10.303,0.88,16.49,71.0
-5.23,-3.42,-5.67,-4.03,8.4,8.429,0.85,14.8,67.0
-5.23,-3.42,-5.68,-4.03,10.4,10.426,0.89,16.5,71.0
-5.23,-3.42,-5.5,-3.76,6.3,6.341,1.01,12.31,51.0
-5.23,-3.42,-5.49,-3.86,11.8,11.901,0.93,17.53,73.0
-5.23,-3.42,-5.52,-3.8,10.8,10.804,0.97,16.38,68.0
-5.23,-3.42,-5.49,-3.81,7.9,7.897,0.96,14.69,56.0
-5.33,-3.53,-5.48,-3.9,10.56,9.59,0.904,16.32,65.0
-5.23,-3.18,-5.68,-4.03,10.61,10.61,0.856,17.05,72.7
-5.23,-3.18,-5.65,-4.0,9.02,9.022,0.869,15.2,68.3
-5.22,-3.64,-5.44,-4.19,11.13,11.132,0.72,25.16,61.45
-5.33,-3.53,-5.47,-3.76,11.28,11.281,0.98,16.14,71.32
-5.31,-3.71,-5.42,-3.85,5.77,5.706,0.9,11.85,53.5
-5.11,-3.25,-5.6,-3.8,4.19,4.056,0.76,9.81,54.4
-5.11,-3.25,-5.5,-3.8,4.7,4.641,0.845,9.67,56.8
-5.42,-3.81,-5.41,-3.96,4.08,4.079,0.84,9.54,50.9
-5.21,-3.41,-5.62,-4.09,8.52,8.517,0.88,13.67,70.8
