ground_truth,prediction,upper,lower
40.0,46.410871316877575,41.709615515078696,38.290384484921304
64.0,61.49367104844602,65.7096155150787,62.290384484921304
68.0,56.36387264619874,69.7096155150787,66.2903844849213
65.0,67.94814047368322,66.7096155150787,63.290384484921304
71.2,62.81959176310559,72.9096155150787,69.49038448492131
51.2,68.88170052686368,52.9096155150787,49.49038448492131
64.5,69.63954047628312,66.2096155150787,62.790384484921304
70.0,65.23756664187067,71.7096155150787,68.2903844849213
59.31,63.4799827004066,61.0196155150787,57.60038448492131
68.0,61.80646384947293,69.7096155150787,66.2903844849213
48.9,63.8974487148356,50.609615515078694,47.1903844849213
69.0,66.11108843232569,70.7096155150787,67.2903844849213
49.0,58.714959017969655,50.709615515078696,47.290384484921304
53.0,61.52032240998036,54.709615515078696,51.290384484921304
65.0,63.26178616661116,66.7096155150787,63.290384484921304
69.0,59.04988198099606,70.7096155150787,67.2903844849213
49.0,53.16047798812782,50.709615515078696,47.290384484921304
72.07,67.39000987128367,73.77961551507869,70.3603844849213
62.64,57.077696191109325,64.3496155150787,60.930384484921305
61.03,55.67684824766389,62.7396155150787,59.320384484921306
52.29,56.52631256556819,53.999615515078695,50.580384484921304
67.0,60.99842724095351,68.7096155150787,65.2903844849213
59.62,55.61562471861471,61.32961551507869,57.9103844849213
61.32,58.17490240329114,63.029615515078696,59.610384484921305
65.36,67.69316184384991,67.0696155150787,63.650384484921304
73.37,69.67209078585176,75.0796155150787,71.66038448492131
66.77,71.72746992804426,68.47961551507869,65.0603844849213
66.0,60.15304012168583,67.7096155150787,64.2903844849213
55.0,59.781926830610594,56.709615515078696,53.290384484921304
57.0,59.05893380136661,58.709615515078696,55.290384484921304
75.3,67.08053425752263,77.00961551507869,73.5903844849213
60.5,57.458641262418126,62.209615515078696,58.790384484921304
71.3,60.94334234122292,73.00961551507869,69.5903844849213
63.0,65.85098196698661,64.7096155150787,61.290384484921304
58.0,60.52210115349798,59.709615515078696,56.290384484921304
23.6,39.73035650613276,25.309615515078697,21.890384484921306
50.3,54.75863744277463,52.00961551507869,48.5903844849213
72.0,62.410416888606655,73.7096155150787,70.2903844849213
65.41,59.99436516594516,67.11961551507869,63.7003844849213
58.66,56.35514838466155,60.75640556687844,56.56359443312155
56.1,60.11633751352694,58.19640556687845,54.003594433121556
65.95,55.31521304745093,68.04640556687845,63.85359443312156
72.0,68.14911018789437,74.09640556687845,69.90359443312155
56.9,60.9290360432958,58.996405566878444,54.80359443312155
74.1,67.57877699071837,76.19640556687844,72.00359443312155
57.8,64.09329835589847,59.89640556687844,55.70359443312155
70.55,64.10499418479722,72.64640556687844,68.45359443312155
66.1,63.52664483288319,68.19640556687844,64.00359443312155
