Match,Named,Matched,nomatch1,nomatch2
IDIC1,IDCIC,
IHIC1,FDNCTF,
NTIC,DTNR,
NTIC-Me,DTNIC6,
NTIC-OMe,DTCC-IC,
NTIC-F,DNIT-TT2T,
IT-IC,Py-1,
BDT-IC,DCI-2,
IT-4Cl,DC-IDT2F,
NCBDT-4Cl,IM-IDT,
Y6,TIM-IDT,
ITC6-IC,COTIC-4F,
ATT-6,SiOTIC-4F,
ATT-7,IDIC-4F,
Y1,IDIC-4Cl,
Y2,NFBDT-Me,
BDTS-4Cl,BDTIT-M,
BDTC-4Cl,TTIC-F,
BTA701,BDT-IC,
BTA3,IFT-M,
BTA703,IFT-ECA,
Py-1,IFT-IC,
Py-2,IFT-TH,
C8-ITIC,CzC6C8,
ICz-Rd2,CZC8,
ICz-RdCN2,IDTC,
DF-TCIC,IDTO,
HF-TCIC,BTA7,
m-ITIC-OR-4Cl,BT2,
BIBT-NI,BT2b,
ITIC-F,CDTCN,
ITDM,IEIC1,
ITCF,BTA100,
ACS8,BTA101,
IDNO-IDT,BTA103,
IM1-IDT,4TIC,
ITAN-IDT,COi8DFIC,
NFDTS,IDT-2BR1,
NFDTSB,ATT-2,
DTNIF,ACS8,
DTNSF,T2,
Si4TIC-F,T3,
IDT-FBTR,T1,
BT-F,ATT-1,
BT-2F,IDIC,
BT3,IDT-BT-R,
Qx1,ITBTR-C6,
Qx1b,I-IDTBTRh,
BTA21,BTA1,
BTA23,IEIC2,
BTA27,IEIC3,
F-H,IT-DM,
F-F,ITIC-SC6,
F-Cl,ITIC-SC8,
F-Br,ITIC-SC2C6,
DF-PCIC,IT-F,
DF-PCNC,IT-2F,
IDTIC,DICTiF,
IDTTIC,BAF-4CN,
DTFBR,DCF-2HT,
TPT-2F,ITIC2,
4TIC-4F,BT-CIC,
6TIC-4F,IHIC1,
ITBTR-C2,NTIC-F,
ITBTR-C4,NTIC-OMe,
ITBTR-C6,NTIC-Me,
ITBTR-C8,Y6,
IDIC-4H,ITC6-IC,
IDIC-4F,ZITI,
IDIC-4Cl,ITCF,
IDT-BT-R2,ATT-7,
IDT-BT-RF3,ATT-6,
IDT-BT-RO,Y1,
IDT-BT-RN,Y2,
IDT-O-IC,BDTS-4Cl,
spiro-IDT-O-IC,BDTC-4Cl,
ICBF-O,BTA701,
ICBF,BT3,
FICBF-O,BTA703,
FICBF,Py-2,
BT-SFIC,ICz-Rd2,
BT-FIC,ICz-RdCN2,
IDT-3MT,DF-TCIC,
SiIDT-IC,HF-TCIC,
IDTBOR,m-ITIC-OR-4Cl,
IDTBSR,BIBT-NI,
TTIC,ITIC-Th,
TTIC-M,ITIC-Th1,
IDTT2F,ITIC-Th2,
IDTOT2F,ITIC-Th3,
IDT-RCN,MeIC,
IDT-CA,ITIC5,
IDTO-T-4F,DF-PCIC,
IDTO-Se-4F,DF-PCNC,
IDTO-TT-4F,IDTIC,
IDT2Se,IDTTIC,
IDT2Se-4F,DTFBR,
HFO-PCIC,TPT-2F,
OF-PCIC,6TIC-4F,
HF-PCIC,F6IC,
IF-TN,ITBTR-C2,
IDT-TN,ITBTR-C4,
ITIC-Cl4,ITBTR-C6,
NFBDT-Me,,
NFBDT-F,,
SN6IC,,
SN6IC-4F,,
IDTT-T,,
IDT-TBA,,
IDTT-TBA,,
O-NTIC,,
O-NTNC,,
BTTFIC,,
NFTI,,
F5IC,,
F7IC,,
F9IC,,
BDCPDT-IC,,
BDCPDT-FIC,,
BDTIT-M,,
BDTThIT-M,,
TTIC-F,,
IFT-ECA,,
IFT-M,,
IFT-IC,,
IFT-TH,,
4TIC,,
CzC6C8,,
CZC8,,
IDTC,,
IDTO,,
BTA7,,
BT2,,
BT2b,,
CDTCN,,
DICTF-C10,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
