Acceptor,SMILES,SMILES w/o R_group replacement,SMILES w/o R_group,Big_SMILES,SELFIES
IDTT2F,N#CC(C#N)=C1/C(=C/c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc([Mo])cc3)c3ccc([Mo])cc3)-c3sc(-c4ccc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s4)cc3C5(c3ccc([Mo])cc3)c3ccc([Mo])cc3)s2)C(=O)c2cc(F)c(F)cc21,O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6cc(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)/C#N)s6)s7)c4)c5s3)s1)=C(C#N)\C#N)cc(F)c(F)c2, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][#Branch2][N][=C][/C][=C][C][=C][Branch2][=Branch2][S][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][Branch2][Ring2][#Branch2][C][=C][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][S][Ring2][Ring1][#Branch1][=C][C][=Ring2][Ring1][N][C][Ring2][Ring2][S][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][S][Ring2][=Branch1][#Branch2][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][#Branch1][#Branch1]
IDTOT2F,N#CC(C#N)=C1/C(=C/c2ccc(-c3sc4c(c3O[Mo])C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3cc5c(cc3-4)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3c-5sc(-c4ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)c3O[Mo])s2)C(=O)c2cc(F)c(F)cc21,O=C1c2c(C(/C1=C/c1ccc(c3c(O[R14])c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6c(O[R14])c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)s6)s7)c4)c5s3)s1)=C(C#N)/C#N)cc(F)c(F)c2, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][O][Ring2][=C][/C][=C][C][=C][Branch2][#Branch2][Branch2][C][S][C][=C][Branch1][=Branch1][C][=Ring1][Branch1][O][Mo][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][#Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][Branch2][Ring2][#Branch2][C][=C][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][S][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][N][O][Mo][S][Ring2][=Branch1][=C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][#Branch1][O]
ITCT,N#CC(C#N)=C1/C(=C/c2cc3sc4c(c3s2)C(c2ccc([Mo])cc2)(c2ccc([Mo])cc2)c2cc3c(cc2-4)C(c2ccc([Mo])cc2)(c2ccc([Mo])cc2)c2c-3sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)C(=O)c2cscc21,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6c(C\5=C(C#N)\C#N)csc6)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8c(C\7=C(C#N)\C#N)csc8)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][=Branch2][=C][=C][/C][=C][C][S][C][=C][Branch1][#Branch1][C][=Ring1][Branch1][S][Ring1][Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][=Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][C][=C][Branch2][Ring1][Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][S][C][=C][Ring1][Branch1][C][Ring1][=Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][C][Ring2][Ring1][#Branch1][=Ring2][Ring1][Ring2][C][=Branch1][C][=O][C][=C][S][C][=C][Ring1][Branch1][Ring2][=Branch1][=N]
IDT-RCN,CCn1c(=C(C#N)C#N)s/c(=C\c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc([Mo])cc3)c3ccc([Mo])cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nsnc46)cc3C5(c3ccc([Mo])cc3)c3ccc([Mo])cc3)c3nsnc23)c1=O,CCN(C/1=O)/C(SC1=C/c1c2nsnc2c(c2cc3c(c4cc5c(c6c(C(c7ccc([R14])cc7)5c5ccc([R14])cc5)cc(c5c7nsnc7c(/C=C7S/C(N(C\7=O)CC)=C(C#N)\C#N)cc5)s6)cc4C3(c3ccc([R14])cc3)c3ccc([R14])cc3)s2)cc1)=C(C#N)/C#N, , ,[C][C][N][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][S][/C][=Branch2][#Branch2][S][=C][\C][=C][C][=C][Branch2][=Branch2][=C][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][Branch2][Ring2][Branch2][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][\S][C][=Branch1][Branch2][=C][Branch1][Ring1][C][#N][C][#N][N][Branch1][Ring1][C][C][C][Ring1][N][=O][C][=N][S][N][=C][Ring2][Ring1][#Branch1][Ring1][Branch1][=C][C][=Ring2][Ring1][N][C][Ring2][Ring2][S][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=N][S][N][=C][Ring2][=Branch1][=C][Ring1][Branch1][C][Ring2][#Branch1][=Branch2][=O]
IDT-CA,CCOC(=O)/C(C#N)=C/c1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc([Mo])cc2)c2ccc([Mo])cc2)-c2sc(-c3ccc(/C=C(\C#N)C(=O)OCC)c5nsnc35)cc2C4(c2ccc([Mo])cc2)c2ccc([Mo])cc2)c2nsnc12,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4c(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)cc(c6c7nsnc7c(/C=C(C(OCC)=O)\C#N)cc6)s4)c5cc3c3c2cc(c2c4nsnc4c(/C=C(C#N)/C(OCC)=O)cc2)s3)cc1, , ,[C][C][O][C][=Branch1][C][=O][/C][Branch1][Ring1][C][#N][=C][/C][=C][C][=C][Branch2][=Branch2][Ring2][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][Branch2][Ring1][=C][C][=C][C][=C][Branch1][=C][/C][=C][Branch1][Ring1][\C][#N][C][=Branch1][C][=O][O][C][C][C][=N][S][N][=C][Ring2][Ring1][C][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch1][C][Ring2][Ring2][O][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=N][S][N][=C][Ring2][=Branch1][=Branch2][Ring1][Branch1]
IDT-T-4F,N#CC(C#N)=C1/C(=C/c2ccc(-c3sc4c(c3O[Mo])C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3cc5c(cc3-4)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3c-5sc(-c4ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)c3O[Mo])s2)C(=O)c2cc(F)c(F)cc21,O=C1c2c(C(/C1=C/c1ccc(c3c(O[R14])c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6c(O[R14])c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)s6)s7)c4)c5s3)s1)=C(C#N)/C#N)cc(F)c(F)c2, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][O][Ring2][=C][/C][=C][C][=C][Branch2][#Branch2][Branch2][C][S][C][=C][Branch1][=Branch1][C][=Ring1][Branch1][O][Mo][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][#Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][Branch2][Ring2][#Branch2][C][=C][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][S][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][N][O][Mo][S][Ring2][=Branch1][=C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][#Branch1][O]
IDT-Se-4F,N#CC(C#N)=C1/C(=C/c2ccc(-c3sc4c(c3O[Mo])C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3cc5c(cc3-4)C(c3ccc([Mo])cc3)(c3ccc([Mo])cc3)c3c-5sc(-c4ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)[se]4)c3O[Mo])[se]2)C(=O)c2cc(F)c(F)cc21,O=C1c2c(C(/C1=C/c1ccc(c3c(O[R14])c(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6c(O[R14])c(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cc(F)c(F)c2, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][O][Ring2][=C][/C][=C][C][=C][Branch2][#Branch2][Branch2][C][S][C][=C][Branch1][=Branch1][C][=Ring1][Branch1][O][Mo][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][#Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][Branch2][Ring2][#Branch2][C][=C][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][Se][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][N][O][Mo][Se][Ring2][=Branch1][=C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][#Branch1][O]
IDT-TT-4F,N#CC(C#N)=C1/C(=C/c2cc3sc(-c4sc5c(c4O[Mo])C(c4ccc([Mo])cc4)(c4ccc([Mo])cc4)c4cc6c(cc4-5)C(c4ccc([Mo])cc4)(c4ccc([Mo])cc4)c4c-6sc(-c5cc6sc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc6s5)c4O[Mo])cc3s2)C(=O)c2cc(F)c(F)cc21,O=C1c2c(C(/C1=C/c1sc3cc(c4c(O[R14])c(C(c5ccc([R14])cc5)(c5ccc([R14])cc5)c5c6cc(C(c7ccc([R14])cc7)7c8ccc([R14])cc8)c(c8c7c(O[R14])c(c7cc9sc(/C=C%10/C(c%11c(C%10=O)cc(F)c(F)c%11)=C(C#N)\C#N)cc9s7)s8)c5)c6s4)sc3c1)=C(C#N)/C#N)cc(F)c(F)c2, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][O][S][=C][/C][=C][C][S][C][Branch2][#Branch2][=C][C][S][C][=C][Branch1][=Branch1][C][=Ring1][Branch1][O][Mo][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][Ring2][Ring1][#Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Branch1][S][C][Branch2][Ring2][S][C][=C][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][#Branch1][S][Ring2][Ring1][#Branch2][=C][Ring2][Ring1][#C][O][Mo][=C][C][=Ring2][=Branch1][P][S][Ring2][#Branch1][Ring2][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][#Branch1][P]
IDT2Se,N#CC(C#N)=C1/C(=C/c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc([Mo])cc3)c3ccc([Mo])cc3)-c3sc(-c4ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)[se]4)cc3C5(c3ccc([Mo])cc3)c3ccc([Mo])cc3)[se]2)C(=O)c2ccccc21,O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6cc(c6ccc(/C=C8/C(c9c(C8=O)cccc9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cccc2, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][#Branch2][=Branch1][=C][/C][=C][C][=C][Branch2][=Branch2][#Branch2][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][Branch2][Ring2][Ring2][C][=C][C][=C][Branch2][Ring1][=Branch2][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][Branch1][Ring1][C][#N][C][#N][Se][Ring2][Ring1][Branch1][=C][C][=Ring2][Ring1][#Branch2][C][Ring2][Ring2][=C][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Se][Ring2][=Branch1][Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][#Branch1][Ring1]
IDT2Se-4F,N#CC(C#N)=C1/C(=C/c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc([Mo])cc3)c3ccc([Mo])cc3)-c3sc(-c4ccc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)[se]4)cc3C5(c3ccc([Mo])cc3)c3ccc([Mo])cc3)[se]2)C(=O)c2cc(F)c(F)cc21,O=C1c2c(C(/C1=C/c1ccc(c3cc(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6cc(c6ccc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)\C#N)[se]6)s7)c4)c5s3)[se]1)=C(C#N)/C#N)cc(F)c(F)c2, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][#Branch2][N][=C][/C][=C][C][=C][Branch2][=Branch2][S][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch2][Ring1][S][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][S][C][Branch2][Ring2][#Branch2][C][=C][C][=C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][Se][Ring2][Ring1][#Branch1][=C][C][=Ring2][Ring1][N][C][Ring2][Ring2][S][Branch1][N][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Mo][C][=C][Ring1][#Branch1][Se][Ring2][=Branch1][#Branch2][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][#Branch1][#Branch1]
HF-PCIC,N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2sc(-c4cc(F)c(-c5cc6c(s5)-c5sc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc5C6([Cr])[Cr])cc4F)cc2C3([Cr])[Cr])C(=O)c2cc(F)c(F)cc21,[R4]C1(c2c(c3sc(c4c(F)cc(c5sc(c6c(C([R4])7[R4])cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)[R4], , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][Branch2][Branch2][=C][/C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][Branch2][=Branch1][O][C][=C][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][#Branch1][C][Ring2][Ring1][O][Branch1][C][Cr][Cr][C][=C][Ring2][Ring2][=Branch1][F][=C][C][=Ring2][Ring2][N][C][Ring2][Ring2][S][Branch1][C][Cr][Cr][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][Branch1][P]
HFO-PCIC,COc1c(F)c(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3([Cr])[Cr])c(OC)c(F)c1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc1C2([Cr])[Cr],[R4]C1(c2c(c3sc(c4c(F)c(OC)c(c5sc(c6c7cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c(c5)C7([R4])[R4])c(F)c4OC)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)[R4], , ,[C][O][C][=C][Branch1][C][F][C][Branch2][Branch1][O][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][#Branch1][C][Ring2][Ring1][O][Branch1][C][Cr][Cr][=C][Branch1][Ring1][O][C][C][Branch1][C][F][=C][Ring2][Ring2][=Branch2][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][#Branch1][C][Ring2][Ring1][O][Branch1][C][Cr][Cr]
OF-PCIC,N#CC(C#N)=C1/C(=C/c2cc3c(s2)-c2sc(-c4c(F)c(F)c(-c5cc6c(s5)-c5sc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc5C6([Cr])[Cr])c(F)c4F)cc2C3([Cr])[Cr])C(=O)c2cc(F)c(F)cc21,[R4]C1(c2c(c3sc(c4c(F)c(F)c(c5sc(c6c(C([R4])7[R4])cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4F)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)[R4], , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][Branch2][=C][=C][/C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][Branch2][=Branch1][P][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch2][Branch1][O][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][C][Ring1][N][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][#Branch1][C][Ring2][Ring1][O][Branch1][C][Cr][Cr][C][Branch1][C][F][=C][Ring2][Ring2][Branch2][F][=C][C][=Ring2][Ring2][=C][C][Ring2][Branch1][C][Branch1][C][Cr][Cr][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][Ring2][=Branch1][Ring1]
IDT-TN,N#CC(C#N)=C1/C(=C/c2cc([Cr])c(-c3cc4c(s3)-c3cc5c(cc3C4([Mo])[Mo])-c3sc(-c4sc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)cc4[Cr])cc3C5([Mo])[Mo])s2)C(=O)c2cc3ccccc3cc21,[R14]C1([R14])c2cc(c3sc(/C=C4C(c5cc6ccccc6cc5C\4=C(C#N)\C#N)=O)cc3[R4])sc2c2cc3c(c4sc(c5sc(/C=C6C(c7cc8ccccc8cc7C\6=C(C#N)\C#N)=O)cc5[R4])cc4C([R14])3[R14])cc21, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][Branch2][#Branch1][=C][/C][=C][C][Branch1][C][Cr][=C][Branch2][#Branch1][Branch2][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Branch1][N][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][Branch1][C][Mo][Mo][C][S][C][Branch2][Ring2][O][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][C][Ring1][=C][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][=Branch2][Cr][=C][C][=Ring2][Ring1][#C][C][Ring2][Ring2][#Branch1][Branch1][C][Mo][Mo][S][Ring2][Branch1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][Ring2][=Branch1][Branch1]
IF-TN,N#CC(C#N)=C1/C(=C/c2cc([Cr])c(-c3ccc4c(c3)C([Mo])([Mo])c3cc5c(cc3-4)C([Mo])([Mo])c3cc(-c4sc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)cc4[Cr])ccc3-5)s2)C(=O)c2cc3ccccc3cc21,[R14]C1([R14])c2cc(c3sc(/C=C4C(c5cc6ccccc6cc5C\4=C(C#N)\C#N)=O)cc3[R4])ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc8ccccc8cc7C\6=C(C#N)\C#N)=O)cc5[R4])cc4C([R14])3[R14])cc21, , ,[N][#C][C][Branch1][Ring1][C][#N][=C][/C][=Branch2][Branch2][=N][=C][/C][=C][C][Branch1][C][Cr][=C][Branch2][#Branch1][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][Mo][Branch1][C][Mo][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][Ring1][N][C][Branch1][C][Mo][Branch1][C][Mo][C][=C][C][Branch2][Ring2][O][C][S][C][Branch2][Ring1][#C][/C][=C][\C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][C][Ring1][=C][=C][Branch1][Ring1][C][#N][C][#N][=C][C][=Ring2][Ring1][=Branch2][Cr][=C][C][=C][Ring2][Ring1][S][Ring2][Ring2][#Branch1][S][Ring2][Branch1][Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][Ring2][=Branch1][#Branch1]
