SMILE,R group Smiles,Name_Stanley,Comments (Stanley),Name_Aaron,Comments (Aaron),Comments (after matching),Important comments for Group Meeting,"40, 67, 97,208,225"
CC(CC)CCCCC1(c2c(c3sc(c4c(F)c(OC)c(c5sc(c6c7cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c(c5)C7(CC(CC)CCCC)CC(CC)CCCC)c(F)c4OC)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)CC(CC)CCCC,[R4]C1(c2c(c3sc(c4c(F)c(OC)c(c5sc(c6c7cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c(c5)C7([R4])[R4])c(F)c4OC)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)[R4],HFO-PCIC,,HFO-PCIC,,,,
CC(CC)CCCCC1(c2c(c3sc(c4c(F)c(F)c(c5sc(c6c(C(CC(CC)CCCC)7CC(CC)CCCC)cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4F)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)CC(CC)CCCC,[R4]C1(c2c(c3sc(c4c(F)c(F)c(c5sc(c6c(C([R4])7[R4])cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)s6)c7c5)c(F)c4F)cc13)sc(/C=C1C(c3cc(F)c(F)cc3C\1=C(C#N)\C#N)=O)c2)[R4],OF-PCIC,,OF-PCIC,,,,
CCCCCCC1(CCCCCC)c2cc(c3sc(/C=C4C(c5cc6ccccc6cc5C\4=C(C#N)\C#N)=O)cc3CC(CC)CCCC)sc2c2cc3c(c4sc(c5sc(/C=C6C(c7cc8ccccc8cc7C\6=C(C#N)\C#N)=O)cc5CC(CC)CCCC)cc4C(CCCCCC)3CCCCCC)cc21,[R14]C1([R14])c2cc(c3sc(/C=C4C(c5cc6ccccc6cc5C\4=C(C#N)\C#N)=O)cc3[R4])sc2c2cc3c(c4sc(c5sc(/C=C6C(c7cc8ccccc8cc7C\6=C(C#N)\C#N)=O)cc5[R4])cc4C([R14])3[R14])cc21,IDT-TN,,IDT-TN,,,,
CCCCCCC1(CCCCCC)c2cc(c3sc(/C=C4C(c5cc6ccccc6cc5C\4=C(C#N)\C#N)=O)cc3CC(CC)CCCC)ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc8ccccc8cc7C\6=C(C#N)\C#N)=O)cc5CC(CC)CCCC)cc4C(CCCCCC)3CCCCCC)cc21,[R14]C1([R14])c2cc(c3sc(/C=C4C(c5cc6ccccc6cc5C\4=C(C#N)\C#N)=O)cc3[R4])ccc2c2cc3c(c4ccc(c5sc(/C=C6C(c7cc8ccccc8cc7C\6=C(C#N)\C#N)=O)cc5[R4])cc4C([R14])3[R14])cc21,IF-TN,,IF-TN,,,,
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c4sc(/C=C5C(c6cc(Cl)c(Cl)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc(CCCCCC)cc5)4c4ccc(CCCCCC)cc4)cc32)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cc(Cl)c(Cl)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8cc(Cl)c(Cl)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1,ITIC-Cl,,ITIC-Cl,,,,
O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc(CCCCCC)cc6)c6ccc(CCCCCC)cc6)cc(/C=C6C(c8ccccc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)s1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8ccccc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1,C8-ITIC,"same structure, different labels",NFBDT-Cl,Should this be CH3 (NFBDT-Me) instead of Cl?,Aaron without Cl is also correct,,
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5cc(C)ccc5C4=C(C#N)C#N)sc3c3sc4cc5c6c(sc5cc4c32)c2sc(C=C3C(=O)c4cc(C)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,*c1ccc(C2(c3ccc(*)cc3)c3cc(C=C4C(=O)c5cc(Cl)ccc5C4=C(C#N)C#N)sc3c3sc4cc5c6c(sc5cc4c32)c2sc(C=C3C(=O)c4cc(Cl)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(*)cc2)c2ccc(*)cc2)cc1,,,NFBDT-Cl,Not listed on PDF or on the internet under this name.,Aaron's should be right,"Doesn't exist in datasheet, probably an error from coding.",
O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc(CCCCCC)cc6)c6ccc(CCCCCC)cc6)cc(/C=C6C(c8ccccc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)s1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2c(c3sc4cc5c6c(c7c(C6(c6ccc([R14])cc6)c6ccc([R14])cc6)cc(/C=C6C(c8ccccc8C\6=C(C#N)\C#N)=O)s7)sc5cc4c3C2(c2ccc([R14])cc2)c2ccc([R14])cc2)s1,BDCPDT-IC,"same structure, different labels",BDCPDT-IC,Fluorines depicted below,,,
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3c3sc4cc5c6c(sc5cc4c32)c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,*c1ccc(C2(c3ccc(*)cc3)c3cc(C=C4C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc3c3sc4cc5c6c(sc5cc4c32)c2sc(C=C3C(=O)c4cc(F)ccc4C3=C(C#N)C#N)cc2C6(c2ccc(*)cc2)c2ccc(*)cc2)cc1,NFBDT-F,,NFBDT-F,Disjointed structure. Markush fluorines,,,
O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2n(C(CCCCCC)CCCCCC)c3c4sc5c6sc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)cc6n(C(CCCCCC)CCCCCC)c5c4sc3c2s1,O=C(c1ccccc1C/1=C(C#N)/C#N)C1=C/c1cc2n(C([R14])[R14])c3c4sc5c6sc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)cc6n(C([R14])[R14])c5c4sc3c2s1,SN6IC,,SN6IC,,,,
