Donor,Donor_SMILES,Acceptor,Acceptor_SMILES,DA_manual_tokenized,AD_manual_tokenized,DA_manual_tokenized_aug,AD_manual_tokenized_aug,HOMO_D (eV),LUMO_D (eV),HOMO_A (eV),LUMO_A (eV),D:A ratio (m/m),solvent,total solids conc. (mg/mL),solvent additive,solvent additive conc. (%v/v),active layer thickness (nm),annealing temperature,hole contact layer,electron contact layer,hole mobility blend (cm^2 V^-1 s^-1),electron mobility blend (cm^2 V^-1 s^-1),PCE (%),calc_PCE (%),Voc (V),Jsc (mA cm^-2),FF (%),Acceptor_BigSMILES,Donor_BigSMILES
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,ACS8,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5SCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3SCC(CC)CCCC)sc2-4)cc1,"[0, 0, 0, 0, 49, 101, 1, 216, 172, 7, 218, 220, 218, 7, 172, 216]","[0, 0, 0, 0, 216, 172, 7, 218, 220, 218, 7, 172, 216, 1, 49, 101]","[[0, 0, 0, 0, 49, 101, 1, 216, 172, 7, 218, 220, 218, 7, 172, 216], [0, 0, 0, 0, 101, 49, 1, 216, 172, 7, 218, 220, 218, 7, 172, 216]]","[[0, 0, 0, 0, 216, 172, 7, 218, 220, 218, 7, 172, 216, 1, 49, 101], [0, 0, 0, 0, 216, 172, 7, 218, 220, 218, 7, 172, 216, 1, 101, 49]]",-5.3,-3.33,-5.54,-4.05,0.5,Toluene,20.0,,-1.0,115.0,-1.0,MoOx,PFN,0.000147,0.00013,9.9,9.92,0.75,22.5,58.8,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5SCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3SCC(CC)CCCC)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PB24-3TDC,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2sc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CCCCC(C)CC)nc45)s3)cc2C(=O)OCC(CCCCCC)CCCCCCCC)s1,ITIC-Th,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)s1,"[0, 0, 9, 155, 7, 147, 7, 156, 1, 221, 79, 312, 220, 312, 79, 221]","[0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 9, 155, 7, 147, 7, 156]","[[0, 0, 9, 155, 7, 147, 7, 156, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 156, 9, 155, 7, 147, 7, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 7, 156, 9, 155, 7, 147, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 147, 7, 156, 9, 155, 7, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 7, 147, 7, 156, 9, 155, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 155, 7, 147, 7, 156, 9, 1, 221, 79, 312, 220, 312, 79, 221]]","[[0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 9, 155, 7, 147, 7, 156], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 156, 9, 155, 7, 147, 7], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 7, 156, 9, 155, 7, 147], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 147, 7, 156, 9, 155, 7], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 7, 147, 7, 156, 9, 155], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 155, 7, 147, 7, 156, 9]]",-5.36,-3.58,-5.66,-3.93,0.667,CB,,DIO,0.3,,-1.0,PEDOT:PSS,C60-bissalt,,,10.3,10.3,0.902,16.8,68.0,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)s1,{[][<]Cc1cccs1[>][<]}{[>][<]CCC(C)CCCCn1nc2cc(F)c(F)cc2n1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)COC(=O)c1ccsc1[>][<]}{[>][<]c1ccsc1CCCCCCCCC(CCCCCC)COC(=O)c1csc(C)c1[>][]}
PB68-3TDC,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2sc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CCCCCCCCC(C)CCCCCC)nc45)s3)cc2C(=O)OCC(CCCCCC)CCCCCCCC)s1,ITIC-Th,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)s1,"[0, 0, 9, 157, 7, 147, 7, 156, 1, 221, 79, 312, 220, 312, 79, 221]","[0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 9, 157, 7, 147, 7, 156]","[[0, 0, 9, 157, 7, 147, 7, 156, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 156, 9, 157, 7, 147, 7, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 7, 156, 9, 157, 7, 147, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 147, 7, 156, 9, 157, 7, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 7, 147, 7, 156, 9, 157, 1, 221, 79, 312, 220, 312, 79, 221], [0, 0, 157, 7, 147, 7, 156, 9, 1, 221, 79, 312, 220, 312, 79, 221]]","[[0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 9, 157, 7, 147, 7, 156], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 156, 9, 157, 7, 147, 7], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 7, 156, 9, 157, 7, 147], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 147, 7, 156, 9, 157, 7], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 7, 147, 7, 156, 9, 157], [0, 0, 221, 79, 312, 220, 312, 79, 221, 1, 157, 7, 147, 7, 156, 9]]",-5.41,-3.57,-5.66,-3.93,0.667,CB,,DIO,0.3,,-1.0,PEDOT:PSS,C60-bissalt,,,7.88,7.88,0.994,12.2,65.0,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)s1,{[][<]Cc1cccs1[>][<]}{[>][<]CCCCCCC(C)CCCCCCCCn1nc2cc(F)c(F)cc2n1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)COC(=O)c1ccsc1[>][<]}{[>][<]c1ccsc1CCCCCCCCC(CCCCCC)COC(=O)c1csc(C)c1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,IDNO-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=O)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=O)sc2-4)cc1,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 313, 7, 218, 220, 218, 7, 313]","[0, 0, 0, 0, 313, 7, 218, 220, 218, 7, 313, 1, 49, 7, 100, 9]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 313, 7, 218, 220, 218, 7, 313], [0, 0, 0, 0, 9, 49, 7, 100, 1, 313, 7, 218, 220, 218, 7, 313], [0, 0, 0, 0, 100, 9, 49, 7, 1, 313, 7, 218, 220, 218, 7, 313], [0, 0, 0, 0, 7, 100, 9, 49, 1, 313, 7, 218, 220, 218, 7, 313]]","[[0, 0, 0, 0, 313, 7, 218, 220, 218, 7, 313, 1, 49, 7, 100, 9], [0, 0, 0, 0, 313, 7, 218, 220, 218, 7, 313, 1, 9, 49, 7, 100], [0, 0, 0, 0, 313, 7, 218, 220, 218, 7, 313, 1, 100, 9, 49, 7], [0, 0, 0, 0, 313, 7, 218, 220, 218, 7, 313, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.45,-3.65,1.0,CB,20.0,,-1.0,,140.0,PEDOT:PSS,Ca,,,1.1,0.94,1.03,2.65,34.47,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=O)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=O)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,IM1-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=C(C#N)C#N)sc2-4)cc1,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 314, 7, 218, 220, 218, 7, 314]","[0, 0, 0, 0, 314, 7, 218, 220, 218, 7, 314, 1, 49, 7, 100, 9]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 314, 7, 218, 220, 218, 7, 314], [0, 0, 0, 0, 9, 49, 7, 100, 1, 314, 7, 218, 220, 218, 7, 314], [0, 0, 0, 0, 100, 9, 49, 7, 1, 314, 7, 218, 220, 218, 7, 314], [0, 0, 0, 0, 7, 100, 9, 49, 1, 314, 7, 218, 220, 218, 7, 314]]","[[0, 0, 0, 0, 314, 7, 218, 220, 218, 7, 314, 1, 49, 7, 100, 9], [0, 0, 0, 0, 314, 7, 218, 220, 218, 7, 314, 1, 9, 49, 7, 100], [0, 0, 0, 0, 314, 7, 218, 220, 218, 7, 314, 1, 100, 9, 49, 7], [0, 0, 0, 0, 314, 7, 218, 220, 218, 7, 314, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.46,-4.02,0.667,CB,20.0,,-1.0,,140.0,PEDOT:PSS,Ca,,,1.62,1.32,0.55,5.07,47.41,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=C(C#N)C#N)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDB-T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,ITAN-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)/C6=C(/C#N)c5cccs5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)/C5=C(/C#N)c3cccs3)sc2-4)cc1,"[0, 0, 0, 0, 49, 7, 100, 9, 1, 315, 7, 218, 220, 218, 7, 315]","[0, 0, 0, 0, 315, 7, 218, 220, 218, 7, 315, 1, 49, 7, 100, 9]","[[0, 0, 0, 0, 49, 7, 100, 9, 1, 315, 7, 218, 220, 218, 7, 315], [0, 0, 0, 0, 9, 49, 7, 100, 1, 315, 7, 218, 220, 218, 7, 315], [0, 0, 0, 0, 100, 9, 49, 7, 1, 315, 7, 218, 220, 218, 7, 315], [0, 0, 0, 0, 7, 100, 9, 49, 1, 315, 7, 218, 220, 218, 7, 315]]","[[0, 0, 0, 0, 315, 7, 218, 220, 218, 7, 315, 1, 49, 7, 100, 9], [0, 0, 0, 0, 315, 7, 218, 220, 218, 7, 315, 1, 9, 49, 7, 100], [0, 0, 0, 0, 315, 7, 218, 220, 218, 7, 315, 1, 100, 9, 49, 7], [0, 0, 0, 0, 315, 7, 218, 220, 218, 7, 315, 1, 7, 100, 9, 49]]",-5.33,-2.92,-5.42,-3.69,1.5,CB,20.0,,-1.0,,140.0,PEDOT:PSS,Ca,,,2.0,1.72,1.18,3.71,39.19,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)/C6=C(/C#N)c5cccs5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)/C5=C(/C#N)c3cccs3)sc2-4)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]c1ccsc1[>][<]}{[>][<]CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1cscc1C2=OCc1cccs1[>][]}
PBDT-3TCO,CCCCC(CC)CC(=O)c1cc(C)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)cc2C(=O)CC(CC)CCCC)s1,IT-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,"[0, 0, 0, 0, 99, 158, 7, 159, 1, 216, 79, 218, 220, 218, 79, 216]","[0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 99, 158, 7, 159]","[[0, 0, 0, 0, 99, 158, 7, 159, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 159, 99, 158, 7, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 7, 159, 99, 158, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 158, 7, 159, 99, 1, 216, 79, 218, 220, 218, 79, 216]]","[[0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 99, 158, 7, 159], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 159, 99, 158, 7], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 7, 159, 99, 158], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 158, 7, 159, 99]]",-5.5,-3.24,,,,CB,10.0,,-1.0,95.0,-1.0,PEDOT:PSS,PFN-Br,0.000189,0.000116,11.52,11.56,0.88,20.96,62.7,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,{[][<]CCCCC(CC)Cc1sc(-c2c3cc(C)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F[>][<]}{[>][<]CCCCC(CC)CC(=O)c1ccsc1[>][<]}{[>][<]c1ccsc1CCCCC(CC)CC(=O)c1csc(C)c1[>][]}
PBDT-3T,CCCCC(CC)Cc1cc(C)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)cc2CC(CC)CCCC)s1,IT-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,"[0, 0, 0, 0, 99, 64, 7, 160, 1, 216, 79, 218, 220, 218, 79, 216]","[0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 99, 64, 7, 160]","[[0, 0, 0, 0, 99, 64, 7, 160, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 160, 99, 64, 7, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 7, 160, 99, 64, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 64, 7, 160, 99, 1, 216, 79, 218, 220, 218, 79, 216]]","[[0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 99, 64, 7, 160], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 160, 99, 64, 7], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 7, 160, 99, 64], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 64, 7, 160, 99]]",-5.48,-3.21,,,,CB,10.0,,-1.0,95.0,-1.0,PEDOT:PSS,PFN-Br,9.5e-07,2.63e-06,1.0,1.01,0.85,3.89,30.43,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,{[][<]CCCCC(CC)Cc1sc(-c2c3cc(C)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F[>][<]}{[>][<]CCCCC(CC)Cc1ccsc1[>][<]}{[>][<]c1ccsc1CCCCC(CC)Cc1csc(C)c1[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,NFDTS,CCCCCCCC[Si]1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]4(CCCCCCCC)CCCCCCCC,"[0, 0, 0, 0, 0, 0, 49, 101, 1, 216, 7, 279, 79, 279, 7, 216]","[0, 0, 0, 0, 0, 0, 216, 7, 279, 79, 279, 7, 216, 1, 49, 101]","[[0, 0, 0, 0, 0, 0, 49, 101, 1, 216, 7, 279, 79, 279, 7, 216], [0, 0, 0, 0, 0, 0, 101, 49, 1, 216, 7, 279, 79, 279, 7, 216]]","[[0, 0, 0, 0, 0, 0, 216, 7, 279, 79, 279, 7, 216, 1, 49, 101], [0, 0, 0, 0, 0, 0, 216, 7, 279, 79, 279, 7, 216, 1, 101, 49]]",-5.22,-3.64,-5.36,-3.92,0.833,CF,20.0,,-1.0,100.0,-1.0,PEDOT:PSS,PFN-Br,7.21e-05,3.94e-06,6.15,6.15,0.67,18.77,48.9,CCCCCCCC[Si]1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c4c(sc3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]4(CCCCCCCC)CCCCCCCC,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PTB7-Th,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,NFDTSB,CCCCCCCC[Si]1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c(OSCC(CCCC)CCCCCC)c4c5c(sc4c(OSCC(CCCC)CCCCCC)c3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]5(CCCCCCCC)CCCCCCCC,"[0, 0, 0, 0, 49, 101, 1, 216, 7, 279, 217, 284, 217, 279, 7, 216]","[0, 0, 0, 0, 216, 7, 279, 217, 284, 217, 279, 7, 216, 1, 49, 101]","[[0, 0, 0, 0, 49, 101, 1, 216, 7, 279, 217, 284, 217, 279, 7, 216], [0, 0, 0, 0, 101, 49, 1, 216, 7, 279, 217, 284, 217, 279, 7, 216]]","[[0, 0, 0, 0, 216, 7, 279, 217, 284, 217, 279, 7, 216, 1, 49, 101], [0, 0, 0, 0, 216, 7, 279, 217, 284, 217, 279, 7, 216, 1, 101, 49]]",-5.22,-3.64,-5.56,-3.85,1.0,CF,20.0,,-1.0,100.0,-1.0,PEDOT:PSS,PFN-Br,0.000158,9.3e-05,9.6,9.61,0.75,20.14,63.6,CCCCCCCC[Si]1(CCCCCCCC)c2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc2-c2sc3c(OSCC(CCCC)CCCCCC)c4c5c(sc4c(OSCC(CCCC)CCCCCC)c3c21)-c1sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)cc1[Si]5(CCCCCCCC)CCCCCCCC,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1CCCCC(CC)COC(=O)c1sc2csc(C)c2c1F[>][]}
PBTIBDTT,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1,ITIC-F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,"[0, 0, 0, 0, 49, 42, 161, 162, 1, 216, 79, 218, 220, 218, 79, 216]","[0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 49, 42, 161, 162]","[[0, 0, 0, 0, 49, 42, 161, 162, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 162, 49, 42, 161, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 161, 162, 49, 42, 1, 216, 79, 218, 220, 218, 79, 216], [0, 0, 0, 0, 42, 161, 162, 49, 1, 216, 79, 218, 220, 218, 79, 216]]","[[0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 49, 42, 161, 162], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 162, 49, 42, 161], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 161, 162, 49, 42], [0, 0, 0, 0, 216, 79, 218, 220, 218, 79, 216, 1, 42, 161, 162, 49]]",-5.47,-3.6,-5.64,-4.03,,CB,,,-1.0,120.0,-1.0,PEDOT:PSS,ZnO,0.000173,0.000208,11.19,11.19,0.921,16.4,74.1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,{[][<]CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1[>][<]}{[>][<]CCCCCCCCCCc1ccsc1[>][<]}{[>][<]CCCCCCCCC(CCCCCC)Cn1c(=O)c2ccsc2c2sccc2c1=OCCCCCCCCCCc1csc(C)c1[>][]}
