,0
930,ETA_dEpsilon_C
931,ETA_dBeta
932,AETA_dBeta
933,ETA_psi_1
934,ETA_dPsi_A
935,ETA_dPsi_B
936,fragCpx
937,fMF
938,nHBAcc
939,IC0
940,IC1
941,IC2
942,IC3
943,IC4
944,IC5
945,TIC0
946,TIC1
947,TIC2
948,TIC3
949,TIC4
950,TIC5
951,SIC0
952,SIC1
953,SIC2
954,SIC3
955,SIC4
956,SIC5
957,BIC0
958,BIC1
959,BIC2
960,BIC3
961,BIC4
962,BIC5
963,CIC0
964,CIC1
965,CIC2
966,CIC3
967,CIC4
968,CIC5
969,MIC0
970,MIC1
971,MIC2
972,MIC3
973,MIC4
974,MIC5
975,ZMIC0
976,ZMIC1
977,ZMIC2
978,ZMIC3
979,ZMIC4
980,ZMIC5
981,Kier1
982,Kier2
983,Kier3
984,Lipinski
985,GhoseFilter
986,FilterItLogS
987,VMcGowan
988,LabuteASA
989,PEOE_VSA1
990,PEOE_VSA2
991,PEOE_VSA3
992,PEOE_VSA4
993,PEOE_VSA5
994,PEOE_VSA6
995,PEOE_VSA7
996,PEOE_VSA8
997,PEOE_VSA9
998,PEOE_VSA10
999,PEOE_VSA11
1000,PEOE_VSA12
1001,PEOE_VSA13
1002,SMR_VSA1
1003,SMR_VSA2
1004,SMR_VSA3
1005,SMR_VSA4
1006,SMR_VSA5
1007,SMR_VSA6
1008,SMR_VSA7
1009,SMR_VSA9
1010,SlogP_VSA1
1011,SlogP_VSA2
1012,SlogP_VSA3
1013,SlogP_VSA4
1014,SlogP_VSA5
1015,SlogP_VSA6
1016,SlogP_VSA7
1017,SlogP_VSA8
1018,SlogP_VSA10
1019,SlogP_VSA11
1020,EState_VSA1
1021,EState_VSA2
1022,EState_VSA3
1023,EState_VSA4
1024,EState_VSA5
1025,EState_VSA6
1026,EState_VSA7
1027,EState_VSA8
1028,EState_VSA9
1029,EState_VSA10
1030,VSA_EState1
1031,VSA_EState2
1032,VSA_EState3
1033,VSA_EState4
1034,VSA_EState5
1035,VSA_EState6
1036,VSA_EState7
1037,VSA_EState8
1038,VSA_EState9
1039,MDEC-11
1040,MDEC-12
1041,MDEC-13
1042,MDEC-22
1043,MDEC-23
1044,MDEC-33
1045,MID
1046,AMID
1047,MID_h
1048,AMID_h
1049,MID_C
1050,AMID_C
1051,MID_N
1052,AMID_N
1053,MID_O
1054,AMID_O
1055,MID_X
1056,AMID_X
1057,MPC2
1058,MPC3
1059,MPC4
1060,MPC5
1061,MPC6
1062,MPC7
1063,MPC8
1064,MPC9
1065,MPC10
1066,TMPC10
1067,piPC1
1068,piPC2
1069,piPC3
1070,piPC4
1071,piPC5
1072,piPC6
1073,piPC7
1074,piPC8
1075,piPC9
1076,piPC10
1077,TpiPC10
1078,apol
1079,bpol
1080,nRing
1081,n5Ring
1082,n6Ring
1083,n7Ring
1084,nHRing
1085,n5HRing
1086,n6HRing
1087,n7HRing
1088,naRing
1089,n5aRing
1090,n6aRing
1091,n7aRing
1092,naHRing
1093,n5aHRing
1094,n6aHRing
1095,n7aHRing
1096,nARing
1097,n5ARing
1098,n6ARing
1099,n7ARing
1100,nAHRing
1101,n5AHRing
1102,n6AHRing
1103,n7AHRing
1104,nFRing
1105,n8FRing
1106,n9FRing
1107,n10FRing
1108,n11FRing
1109,n12FRing
1110,nG12FRing
1111,nFHRing
1112,n8FHRing
1113,n9FHRing
1114,n10FHRing
1115,n11FHRing
1116,n12FHRing
1117,nG12FHRing
1118,nFaRing
1119,n8FaRing
1120,n9FaRing
1121,n10FaRing
1122,n11FaRing
1123,n12FaRing
1124,nG12FaRing
1125,nFaHRing
1126,n8FaHRing
1127,n9FaHRing
1128,n10FaHRing
1129,n11FaHRing
1130,n12FaHRing
1131,nG12FaHRing
1132,nFARing
1133,n8FARing
1134,n9FARing
1135,n10FARing
1136,n11FARing
1137,n12FARing
1138,nG12FARing
1139,nFAHRing
1140,n8FAHRing
1141,n9FAHRing
1142,n10FAHRing
1143,n11FAHRing
1144,n12FAHRing
1145,nG12FAHRing
1146,nRot
1147,RotRatio
1148,SLogP
1149,SMR
1150,TopoPSA(NO)
1151,TopoPSA
1152,GGI1
1153,GGI2
1154,GGI3
1155,GGI4
1156,GGI5
1157,GGI6
1158,GGI7
1159,GGI8
1160,GGI9
1161,GGI10
1162,JGI1
1163,JGI2
1164,JGI3
1165,JGI4
1166,JGI5
1167,JGI6
1168,JGI7
1169,JGI8
1170,JGI9
1171,JGI10
1172,JGT10
1173,Diameter
1174,Radius
1175,TopoShapeIndex
1176,PetitjeanIndex
1177,VAdjMat
1178,MWC01
1179,MWC02
1180,MWC03
1181,MWC04
1182,MWC05
1183,MWC06
1184,MWC07
1185,MWC08
1186,MWC09
1187,MWC10
1188,TMWC10
1189,SRW02
1190,SRW04
1191,SRW05
1192,SRW06
1193,SRW07
1194,SRW08
1195,SRW09
1196,SRW10
1197,TSRW10
1198,MW
1199,AMW
1200,WPath
1201,WPol
1202,Zagreb1
1203,Zagreb2
1204,mZagreb1
1205,mZagreb2
