Donor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
PBDT-3TCO,CCCCC(CC)CC(=O)c1cc(C)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)cc2C(=O)CC(CC)CCCC)s1,Cc1sc2c(c3sc([R4])c(F)c3)c3cc(c4cc(C([R4])=O)c(c5sc(c6sc(C)cc6C([R4])=O)cc5)s4)sc3c(c3sc([R4])c(F)c3)c2c1, , , 
PBDT-3T,CCCCC(CC)Cc1cc(C)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)cc2CC(CC)CCCC)s1,Cc1sc2c(c3sc([R4])c(F)c3)c3cc(c4cc([R4])c(c5sc(c6sc(C)cc6[R4])cc5)s4)sc3c(c3sc([R4])c(F)c3)c2c1, , , 
PBTIBDTT,CCCCCCCCCCc1cc(C)sc1-c1cc2c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c3cc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4CCCCCCCCCC)sc3c2s1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4cc([R15])c(c(cc5c6=O)sc5c5sc(c7sc(C)cc7[R15])cc5c(n6[R1])=O)s4)sc3c(c3sc([R4])cc3)c2c1, , , 
PDCBT-2F,CCCCCCCCCCC(CCCCCCCC)COC(=O)c1cc(C)sc1-c1cc(F)c(-c2sc(-c3sc(C)cc3C(=O)OCC(CCCCCCCC)CCCCCCCCCC)cc2F)s1,Fc1c(c2sc(c3c(C(O[R6])=O)cc(C)s3)cc2F)sc(c2c(C(O[R6])=O)cc(C)s2)c1, , , 
PBT-F,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6sc([R4])c(F)c6)c6cc(C)sc6c(c6sc([R4])c(F)c6)c5c4)s3)c(O[R2])c2O[R2])s1, , , 
PBT-SF,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(SCC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(SCC(CC)CCCC)s5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6sc(S[R4])c(F)c6)c6cc(C)sc6c(c6sc(S[R4])c(F)c6)c5c4)s3)c(O[R2])c2O[R2])s1, , , 
PBT1-C,CCCCCCCCCCC(CCCCCCCC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(SCC(CCCC)CCCCCC)cc3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc23)cc1,Cc1sc2c(c3ccc([R7])cc3)c3cc(c4ccc(c5sc(c6sc(C)cc6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3ccc([R6])cc3)c2c1, , , 
PTZPF,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)c(F)c6)c5s4)s3)c2n1,Cc1ccc(c2c3nn([R1])nc3c(c3ccc(c4sc5c(c6cc(F)c([R4])c(F)c6)c6cc(C)sc6c(c6cc(F)c([R4])c(F)c6)c5c4)s3)c(F)c2F)s1, , , 
PTZI,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4cc(SCC(CCCC)CCCCCC)c(-c5nc6sc(-c7sc(C)cc7SCC(CCCC)CCCCCC)nc6s5)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1,Cc1sc2c(c3sc([R1])cc3)c3cc(c4cc([R7])c(c5sc6nc(c7sc(C)cc7[R7])sc6n5)s4)sc3c(c3sc([R1])cc3)c2c1, , , 
PBDTTz-BP,CCCCCCCCC(CCCCCC)COc1ccc(-c2ccc(-c3c4cc(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nn(SCC(CCCC)CCCCCC)nc67)s5)sc4c(-c4ccc(-c5ccc(OCC(CCCCCC)CCCCCCCC)cc5)cc4)c4cc(C)sc34)cc2)cc1,Cc1ccc(c2c3nn([R7])nc3c(c3ccc(c4sc5c(c6ccc(c7ccc(O[R1])cc7)cc6)c6cc(C)sc6c(c6ccc(c7ccc(O[R1])cc7)cc6)c5c4)s3)c(F)c2F)s1, , , 
PBDTTz-N,CCCCCCCCC(CCCCCC)COc1ccc2cc(-c3c4cc(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nn(SCC(CCCC)CCCCCC)nc67)s5)sc4c(-c4ccc5cc(OCC(CCCCCC)CCCCCCCC)ccc5c4)c4cc(C)sc34)ccc2c1,Cc1ccc(c2c3nn([R7])nc3c(c3ccc(c4sc5c(c6cc7ccc(O[R1])cc7cc6)c6cc(C)sc6c(c6cc7ccc(O[R1])cc7cc6)c5c4)s3)c(F)c2F)s1, , , 
PTQ10,CCCCCCCCC(CCCCCC)COc1cnc2c(C)c(F)c(F)c(-c3ccc(C)s3)c2n1,Cc1ccc(c2c3nc(O[R1])cnc3c(C)c(F)c2F)s1, , , 
PT2,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1Cl,Cc1sc2c(c3sc([R4])c(Cl)c3)c3cc(c4ccc(c5sc(c6sc(C)cc6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc([R4])c(Cl)c3)c2c1, , , 
PBDB-T-BO,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1,Cc1sc2c(c3sc([R1])cc3)c3cc(c4ccc(c5sc(c6ccc(C)s6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc([R1])cc3)c2c1, , , 
PBDB-BzT,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6cc7cc(B=O)ccc7s6)c6sc(C)cc6c(-c6cc7cc(B=O)ccc7s6)c5s4)s3)c1C2=O,Cc1sc2c(c3sc4ccc(B=O)cc4c3)c3cc(c4ccc(c5sc(c6ccc(C)s6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc4ccc(B=O)cc4c3)c2c1, , , 
PBTT,CCCCCCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c5sc(C(O[R14])=O)c(F)c5c(C)s4)sc3c(c3sc([R4])cc3)c2c1, , , 
PBZ-TS,CCCCCCC(CCCC)CSn1nc2c(-c3cc(SCC(CC)CCCC)c(C)s3)c(F)c(F)c(-c3cc(SCC(CC)CCCC)c(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c2n1,Cc1sc2c(c3sc(S[R4])cc3)c3cc(c4c(S[R4])cc(c5c6nn([R7])nc6c(c6cc(S[R4])c(C)s6)c(F)c5F)s4)sc3c(c3sc(S[R4])cc3)c2c1, , , 
PBT1-EH,CCCCCCC(CCCC)CSc1sc(SCC(CCCC)CCCCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c1C2=O,Cc1sc2c(c3sc(S[R4])cc3)c3cc(c4ccc(c5sc(c6ccc(C)s6)c6c5C(c5c([R7])sc([R7])c5C6=O)=O)s4)sc3c(c3sc(S[R4])cc3)c2c1, , , 
J52-Cl,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1,[R4]c1sc(c2c3cc(C)sc3c(c3sc([R4])c(Cl)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1Cl, , , 
PBDT-Se-TAZ,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCC)nc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)[se]3)c3cc(C)sc23)[se]1,[R1]c1[se]c(c2c3cc(C)sc3c(c3[se]c([R1])cc3)c3cc(c4ccc(c5c6nn([R14])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc32)cc1, , , 
PBDT-Se-TAZ,CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCC)nc56)s4)sc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)[se]3)c3cc(C)sc23)[se]1,Cc1sc2c(c3[se]c(S[R1])cc3)c3cc(c4ccc(c5c6nn([R14])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3[se]c(S[R1])cc3)c2c1, , , 
PBDB-TF,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,Cc1sc2c(c3sc([R4])c(F)c3)c3cc(c4ccc(c5sc(c6ccc(C)s6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3sc([R4])c(F)c3)c2c1, , , 
PBZ1,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(OCC(CC)CCCC)cc6)c6sc(C)cc6c(-c6ccc(OCC(CC)CCCC)cc6)c5s4)s3)c2n1,Cc1sc2c(c3ccc(O[R4])cc3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3ccc(O[R4])cc3)c2c1, , , 
PBZ-m-CF3,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(OCC(CC)CCCC)c(C(F)(F)F)c6)c6sc(C)cc6c(-c6ccc(OCC(CC)CCCC)c(C(F)(F)F)c6)c5s4)s3)c2n1,Cc1sc2c(c3ccc(O[R4])c(C(F)(F)F)c3)c3cc(c4ccc(c5c6nn([R1])nc6c(c6ccc(C)s6)c(F)c5F)s4)sc3c(c3ccc(O[R4])c(C(F)(F)F)c3)c2c1, , , 
PBDTTz-SBP,CCCCCCCCC(CCCCCC)CSc1ccc(-c2ccc(-c3c4cc(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nn(CC(CCCCCC)CCCCCCCC)nc67)s5)sc4c(-c4ccc(-c5ccc(SCC(CCCCCC)CCCCCCCC)cc5)cc4)c4cc(C)sc34)cc2)cc1,Cc1ccc(c2c3nn([R1])nc3c(c3ccc(c4sc5c(c6ccc(c7ccc(S[R1])cc7)cc6)c6cc(C)sc6c(c6ccc(c7ccc(S[R1])cc7)cc6)c5c4)s3)c(F)c2F)s1, , , 
PJ1,CCCCCCCCCCCCSc1cc(C)sc1-c1sc(-c2sc(-c3cc4c(-c5ccc([Si](CCC)(CCC)CCC)s5)c5sc(C)cc5c(-c5ccc([Si](CCC)(CCC)CCC)s5)c4s3)cc2SCCCCCCCCCCCC)c2c1C(=O)N(CC(CCCCCC)CCCCCCCC)C2=O,Cc1cc([R5])c(c2c(C(N([R1])C3=O)=O)c3c(c3sc(c4cc5c(c6ccc([R3])s6)c(sc(C)c6)c6c(c6ccc([R3])s6)c5s4)cc3[R5])s2)s1, , , 
PJ2,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c1C2=O,[R3]c1ccc(c2c(sc(C)c3)c3c(c3ccc([R3])s3)c3c2cc(c2sc(c4sc(c5ccc(C)s5)c5c4C(c4c([R4])sc([R4])c4C5=O)=O)cc2)s3)s1, , , 
PJ3,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c3nsnc23)sc1C,[R3]c1ccc(c2c(sc(C)c3)c3c(c3ccc([R3])s3)c3c2cc(c2sc(c4c5nsnc5c(c5sc(C)c([R6])c5)c(F)c4F)cc2[R6])s3)s1, , , 
2D-PBTCl,CCCCC(CC)COC(=O)c1ccc(-c2sc3c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc(C)c3c2Cl)s1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c5sc(c6ccc(C(O[R4])=O)s6)c(Cl)c5c(C)s4)sc3c(c3sc([R4])cc3)c2c1, , , 
2D-PBTCl2,CCCCC(CC)COC(=O)c1cc(Cl)c(-c2sc3c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc(C)c3c2Cl)s1,Cc1sc2c(c3sc([R4])cc3)c3cc(c4c5sc(c6c(Cl)cc(C(O[R4])=O)s6)c(Cl)c5c(C)s4)sc3c(c3sc([R4])cc3)c2c1, , , 
PBClT,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cc(Cl)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(Cl)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,Cc1sc2c(c3sc([R4])c(Cl)c3)c3cc(c4c5sc(C(O[R4])=O)c(F)c5c(C)s4)sc3c(c3sc([R4])c(Cl)c3)c2c1, , , 
PBDB-O,CCCCC(CC)COc1c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4C5=O)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,Cc1sc2c(O[R4])c3cc(c4ccc(c5sc(c6ccc(C)s6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(O[R4])c2c1, , , 
PBO,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(SCC(CC)CCCC)cc5)c5sc(C)cc5c(-c5ccc(SCC(CC)CCCC)cc5)c4s3)s2)c2nonc2c1-c1ccc(C)s1,Cc1sc2c(c3ccc(S[R4])cc3)c3cc(c4ccc(c5c6nonc6c(c6ccc(C)s6)c(O[R5])c5O[R5])s4)sc3c(c3ccc(S[R4])cc3)c2c1, , , 
PFBZ,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c2n1,Cc1ccc(c2c3nn([R1])nc3c(c3ccc(c4sc5c(c6sc([R4])c(F)c6)c6cc(C)sc6c(c6sc([R4])c(F)c6)c5c4)s3)c(F)c2F)s1, , , 
HTAZ,CCCCCCC(CCCC)CSc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nn(SCC(CCCC)CCCCCC)nc45)s3)sc2c(SCC(CCCC)CCCCCC)c2cc(C)sc12,[R7]c1c2cc(C)sc2c([R7])c2cc(c3ccc(c4c5nn([R7])nc5c(c5ccc(C)s5)cc4)s3)sc21, , , 
TBF-BDD,CCCCC(CC)COc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(OCC(CC)CCCC)cc3)c3cc(C)oc23)cc1,Cc1oc2c(c3ccc(O[R4])cc3)c3cc(c4ccc(c5sc(c6ccc(C)s6)c6c5C(c5c([R4])sc([R4])c5C6=O)=O)s4)sc3c(c3ccc(O[R4])cc3)c2c1, , , 
TBF-BT,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(OCC(CC)CCCC)cc5)c5oc(C)cc5c(-c5ccc(OCC(CC)CCCC)cc5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,Cc1oc2c(c3ccc(O[R4])cc3)c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R2])c5O[R2])s4)sc3c(c3ccc(O[R4])cc3)c2c1, , , 
PTFBDT,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CCC(CC)CCCC)c(F)c5)c5sc(C)cc5c(-c5cc(F)c(CCC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,Cc1sc2c(c3cc(F)c(C[R4])c(F)c3)c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R5])c5O[R5])s4)sc3c(c3cc(F)c(C[R4])c(F)c3)c2c1, , , 
PBT,CCCCCCCCCCCCSOc1c(OSCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(SCC(CC)CCCC)cc5)c5sc(C)cc5c(-c5ccc(SCC(CC)CCCC)cc5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,Cc1sc2c(c3ccc(S[R4])cc3)c3cc(c4ccc(c5c6nsnc6c(c6ccc(C)s6)c(O[R5])c5O[R5])s4)sc3c(c3ccc(S[R4])cc3)c2c1, , , 
PffQx-T,CCCCC(CC)COc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCC(CC)CCCC)c(F)c2)cc1F,Cc1ccc(c2c3nc(c4ccc(O[R4])c(F)c4)c(c4cc(F)c(O[R4])cc4)nc3c(c3ccc(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(F)c2F)s1, , , 
PffQx-PS,CCCCC(CC)COc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(SCC(CC)CCCC)cc7)c7sc(C)cc7c(-c7ccc(SCC(CC)CCCC)cc7)c6s5)s4)c3nc2-c2ccc(OCC(CC)CCCC)c(F)c2)cc1F,Cc1ccc(c2c3nc(c4ccc(O[R4])c(F)c4)c(c4cc(F)c(O[R4])cc4)nc3c(c3ccc(c4sc5c(c6ccc(S[R4])cc6)c6cc(C)sc6c(c6ccc(S[R4])cc6)c5c4)s3)c(F)c2F)s1, , , 
