Donor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
PBDT-DTTBT,CCCCCCCCCCC(CCCCCCCC)COc1c2cc(-c3sc(-c4ccc(-c5cc(-c6ccc(CCCCCC)s6)c(C)s5)c5nsnc45)cc3-c3ccc(CCCCCC)s3)sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c2cc(C)sc12,[R6]Oc1c2cc(C)sc2c(O[R6])c2cc(c3c(c4ccc([R14])s4)cc(c4c5nsnc5c(c5cc(c6sc([R14])cc6)c(C)s5)cc4)s3)sc21, , , 
PBDT-TBT,CCCCC(CC)COc1c(OCC(CC)CCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,Cc1ccc(c2c3nsnc3c(c3ccc(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(O[R4])c2O[R4])s1, , , 
PBDT-TTBT,CCCCCCC(CCCC)CSOc1c(OSCC(CCCC)CCCCCC)c(-c2cc3sc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)cc3s2)c2nsnc2c1-c1cc2sc(C)cc2s1,Cc1cc2sc(c3c4nsnc4c(c4sc5cc(c6sc7c(c8sc([R4])cc8)c8cc(C)sc8c(c8sc([R4])cc8)c7c6)sc5c4)c(O[R7])c3O[R7])cc2s1, , , 
PBDT-TT,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12,CCCCC(CC)COC(=O)c1c(-c2ccc(C)s2)sc2c(C(=O)OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc12, , , 
PBDT-BT,CCCCCCCCCCCCSOc1c2cc(-c3c(OCCCCCCCC)c(OCCCCCCCC)c(C)c4nsnc34)sc2c(OSCCCCCCCCCCCC)c2cc(C)sc12,Cc1sc2c(O[R5])c3cc(c4c5nsnc5c(C)c(O[R2])c4O[R2])sc3c(O[R5])c2c1, , , 
PBDT-TTBTT,CCCCCCCCCCCCSOc1c2cc(-c3sc4cc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6cc7sc(C)c(CCCCC)c7s6)c6nsnc56)sc4c3CCCCC)sc2c(OSCCCCCCCCCCCC)c2cc(C)sc12,Cc1sc2c(O[R5])c3cc(c4c([R18])c5sc(c6c7nsnc7c(c7sc8c([R18])c(C)sc8c7)c(O[R2])c6O[R2])cc5s4)sc3c(O[R5])c2c1, , , 
PBDTTEH-DTHBTff,CCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nsnc23)sc1C,Cc1c([R14])cc(c2c3nsnc3c(c3cc([R14])c(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(F)c2F)s1, , , 
PBDTTEH-DTEHBTff,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1c([R4])cc(c2c3nsnc3c(c3cc([R4])c(c4sc5c(c6sc([R4])cc6)c6cc(C)sc6c(c6sc([R4])cc6)c5c4)s3)c(F)c2F)s1, , , 
PBDTTDD-DTHBTff,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(-c4c(F)c(F)c(-c5cc(CCCCCC)c(C)s5)c5nsnc45)cc3CCCCCC)sc2c(OCC(CCCCCC)CCCCCCCC)c2cc(C)sc12,Cc1c([R14])cc(c2c3nsnc3c(c3cc([R14])c(c4sc5c(O[R1])c6cc(C)sc6c(O[R1])c5c4)s3)c(F)c2F)s1, , , 
PBDT-tt-BT,CCCCCCCCCCCCCCCCOc1c2cc(-c3sc4cc(-c5ccc(-c6cc7sc(C)c(CCCCCCCCCCC)c7s6)c6nsnc56)sc4c3CCCCCCCCCCC)sc2c(OCCCCCCCCCCCCCCCC)c2cc(C)sc12,Cc1sc2c(O[R19])c3cc(c4c([R20])c5sc(c6ccc(c7cc8sc(C)c([R20])c8s7)c7c6nsn7)cc5s4)sc3c(O[R19])c2c1, , , 
PC-tt-BT,CCCCCCCCCCCc1c(C)sc2cc(-c3ccc(-c4cc5sc(-c6ccc7c8ccc(C)cc8n(C(CCCCCCC)CCCCCCCCC)c7c6)c(CCCCCCCCCCC)c5s4)c4nsnc34)sc12,Cc1ccc2c3ccc(c4c([R20])c5sc(c6ccc(c7cc8sc(C)c([R20])c8s7)c7c6nsn7)cc5s4)cc3n([R21])c2c1, , , 
PF-tt-BT,CCCCCCCCCCCc1c(C)sc2cc(-c3ccc(-c4cc5sc(-c6ccc7c(c6)C(CCCCCCCC)(CCCCCCCC)c6cc(C)ccc6-7)c(CCCCCCCCCCC)c5s4)c4nsnc34)sc12,Cc1ccc(c2ccc(c3c([R20])c4sc(c5ccc(c6cc7sc(C)c([R20])c7s6)c6c5nsn6)cc4s3)cc2C2([R2])[R2])c2c1, , , 
PBDT-DTBTz,CCCCC(CC)COc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nn(CC(CC)CCCC)nc45)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,Cc1ccc(c2c3nn([R4])nc3c(c3ccc(c4sc5c(O[R4])c6cc(C)sc6c(O[R4])c5c4)s3)cc2)s1, , , 
PC-DTBTz,CCCCCCCCn1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nn(CC(CC)CCCC)nc45)s3)cc21,Cc1ccc2c3ccc(c4ccc(c5c6nn([R4])nc6c(c6ccc(C)s6)cc5)s4)cc3n([R2])c2c1, , , 
PBDT-BT,CCCCCCCCCCCCSc1cc(-c2cc(SCCCCCCCCCCCC)c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)s2)sc1C,Cc1sc2c(O[R4])c3cc(c4c([R5])cc(c5sc(C)c([R5])c5)s4)sc3c(O[R4])c2c1, , , 
PBDT-DTffBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c3nsnc23)sc1C,Cc1c([R2])cc(c2c3nsnc3c(c3cc([R2])c(c4sc5c(O[R4])c6cc(C)sc6c(O[R4])c5c4)s3)c(F)c2F)s1, , , 
PF-DTffBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4cc(C)ccc4-5)s3)c3nsnc23)sc1C,Cc1c([R2])cc(c2c3nsnc3c(c3cc([R2])c(c4ccc(c5ccc(C)cc5C5([R2])[R2])c5c4)s3)c(F)c2F)s1, , , 
PBDT-DTffBT-F-DTffBT,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4cc(-c6sc(-c7c(F)c(F)c(-c8cc(CCCCCCCC)c(-c9cc%10c(OCC(CC)CCCC)c%11sc(C)cc%11c(OCC(CC)CCCC)c%10s9)s8)c8nsnc78)cc6CCCCCCCC)ccc4-5)s3)c3nsnc23)sc1C,[R2]c1cc(c2c3nsnc3c(c3cc([R2])c(c4sc5c(O[R4])c6cc(C)sc6c(O[R4])c5c4)s3)c(F)c2F)sc1c1cc2c(c3ccc(c4c([R2])cc(c5c6nsnc6c(c6cc([R2])c(C)s6)c(F)c5F)s4)cc3C2([R2])[R2])cc1, , , 
