Acceptor,SMILES,SMILES w/o R_group replacement,BigSMILES,SELFIES,SMILES w/o R_group
IDTCN,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cscc5C3=C(C#N)C#N)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(/C=C4C(c5cscc5C\4=C(C#N)\C#N)=O)sc3c3cc4c(c5sc(/C=C6C(c7cscc7C\6=C(C#N)\C#N)=O)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
NAI-FN-NAI(BO),CCCCCCC(CCCC)CSN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(SCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,O=C1c2cc(c3ccc(c4ccc5c6c(C(N([R7])C5=O)=O)cccc46)s3)ccc2c2c1cc(c1sc(c3c4cccc5c4c(C(N([R7])C5=O)=O)cc3)cc1)cc2, , , 
NAI-FN-NAI(HD),CCCCCCCCC(CCCCCC)CN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(CC(CCCCCC)CCCCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,O=C1c2cc(c3ccc(c4ccc5c6c(C(N([R1])C5=O)=O)cccc46)s3)ccc2c2c1cc(c1sc(c3c4cccc5c4c(C(N([R1])C5=O)=O)cc3)cc1)cc2, , , 
NAI-FCN-NAI(BO),CCCCCCC(CCCC)CSN1C(=O)c2cccc3c(-c4ccc(-c5ccc6c(c5)C(=C(C#N)C#N)c5cc(-c7ccc(-c8ccc9c%10c(cccc8%10)C(=O)N(SCC(CCCC)CCCCCC)C9=O)s7)ccc5-6)s4)ccc(c23)C1=O,O=C(N([R7])C1=O)c2c3c1ccc(c1ccc(c4cc(/C5=C(C#N)\C#N)c(c6c5cc(c5sc(c7c8cccc9c8c(C(N([R7])C9=O)=O)cc7)cc5)cc6)cc4)s1)c3ccc2, , , 
INIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc5cc(/C=C6C(c7ccccc7C\6=C(C#N)\C#N)=O)sc5c4sc3c3cc4c(c5sc6c7sc(/C=C8C(c9ccccc9C\8=C(C#N)\C#N)=O)cc7sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
INIC1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8c(F)cccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5c(F)cccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc5cc(/C=C6C(c7c(F)cccc7C\6=C(C#N)\C#N)=O)sc5c4sc3c3cc4c(c5sc6c7sc(/C=C8C(c9c(F)cccc9C\8=C(C#N)\C#N)=O)cc7sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
INIC2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8ccc(F)cc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc5cc(/C=C6C(c7ccc(F)cc7C\6=C(C#N)\C#N)=O)sc5c4sc3c3cc4c(c5sc6c7sc(/C=C8C(c9ccc(F)cc9C\8=C(C#N)\C#N)=O)cc7sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
F8IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(F)c(F)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cc(F)c(F)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3sc4c5c(c6sc7cc(/C=C8C(c9cc(F)c(F)cc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5ccc([R14])cc5)c5ccc([R14])cc5)sc4c32)cc1, , , 
F10IC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4c5c(sc34)-c3sc4c(sc6cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc64)c3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc4c(sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc54)c32)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc5cc(/C=C6C(c7cc(F)c(F)cc7C\6=C(C#N)\C#N)=O)sc5c4sc3c3sc4c5c(c6sc7c8sc(/C=C9C(c%10cc(F)c(F)cc%10C\9=C(C#N)\C#N)=O)cc8sc7c6C5(c5ccc([R14])cc5)c5ccc([R14])cc5)sc4c32)cc1, , , 
DC-IDT2T,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4)sc3c3cc4c(c5sc(c6sc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)cc6)cc5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
FTTB,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)N(CC)C(=S)N(CC)C4=O)s3)cc21,[R2]C1([R2])c2cc(c3sc(/C=C4C(N(C(N(C\4=O)CC)=S)CC)=O)cc3)ccc2c2ccc(c3ccc(/C=C4C(N(CC)C(N(CC)C/4=O)=S)=O)s3)cc21, , , 
IDFBR,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc34)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)cc1C3(CC(CC)CCCC)CC(CC)CCCC,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc(C5([R4])[R4])c(c6c5cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)cc6)cc4C3([R4])[R4])cc2)cc1, , , 
IDTBR,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,S=C(N(C/1=O)CC)SC1=C/c1c2nsnc2c(c2cc3c(c4cc(C5([R2])[R2])c(c6c5cc(c5c7nsnc7c(/C=C7SC(N(C\7=O)CC)=S)cc5)s6)cc4C3([R2])[R2])s2)cc1, , , 
TTz1,CCCCCCC(CCCC)CSc1cc(-c2ccc(C=C(C#N)C#N)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc3SCC(CCCC)CCCCCC)nc2s1,[R7]c1c(c2sc3nc(c4sc(c5c6nsnc6c(/C=C(C#N)\C#N)cc5)cc4[R7])sc3n2)sc(c2c3nsnc3c(/C=C(C#N)\C#N)cc2)c1, , , 
TTz2,CCCCCCC(CCCC)CSc1cc(-c2ccc(/C=c3/sc(=C(C#N)C#N)n(CC)c3=O)c3nsnc23)sc1-c1nc2sc(-c3sc(-c4ccc(/C=c5/sc(=C(C#N)C#N)n(CC)c5=O)c5nsnc45)cc3SCC(CCCC)CCCCCC)nc2s1,[R7]c1c(c2sc3nc(c4c([R7])cc(c5ccc(/C=C6S/C(N(C/6=O)CC)=C(C#N)\C#N)c6c5nsn6)s4)sc3n2)sc(c2c3nsnc3c(/C=C3C(N(CC)/C(S\3)=C(C#N)/C#N)=O)cc2)c1, , , 
FTIC-C8C6,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,[R14]C(c1cc(/C=C2C(c3ccccc3C\2=C(C#N)\C#N)=O)sc11)([R14])c2c1cc(C([R2])([R2])c1cc(c3sc(/C=C4/C(c5c(C4=O)cccc5)=C(C#N)/C#N)cc3C3([R14])[R14])c3cc31)c3c2, , , 
FTIC-C6C6,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)cc1C4(CCCCCC)CCCCCC)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,[R14]C(c1cc(/C=C2C(c3ccccc3C\2=C(C#N)\C#N)=O)sc11)([R14])c2c1cc(C([R14])([R14])c1cc(c3sc(/C=C4/C(c5c(C4=O)cccc5)=C(C#N)/C#N)cc3C3([R14])[R14])c3cc31)c3c2, , , 
FTIC-C6C8,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc2c(cc1-3)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)sc1-2,[R2]C(c1cc(/C=C2C(c3ccccc3C\2=C(C#N)\C#N)=O)sc11)([R2])c2c1cc(C([R14])([R14])c1cc(c3sc(/C=C4/C(c5c(C4=O)cccc5)=C(C#N)/C#N)cc3C3([R2])[R2])c3cc31)c3c2, , , 
NDI-TR,CCCCC(CC)CN1C(=O)c2cc(-c3ccc(/C=C4\SC(=S)N(CC)C4=O)s3)c3c4c(cc(-c5ccc(/C=C6\SC(=S)N(CC)C6=O)s5)c(c24)C1=O)C(=O)N(CC(CC)CCCC)C3=O,O=C(c1cc(c2sc(/C=C3C(N(CC)C(S/3)=S)=O)cc2)c(C(N([R4])C2=O)=O)c3c2cc(c2sc(/C=C4C(N(CC)C(S/4)=S)=O)cc2)c2c31)N([R4])C2=O, , , 
IXIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6ccccc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4sc3c3sc4c5c(c6sc7cc(/C=C8C(c9ccccc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5ccc([R14])cc5)c5ccc([R14])cc5)sc4c32)cc1, , , 
IXIC-4Cl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)sc34)-c3sc4c5c(sc4c32)-c2sc3cc(/C=C4\C(=O)c6cc(Cl)c(Cl)cc6C4=C(C#N)C#N)sc3c2C5(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cc(Cl)c(Cl)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3sc4c5c(c6sc7cc(/C=C8C(c9cc(Cl)c(Cl)cc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5ccc([R14])cc5)c5ccc([R14])cc5)sc4c32)cc1, , , 
ITTC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cscc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8cscc8C\7=C(C#N)\C#N)=O)sc6c5C4(c4ccc([R14])cc4)c4ccc([R14])cc4)cc32)cc1, , , 
ITIC-OE,COCCOCc1ccc(C2(c3ccc(COCCOC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(COCCOC)cc2)(c2ccc(COCCOC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,[R24]c1ccc(C2(c3ccc([R24])cc3)c3c4sc(/C=C5C(c6ccccc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccccc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R24])cc5)4c4ccc([R24])cc4)cc32)cc1, , , 
ITIC-OM-1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cccc(OC)c7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cccc(OC)c5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cccc(OC)c6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8cccc(OC)c8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
ITIC-OM-2,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(OC)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccc(OC)cc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6ccc(OC)cc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8ccc(OC)cc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
ITIC-OM-3,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(OC)ccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(OC)ccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6cc(OC)ccc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8cc(OC)ccc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
ITIC-OM-4,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(OC)cccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(OC)cccc5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6c(OC)cccc6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8c(OC)cccc8C\7=C(C#N)\C#N)=O)sc6c5C(c5ccc([R14])cc5)4c4ccc([R14])cc4)cc32)cc1, , , 
ITCT-DM,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(C)sc(C)c7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(C)sc(C)c5C4=C(C#N)C#N)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c4sc(/C=C5C(c6c(C)sc(C)c6C\5=C(C#N)\C#N)=O)cc4sc3c3cc4c(c5sc6cc(/C=C7C(c8c(C)sc(C)c8C\7=C(C#N)\C#N)=O)sc6c5C4(c4ccc([R14])cc4)c4ccc([R14])cc4)cc32)cc1, , , 
ITCPTC-Th,CCCCCCc1ccc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)s1,O=C(c1cscc1C/1=C(C#N)/C#N)C1=C/c1sc2c3c(c4cc5c(c6sc7cc(/C=C8C(c9cscc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5ccc([R14])s5)c5sc([R14])cc5)cc4C3(c3ccc([R14])s3)c3sc([R14])cc3)sc2c1, , , 
IDNO-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=O)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=O)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4ccc5c(N(CC)C(C5=O)=O)c4)sc3c3cc(C4(c5ccc([R14])cc5)c5ccc([R14])cc5)c(c5c4cc(c4ccc6c(N(CC)C(C6=O)=O)c4)s5)cc32)cc1, , , 
IM1-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)C6=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)C5=C(C#N)C#N)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4ccc5c(N(CC)C(/C5=C(C#N)/C#N)=O)c4)sc3c3cc(C4(c5ccc([R14])cc5)c5ccc([R14])cc5)c(c5c4cc(c4ccc6c(N(CC)C(/C6=C(C#N)/C#N)=O)c4)s5)cc32)cc1, , , 
ITAN-IDT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)N(CC)C(=O)/C6=C(/C#N)c5cccs5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)N(CC)C(=O)/C5=C(/C#N)c3cccs3)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3cc(c4ccc5c(N(CC)C(/C5=C(c5cccs5)/C#N)=O)c4)sc3c3cc(C4(c5ccc([R14])cc5)c5ccc([R14])cc5)c(c5c4cc(c4ccc6c(N(CC)C(/C6=C(c6cccs6)/C#N)=O)c4)s5)cc32)cc1, , , 
ITCPTC-Se,CCCCCCc1ccc(C2(c3ccc(CCCCCC)[se]3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)[se]2)(c2ccc(CCCCCC)[se]2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc23)[se]1,O=C(c1cscc1C/1=C(C#N)/C#N)C1=C/c1sc2c3c(c4cc5c(c6sc7cc(/C=C8C(c9cscc9C\8=C(C#N)\C#N)=O)sc7c6C5(c5ccc([R14])[se]5)c5[se]c([R14])cc5)cc4C3(c3ccc([R14])[se]3)c3[se]c([R14])cc3)sc2c1, , , 
IFTIC,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s2)cc1C3(CCCCCCCC)CCCCCCCC,O=C1c2c(C(/C1=C/c1ccc(c3cc(C([R2])([R2])c4c5cc(C([R2])(c6cc(c7ccc(/C=C8/C(c9c(C8=O)cccc9)=C(C#N)/C#N)s7)ccc66)[R2])c6c4)c5cc3)s1)=C(C#N)\C#N)cccc2, , , 
IDT-2BM,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C=C(C#N)C#N)c6nsnc56)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C=C(C#N)C#N)c5nsnc35)sc2-4)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc(c7ccc(/C=C(C#N)/C#N)c8c7nsn8)cc6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc(c2ccc(/C=C(C#N)/C#N)c4c2nsn4)c3)cc1, , , 
IDTT-2BM,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6ccc(C=C(C#N)C#N)c7nsnc67)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4ccc(C=C(C#N)C#N)c5nsnc45)sc23)cc1,[R14]c1ccc(C2(c3ccc([R14])cc3)c3c(c4cc5c(c6sc7cc(c8c9nsnc9c(/C=C(C#N)\C#N)cc8)sc7c6C(c6ccc([R14])cc6)5c5ccc([R14])cc5)cc42)sc2cc(c4c5nsnc5c(/C=C(C#N)\C#N)cc4)sc23)cc1, , , 
IDT-Tz,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(-c4ncc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s4)ccc3-c3cc4c(cc32)-c2ccc(-c3ncc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)s3)cc2C4(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,O=C1c2c(C(/C1=C/c1cnc(c3cc(C(c4ccc([R14])cc4)(c4ccc([R14])cc4)c4c5cc(C(c6ccc([R14])cc6)(c6cc(c7ncc(/C=C8/C(c9c(C8=O)cccc9)=C(C#N)/C#N)s7)ccc66)c7ccc([R14])cc7)c6c4)c5cc3)s1)=C(C#N)\C#N)cccc2, , , 
IDT-N,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc7ccccc7cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cc6ccccc6cc5C3=C(C#N)C#N)sc2-4)cc1,O=C1c2c(C(/C1=C/c1cc(C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c4cc(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)c(c6c5cc(/C=C5/C(c7c(C5=O)cc5ccccc5c7)=C(C#N)/C#N)s6)c3)c4s1)=C(C#N)\C#N)cc1ccccc1c2, , , 
IDT-T-N,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc8ccccc8cc7C6=C(C#N)C#N)cc5CC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc7ccccc7cc6C5=C(C#N)C#N)cc3CC(CC)CCCC)sc2-4)cc1,O=C(c1cc2c(cccc2)cc1C/1=C(C#N)/C#N)C1=C/c1sc(c2cc(C(c3ccc([R14])cc3)(c3ccc([R14])cc3)c3c4cc(C(c5ccc([R14])cc5)5c6ccc([R14])cc6)c(c6c5cc(c5c([R4])cc(/C=C7C(c8cc9c(cccc9)cc8C\7=C(C#N)\C#N)=O)s5)s6)c3)c4s2)c([R4])c1, , , 
IDT-EDOT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6c5OCCO6)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c5c3OCCO5)sc2-4)cc1,O=C1c2c(C(/C1=C/c1c(OCCO3)c3c(c3cc(C(c4ccc([R14])cc4)(c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6cc(c6sc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)/C#N)c8c6OCCO8)s7)c4)c4ccc([R14])cc4)c5s3)s1)=C(C#N)\C#N)cc(F)c(F)c2, , , 
IDT-PDOT,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c6c5OCCCO6)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c5c3OCCCO5)sc2-4)cc1,O=C1c2c(C(/C1=C/c1c(OCCCO3)c3c(c3cc(C(c4ccc([R14])cc4)(c4c5cc(C(c6ccc([R14])cc6)6c7ccc([R14])cc7)c(c7c6cc(c6sc(/C=C8/C(c9c(C8=O)cc(F)c(F)c9)=C(C#N)/C#N)c8c6OCCCO8)s7)c4)c4ccc([R14])cc4)c5s3)s1)=C(C#N)\C#N)cc(F)c(F)c2, , , 
